candidate_id	comparison_id	layer	paf_path	query_name	query_start	query_end	target_chrom	overlap_rows	sum_overlap_bp	query_union_bp	emits_chr3_target
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	chopped_many_many_l10000_o0	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	PAN027#2#chr9	135704825	136204825	chr1	120	634524	221851	no
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	chopped_many_many_l10000_o0	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	PAN027#2#chr9	135704825	136204825	chr10	38	186283	92228	no
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	chopped_many_many_l10000_o0	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	PAN027#2#chr9	135704825	136204825	chr11	51	358073	207586	no
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	chopped_many_many_l10000_o0	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	PAN027#2#chr9	135704825	136204825	chr12	32	134055	56774	no
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	chopped_many_many_l10000_o0	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	PAN027#2#chr9	135704825	136204825	chr13	3	12597	12597	no
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	chopped_many_many_l10000_o0	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	PAN027#2#chr9	135704825	136204825	chr14	30	82259	21344	no
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	chopped_many_many_l10000_o0	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	PAN027#2#chr9	135704825	136204825	chr15	44	292684	137174	no
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	chopped_many_many_l10000_o0	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	PAN027#2#chr9	135704825	136204825	chr16	59	346415	200729	no
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	chopped_many_many_l10000_o0	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	PAN027#2#chr9	135704825	136204825	chr17	12	45246	16983	no
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	chopped_many_many_l10000_o0	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	PAN027#2#chr9	135704825	136204825	chr18	39	148410	70829	no
