pair	transmission	query_name	query_arm	query_start	query_end	query_length	paf_query_length	target_name	target_hap	target_arm	strand	identity	jaccard	nb	interchromosomal
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr1.maternal:11374-511373_chr1_parm	chr1p	0	499987	500000	41248	PAN010#1#chr1.haplotype1:5039-505038_chr1_parm	PAN010#1	chr1p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr1.maternal:246517480-247017479_chr1_qarm	chr1q	0	500000	500000	41248	PAN010#2#chr1.haplotype2:246846467-247346466_chr1_qarm	PAN010#2	chr1q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr2.maternal:7468-507467_chr2_parm	chr2p	0	187715	500000	41248	PAN010#1#chr2.haplotype1:5403-505402_chr2_parm	PAN010#1	chr2p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr2.maternal:7468-507467_chr2_parm	chr2p	187715	198357	500000	41248	PAN010#2#chr2.haplotype2:5466-505465_chr2_parm	PAN010#2	chr2p	+	99.9508	0.999018	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr2.maternal:7468-507467_chr2_parm	chr2p	198357	500000	500000	41248	PAN010#1#chr2.haplotype1:5403-505402_chr2_parm	PAN010#1	chr2p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr2.maternal:242001098-242501097_chr2_qarm	chr2q	0	499999	500000	41248	PAN010#1#chr2.haplotype1:242064651-242564650_chr2_qarm	PAN010#1	chr2q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr2.maternal:242001098-242501097_chr2_qarm	chr2q	499999	500000	500000	41248	PAN010#2#chr2.haplotype2:241375441-241875440_chr2_qarm	PAN010#2	chr2q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:9503-509502_chr3_parm	chr3p	0	500000	500000	41248	PAN010#1#chr3.haplotype1:8597-508596_chr3_parm	PAN010#1	chr3p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	0	281230	500000	41248	PAN010#1#chr3.haplotype1:203165766-203665765_chr3_qarm	PAN010#1	chr3q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	281230	285464	500000	41248	PAN010#2#chr3.haplotype2:200657097-201157096_chr3_qarm	PAN010#2	chr3q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	285464	329643	500000	41248	PAN010#1#chr3.haplotype1:203165766-203665765_chr3_qarm	PAN010#1	chr3q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	329643	331678	500000	41248	PAN010#2#chr9.haplotype2:136480159-136980158_chr9_qarm	PAN010#2	chr9q	+	100	1	1	1
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	331678	343081	500000	41248	PAN010#1#chr3.haplotype1:203165766-203665765_chr3_qarm	PAN010#1	chr3q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	343081	346035	500000	41248	PAN010#2#chr3.haplotype2:200657097-201157096_chr3_qarm	PAN010#2	chr3q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	346035	366707	500000	41248	PAN010#1#chr3.haplotype1:203165766-203665765_chr3_qarm	PAN010#1	chr3q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	366707	368133	500000	41248	PAN010#2#chr9.haplotype2:136480159-136980158_chr9_qarm	PAN010#2	chr9q	+	100	1	1	1
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	368133	410909	500000	41248	PAN010#1#chr3.haplotype1:203165766-203665765_chr3_qarm	PAN010#1	chr3q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	410909	415147	500000	41248	PAN010#2#chr3.haplotype2:200657097-201157096_chr3_qarm	PAN010#2	chr3q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	415147	422759	500000	41248	PAN010#1#chr3.haplotype1:203165766-203665765_chr3_qarm	PAN010#1	chr3q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	422759	423981	500000	41248	PAN010#2#chr3.haplotype2:200657097-201157096_chr3_qarm	PAN010#2	chr3q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	chr3q	423981	500000	500000	41248	PAN010#1#chr3.haplotype1:203165766-203665765_chr3_qarm	PAN010#1	chr3q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:6777-506776_chr4_parm	chr4p	0	500000	500000	41248	PAN010#2#chr4.haplotype2:5684-505683_chr4_parm	PAN010#2	chr4p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	chr4q	0	44234	500000	41248	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010#1	chr4q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	chr4q	44234	71362	500000	41248	PAN010#2#chr4.haplotype2:191486803-191986802_chr4_qarm	PAN010#2	chr4q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	chr4q	71362	379011	500000	41248	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010#1	chr4q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	chr4q	384384	385619	500000	41248	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010#1	chr4q	+	99.7163	0.99435	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	chr4q	387688	388922	500000	41248	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010#1	chr4q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	chr4q	400911	402155	500000	41248	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010#1	chr4q	+	99.3533	0.98719	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	chr4q	403183	404224	500000	41248	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010#1	chr4q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	chr4q	412069	413097	500000	41248	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010#1	chr4q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	chr4q	421983	425296	500000	41248	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010#1	chr4q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	chr4q	430668	450075	500000	41248	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010#1	chr4q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	chr4q	453380	454616	500000	41248	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010#1	chr4q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	chr4q	457921	458949	500000	41248	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010#1	chr4q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	chr4q	469905	471141	500000	41248	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010#1	chr4q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr4.maternal:191881281-192381280_chr4_qarm	chr4q	477977	500000	500000	41248	PAN010#1#chr4.haplotype1:191036388-191536387_chr4_qarm	PAN010#1	chr4q	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr5.maternal:8641-508640_chr5_parm	chr5p	0	499996	500000	41248	PAN010#2#chr5.haplotype2:6513-506512_chr5_parm	PAN010#2	chr5p	+	100	1	1	0
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr5.maternal:183333449-183833448_chr5_qarm	chr5q	0	12648	500000	41248	PAN010#2#chr5.haplotype2:181515028-182015027_chr5_qarm	PAN010#2	chr5q	+	99.9288	0.998578	1	0
