page_order	page_id	page_label	method_order	method_id	method_label	query_chrom	target_chrom	display_support_bp	covered_bp	row_count
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	1	untangle_strict_primary_path	Untangle strict primary path	chr3	chr9	3461	3461	2
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	1	untangle_strict_primary_path	Untangle strict primary path	chr5	chr15	1	1	1
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	1	untangle_strict_primary_path	Untangle strict primary path	chr13	chr22	101008	101008	34
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	1	untangle_strict_primary_path	Untangle strict primary path	chr13	chr15	6296	6296	5
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	1	untangle_strict_primary_path	Untangle strict primary path	chr13	chr21	3668	3668	3
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	1	untangle_strict_primary_path	Untangle strict primary path	chr14	chr21	1014	1014	1
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	1	untangle_strict_primary_path	Untangle strict primary path	chr16	chr19	5103	5103	2
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	1	untangle_strict_primary_path	Untangle strict primary path	chr21	chr22	25576	25576	16
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	1	untangle_strict_primary_path	Untangle strict primary path	chr21	chr13	10089	10089	8
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	1	untangle_strict_primary_path	Untangle strict primary path	chr22	chr13	13770	13770	9
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	2	wfmash_p95_qgrid2kb_1to1_ani	wfmash -p95 2 kb query-grid -> SweepGA 1:1 ANI	chr1	chr15	7237	1000000	1
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	2	wfmash_p95_qgrid2kb_1to1_ani	wfmash -p95 2 kb query-grid -> SweepGA 1:1 ANI	chr5	chr19	3719	1000000	1
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	2	wfmash_p95_qgrid2kb_1to1_ani	wfmash -p95 2 kb query-grid -> SweepGA 1:1 ANI	chr8	chr16	1000	1000000	1
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	2	wfmash_p95_qgrid2kb_1to1_ani	wfmash -p95 2 kb query-grid -> SweepGA 1:1 ANI	chr10	chr18	3990	1000000	1
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	2	wfmash_p95_qgrid2kb_1to1_ani	wfmash -p95 2 kb query-grid -> SweepGA 1:1 ANI	chr13	chr21	8000	1000000	1
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	2	wfmash_p95_qgrid2kb_1to1_ani	wfmash -p95 2 kb query-grid -> SweepGA 1:1 ANI	chr14	chr22	2000	1000000	1
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	2	wfmash_p95_qgrid2kb_1to1_ani	wfmash -p95 2 kb query-grid -> SweepGA 1:1 ANI	chr15	chr13	30899	1000000	1
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	2	wfmash_p95_qgrid2kb_1to1_ani	wfmash -p95 2 kb query-grid -> SweepGA 1:1 ANI	chr15	chr14	15372	1000000	1
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	2	wfmash_p95_qgrid2kb_1to1_ani	wfmash -p95 2 kb query-grid -> SweepGA 1:1 ANI	chr16	chr9	8000	1000000	1
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	2	wfmash_p95_qgrid2kb_1to1_ani	wfmash -p95 2 kb query-grid -> SweepGA 1:1 ANI	chr17	chr5	2000	1000000	1
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	2	wfmash_p95_qgrid2kb_1to1_ani	wfmash -p95 2 kb query-grid -> SweepGA 1:1 ANI	chr18	chr2	1000	1000000	1
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	3	sweepga_fastga_f32_qgrid2kb_1to1_ani	SweepGA/FastGA -f32 2 kb query-grid -> 1:1 ANI	chr1	chr6	2000	1000000	1
1	PAN027_hap1_maternal_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	3	sweepga_fastga_f32_qgrid2kb_1to1_ani	SweepGA/FastGA -f32 2 kb query-grid -> 1:1 ANI	chr1	chr14	169	1000000	1
