panel_order	panel_id	panel_label	query_name	query_chrom	arm	query_length	zoom_bp	query_start	query_end	relative_start	relative_end	window_overlap_bp	target_chrom	target_bucket	target_name	same_identity	inter_identity	delta_identity	intersection	inter_group_a	inter_group_b
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	14000	16000	14000	16000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.460184	0.999750	0.539567	2000	PAN011#joint#h2_chrY:7583-9584	PAN027#2#chrX:14000-16000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	16000	18000	16000	18000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.789414	0.999750	0.210336	2000	PAN011#joint#h2_chrY:9584-11585	PAN027#2#chrX:16000-18000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	18000	20000	18000	20000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.993259	0.999750	0.006492	2000	PAN011#joint#h2_chrY:11585-13586	PAN027#2#chrX:18000-20000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	20000	22000	20000	22000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.818303	1.000000	0.181697	2000	PAN011#joint#h2_chrY:13586-15586	PAN027#2#chrX:20000-22000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	22000	24000	22000	24000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.744608	1.000000	0.255392	2000	PAN011#joint#h2_chrY:15586-17586	PAN027#2#chrX:22000-24000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	24000	26000	24000	26000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.996500	1.000000	0.003500	2000	PAN011#joint#h2_chrY:17586-19586	PAN027#2#chrX:24000-26000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	26000	28000	26000	28000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.995000	1.000000	0.005000	2000	PAN011#joint#h2_chrY:19586-21586	PAN027#2#chrX:26000-28000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	28000	30000	28000	30000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.992000	1.000000	0.008000	2000	PAN011#joint#h2_chrY:21586-23586	PAN027#2#chrX:28000-30000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	30000	32000	30000	32000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.909000	1.000000	0.091000	2000	PAN011#joint#h2_chrY:23586-25586	PAN027#2#chrX:30000-32000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	32000	34000	32000	34000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.931733	1.000000	0.068267	2000	PAN011#joint#h2_chrY:25586-27586	PAN027#2#chrX:32000-34000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	34000	36000	34000	36000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.967500	1.000000	0.032500	2000	PAN011#joint#h2_chrY:27586-29586	PAN027#2#chrX:34000-36000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	36000	38000	36000	38000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.992500	1.000000	0.007500	2000	PAN011#joint#h2_chrY:29586-31586	PAN027#2#chrX:36000-38000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	38000	40000	38000	40000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.994500	1.000000	0.005500	2000	PAN011#joint#h2_chrY:31586-33586	PAN027#2#chrX:38000-40000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	40000	42000	40000	42000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.852757	1.000000	0.147243	2000	PAN011#joint#h2_chrY:33586-35586	PAN027#2#chrX:40000-42000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	42000	44000	42000	44000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.999000	1.000000	0.001000	2000	PAN011#joint#h2_chrY:35586-37586	PAN027#2#chrX:42000-44000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	44000	46000	44000	46000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.992763	1.000000	0.007237	2000	PAN011#joint#h2_chrY:37586-39586	PAN027#2#chrX:44000-46000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	46000	48000	46000	48000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.989753	1.000000	0.010247	2000	PAN011#joint#h2_chrY:39586-41586	PAN027#2#chrX:46000-48000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	48000	50000	48000	50000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.992986	1.000000	0.007014	2000	PAN011#joint#h2_chrY:41586-43586	PAN027#2#chrX:48000-50000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	50000	52000	50000	52000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.973307	1.000000	0.026693	2000	PAN011#joint#h2_chrY:43586-45586	PAN027#2#chrX:50000-52000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	52000	54000	52000	54000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.998500	1.000000	0.001500	2000	PAN011#joint#h2_chrY:45586-47586	PAN027#2#chrX:52000-54000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	54000	56000	54000	56000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.998502	1.000000	0.001498	2000	PAN011#joint#h2_chrY:47586-49586	PAN027#2#chrX:54000-56000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	56000	58000	56000	58000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.993255	1.000000	0.006745	2000	PAN011#joint#h2_chrY:49586-51586	PAN027#2#chrX:56000-58000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	58000	60000	58000	60000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.983008	1.000000	0.016992	2000	PAN011#joint#h2_chrY:51586-53586	PAN027#2#chrX:58000-60000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	60000	62000	60000	62000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.680339	1.000000	0.319661	2000	PAN011#joint#h2_chrY:53586-55586	PAN027#2#chrX:60000-62000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	62000	64000	62000	64000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.827330	1.000000	0.172670	2000	PAN011#joint#h2_chrY:55586-57586	PAN027#2#chrX:62000-64000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	64000	66000	64000	66000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.316757	1.000000	0.683243	2000	PAN011#joint#h2_chrY:57586-59586	PAN027#2#chrX:64000-66000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	66000	68000	66000	68000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.685346	1.000000	0.314654	2000	PAN011#joint#h2_chrY:59586-61586	PAN027#2#chrX:66000-68000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	68000	70000	68000	70000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.801171	1.000000	0.198829	2000	PAN011#joint#h2_chrY:61586-63586	PAN027#2#chrX:68000-70000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	70000	72000	70000	72000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.978745	1.000000	0.021255	2000	PAN011#joint#h2_chrY:63586-65586	PAN027#2#chrX:70000-72000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	72000	74000	72000	74000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.792654	1.000000	0.207346	2000	PAN011#joint#h2_chrY:65586-67586	PAN027#2#chrX:72000-74000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	74000	76000	74000	76000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.259259	1.000000	0.740741	2000	PAN011#joint#h2_chrY:67586-69586	PAN027#2#chrX:74000-76000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	76000	78000	76000	78000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.964859	1.000000	0.035141	2000	PAN011#joint#h2_chrY:69586-71586	PAN027#2#chrX:76000-78000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	78000	80000	78000	80000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.866648	1.000000	0.133352	2000	PAN011#joint#h2_chrY:71586-73586	PAN027#2#chrX:78000-80000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	80000	82000	80000	82000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.975867	1.000000	0.024133	2000	PAN011#joint#h2_chrY:73586-75586	PAN027#2#chrX:80000-82000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	82000	84000	82000	84000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.828897	1.000000	0.171103	2000	PAN011#joint#h2_chrY:75586-77586	PAN027#2#chrX:82000-84000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	84000	86000	84000	86000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.997996	1.000000	0.002004	2000	PAN011#joint#h2_chrY:77586-79586	PAN027#2#chrX:84000-86000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	86000	88000	86000	88000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.998500	1.000000	0.001500	2000	PAN011#joint#h2_chrY:79586-81586	PAN027#2#chrX:86000-88000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	88000	90000	88000	90000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.994249	1.000000	0.005751	2000	PAN011#joint#h2_chrY:81586-83586	PAN027#2#chrX:88000-90000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	90000	92000	90000	92000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.950640	1.000000	0.049360	2000	PAN011#joint#h2_chrY:83586-85586	PAN027#2#chrX:90000-92000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	92000	94000	92000	94000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.998500	1.000000	0.001500	2000	PAN011#joint#h2_chrY:85586-87586	PAN027#2#chrX:92000-94000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	94000	96000	94000	96000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.998500	1.000000	0.001500	2000	PAN011#joint#h2_chrY:87586-89586	PAN027#2#chrX:94000-96000
1	chrX_p	PAR1 X/Y control	PAN027#2#chrX	chrX	p	154091348	500000	96000	98000	96000	98000	2000	chrY	chrY	PAN011#joint#h2_chrY	0.973267	1.000000	0.026733	2000	PAN011#joint#h2_chrY:89586-91586	PAN027#2#chrX:96000-98000
