region	method_id	evidence_layer	comparison_id	query_chrom	target_chrom	support_bins	aligned_bp_sum	mean_identity_weighted	mean_match_distance
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr22	chr21	180	949690	0.946073	0.053927
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr15	chr21	244	1799590	0.981478	0.018522
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr14	chr21	165	624284	0.959069	0.040931
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN028mat_vs_PAN027_joint	chr13	chr21	222	1619896	0.989192	0.010808
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr22	chr21	177	1493239	0.978433	0.021567
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr15	chr21	137	668236	0.971510	0.028490
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr14	chr21	130	1164940	0.965025	0.034975
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027pat_vs_PAN011_joint	chr13	chr21	117	996489	0.971724	0.028276
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr22	chr21	193	2512596	0.986994	0.013006
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr15	chr21	168	814041	0.951076	0.048924
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr14	chr21	227	1632123	0.959530	0.040470
acrocentric_p_cross	sweepga_fastga_f32	raw_many_many	PAN027mat_vs_PAN010_joint	chr13	chr21	241	4499224	0.986234	0.013766
PAR_XY	wfmash_p95_updated_bin	filtered_one_to_one	PAN027pat_vs_PAN011_joint	chrX	chrY	75	147001	0.999823	0.000177
PAR_XY	sweepga_fastga_f32	filtered_one_to_one	PAN027pat_vs_PAN011_joint	chrX	chrY	84	164035	0.999672	0.000328
PAR_XY	wfmash_p95_updated_bin	raw_many_many	PAN027pat_vs_PAN011_joint	chrX	chrY	106	225476	0.991728	0.008272
acrocentric_p_cross	wfmash_p95_updated_bin	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr22	chr15	8	16000	0.999375	0.000625
acrocentric_p_cross	wfmash_p95_updated_bin	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr21	chr15	8	16000	0.987250	0.012750
acrocentric_p_cross	wfmash_p95_updated_bin	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr14	chr15	12	20838	0.997121	0.002879
acrocentric_p_cross	wfmash_p95_updated_bin	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr22	chr14	32	60456	0.981449	0.018551
acrocentric_p_cross	wfmash_p95_updated_bin	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr21	chr14	61	117403	0.979514	0.020486
