label	chrom	arm	chrom_arm	bed_start0	bed_end0	phr_inclusive_bp	chrom_size_bp	browser_start1	browser_end1	browser_window_bp	terminal_gap_bp	p_terminal_gap_bp	q_terminal_gap_bp	bed_field4	image_path	image_width_px	image_height_px	image_stdev_gray	html_path	html_track_confirmed	ucsc_position_display	ucsc_url
chr1p	chr1	p	chr1_p	2706	297706	295001	248387328	1	442502	442502	2706	2706	248089622	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr15,chr16,chr17,chr19,chr20	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr1p_chr1_1_442502.png	1789	933	0.156968	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr1p_chr1_1_442502.html	true	chr1:1-442,502	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr1%3A1-442502&pix=1800
chr1q	chr1	q	chr1_q	248369277	248384276	15000	248387328	248364829	248387328	22500	3052	248369277	3052	chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr19,chr20,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr1q_chr1_248364829_248387328.png	1789	133	0.309792	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr1q_chr1_248364829_248387328.html	true	chr1:248,364,829-248,387,328	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr1%3A248364829-248387328&pix=1800
chr10p	chr10	p	chr10_p	2489	72489	70001	134758134	1	105002	105002	2489	2489	134685645	chr3,chr9,chr10,chr16,chr18	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr10p_chr10_1_105002.png	1789	229	0.259549	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr10p_chr10_1_105002.html	true	chr10:1-105,002	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr10%3A1-105002&pix=1800
chr10q	chr10	q	chr10_q	134574995	134754994	180000	134758134	134488135	134758134	270000	3140	134574995	3140	chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr20,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr10q_chr10_134488135_134758134.png	1789	293	0.262976	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr10q_chr10_134488135_134758134.html	true	chr10:134,488,135-134,758,134	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr10%3A134488135-134758134&pix=1800
chr11p	chr11	p	chr11_p	1736	236736	235001	135127769	1	352502	352502	1736	1736	134891033	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr11,chr12,chr15,chr16,chr17,chr19,chr20	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr11p_chr11_1_352502.png	1789	693	0.174541	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr11p_chr11_1_352502.html	true	chr11:1-352,502	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr11%3A1-352502&pix=1800
chr12p	chr12	p	chr12_p	2783	72783	70001	133324548	1	105002	105002	2783	2783	133251765	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY,chr11,chr12,chr15,chr16,chr19,chr20	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr12p_chr12_1_105002.png	1789	213	0.270836	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr12p_chr12_1_105002.html	true	chr12:1-105,002	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr12%3A1-105002&pix=1800
chr12q	chr12	q	chr12_q	133297274	133322273	25000	133324548	133287049	133324548	37500	2275	133297274	2275	chr7,chr12	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr12q_chr12_133287049_133324548.png	1789	165	0.289443	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr12q_chr12_133287049_133324548.html	true	chr12:133,287,049-133,324,548	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr12%3A133287049-133324548&pix=1800
chr13q	chr13	q	chr13_q	113553247	113563246	10000	113566686	113551687	113566686	15000	3440	113553247	3440	chr1,chr2,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr13,chr16,chr17,chr19,chr20,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr13q_chr13_113551687_113566686.png	1789	117	0.324715	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr13q_chr13_113551687_113566686.html	true	chr13:113,551,687-113,566,686	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr13%3A113551687-113566686&pix=1800
chr14p	chr14	p	chr14_p	2075	372075	370001	101161492	1	555002	555002	2075	2075	100789417	chr13,chr14,chr15,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr14p_chr14_1_555002.png	1789	165	0.291343	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr14p_chr14_1_555002.html	true	chr14:1-555,002	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr14%3A1-555002&pix=1800
chr15p	chr15	p	chr15_p	3258	408258	405001	99753195	1	607502	607502	3258	3258	99344937	chr3,chr4,chrX,chr10,chr13,chr14,chr15,chr21,chr22	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr15p_chr15_1_607502.png	1789	197	0.265951	slides/chm13-phr-ucsc-browser/_assets/ucsc/html/chr15p_chr15_1_607502.html	true	chr15:1-607,502	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr15%3A1-607502&pix=1800
