seq_a	seq_b	chr_a	arm_a	chr_b	arm_b	size_a	size_b	jaccard	hic_contact_raw	hic_contact_norm	hic_bins
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr11_parm:10588-4000000:1-370000	chr10	chr10_p	chr11	chr11_p	3489999	369999	0.0814945	0.02058545761782596	0.00014703898298447113	140
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr11_qarm:128708645-132696509:3940001-3985000	chr10	chr10_p	chr11	chr11_q	3489999	44999	0.0	0.00047475875061820175	1.3564535731948621e-05	35
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr12_parm:8657-4000000:1-2525000	chr10	chr10_p	chr12	chr12_p	3489999	2524999	0.637824	0.8304267605979921	0.0009125568797780134	910
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr13_parm:10860-4000000:1-1735000	chr10	chr10_p	chr13	chr13_p	3489999	1734999	0.472052	0.3065792053756715	0.0004866336593264627	630
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr14_parm:13379-4000000:1-3985000	chr10	chr10_p	chr14	chr14_p	3489999	3984999	0.760253	0.8503952382337394	0.0006393949159652176	1330
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr15_parm:17595-4000000:1-3980000	chr10	chr10_p	chr15	chr15_p	3489999	3979999	0.744024	0.7506001679519657	0.0008935716285142449	840
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr16_parm:1696-4000000:1-3745000	chr10	chr10_p	chr16	chr16_p	3489999	3744999	0.781791	0.8230289357612329	0.0006188187486926563	1330
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr17_parm:8464-4000000:1-3150000	chr10	chr10_p	chr17	chr17_p	3489999	3149999	0.773405	0.5732319461229103	0.0005118142376097413	1120
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr18_parm:19167-4000000:1-35000	chr10	chr10_p	chr18	chr18_p	3489999	34999	0.00338904	0.002718366028015051	7.766760080043004e-05	35
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr19_parm:9560-4000000:1-3990000	chr10	chr10_p	chr19	chr19_p	3489999	3989999	0.725168	0.7364771696851504	0.0005260551212036789	1400
