arm_a	arm_b	similarity	distance	community_a	community_b	same_community	pair_label
chr10_q	chr4_q	0.582989363243337	0.417010636756663	C1	C1	TRUE	10q-4q
chr10_q	chr17_p	0.00559868027210897	0.994401319727891	C1	C10	FALSE	10q-17p
chr10_q	chr5_q	0.034262871994435	0.965737128005565	C1	C11	FALSE	10q-5q
chr10_q	chr6_q	0.035888832340209	0.964111167659791	C1	C11	FALSE	10q-6q
chr10_q	chr8_p	0.035245396878402	0.964754603121598	C1	C11	FALSE	10q-8p
chr4_q	chr5_q	0.021906424097156	0.978093575902844	C1	C11	FALSE	4q-5q
chr4_q	chr6_q	0.023397496422205	0.976602503577795	C1	C11	FALSE	4q-6q
chr4_q	chr8_p	0.020742675583771	0.979257324416229	C1	C11	FALSE	4q-8p
chr10_q	chr2_q	0.068918493439153	0.931081506560847	C1	C12	FALSE	10q-2q
chr10_q	chr20_p	0.0525932563427139	0.947406743657286	C1	C12	FALSE	10q-20p
chr10_q	chr4_p	0.023508199279712	0.976491800720288	C1	C13	FALSE	10q-4p
chr10_q	chrX_q	0.00211996765979094	0.997880032340209	C1	C14	FALSE	10q-Xq
chr10_q	chrY_q	0.00209702570929404	0.997902974290706	C1	C14	FALSE	10q-Yq
chr4_q	chrX_q	0.00108446841524501	0.998915531584755	C1	C14	FALSE	4q-Xq
chr4_q	chrY_q	0.00101111681504296	0.998988883184957	C1	C14	FALSE	4q-Yq
chr10_q	chrX_p	1.58481056029558e-05	0.999984151894397	C1	C15	FALSE	10q-Xp
chr10_q	chrY_p	2.53085495069971e-05	0.999974691450493	C1	C15	FALSE	10q-Yp
chr4_q	chrX_p	7.09982953395194e-06	0.999992900170466	C1	C15	FALSE	4q-Xp
chr4_q	chrY_p	1.27456156380212e-05	0.999987254384362	C1	C15	FALSE	4q-Yp
chr10_q	chr18_p	0.0276323576453	0.9723676423547	C1	C2	FALSE	10q-18p
chr10_q	chr11_p	0.0111715091411561	0.988828490858844	C1	C3	FALSE	10q-11p
chr10_q	chr16_q	0.043505033289039	0.956494966710961	C1	C3	FALSE	10q-16q
chr10_q	chr19_p	0.031344520840594	0.968655479159406	C1	C3	FALSE	10q-19p
chr10_q	chr3_q	0.00890461251381303	0.991095387486187	C1	C3	FALSE	10q-3q
chr10_q	chr7_p	0.0390203630009081	0.960979636999092	C1	C3	FALSE	10q-7p
chr10_q	chr9_q	0.0328216652598819	0.967178334740118	C1	C3	FALSE	10q-9q
chr4_q	chr7_p	0.023968395680647	0.976031604319353	C1	C3	FALSE	4q-7p
