gene_name,genome_wide_copies,gene_biotype,chromosomes,num_chromosomes
LOC124900618,1,lncRNA,chr1,1
LOC124905335,2,lncRNA,"chr1,chr6",2
LOC112268260,1,protein_coding,chr1,1
LOC101928626,6,lncRNA,"chr1,chr4,chrY",3
WBP1LP7,1,pseudogene,chr1,1
WBP1LP9,7,pseudogene,"chr1,chr11,chr15,chr19,chr3,chr5,chr6",7
OR4F29,1,protein_coding,chr1,1
LOC107986552,4,lncRNA,"chr1,chr11,chr19,chr6",4
SEPTIN14P22,19,pseudogene,"chr1,chr10,chr11,chr16,chr19,chr2,chr20,chr3,chr4,chr5,chr7,chr9,chrY",13
SEPTIN14P13,2,pseudogene,"chr1,chr9",2
CICP3,1,pseudogene,chr1,1
LOC100288069,1,lncRNA,chr1,1
RNU6-1199P,1,pseudogene,chr1,1
GTF2IP10,12,pseudogene,"chr1,chr10,chr11,chr16,chr4,chr5,chr7,chr9",8
LINC01409,1,lncRNA,chr1,1
LOC124903817,1,lncRNA,chr1,1
FAM87B,1,lncRNA,chr1,1
LINC00115,1,lncRNA,chr1,1
LINC01128,1,lncRNA,chr1,1
LOC107984850,1,lncRNA,chr1,1
FAM41C,1,lncRNA,chr1,1
TUBB8P11,1,pseudogene,chr1,1
LOC284600,1,lncRNA,chr1,1
LINC02593,1,lncRNA,chr1,1
LOC107985728,1,lncRNA,chr1,1
SAMD11,1,protein_coding,chr1,1
NOC2L,1,protein_coding,chr1,1
KLHL17,1,protein_coding,chr1,1
PLEKHN1,1,protein_coding,chr1,1
PERM1,1,protein_coding,chr1,1
HES4,1,protein_coding,chr1,1
RPL39P12,1,pseudogene,chr1,1
ISG15,1,protein_coding,chr1,1
AGRN,1,protein_coding,chr1,1
LOC100288175,1,lncRNA,chr1,1
LOC105378948,1,lncRNA,chr1,1
RNF223,1,protein_coding,chr1,1
C1orf159,1,protein_coding,chr1,1
LOC124903819,1,lncRNA,chr1,1
LOC124903820,1,lncRNA,chr1,1
LINC01342,1,lncRNA,chr1,1
LOC124903818,1,lncRNA,chr1,1
MIR200B,1,miRNA,chr1,1
MIR200A,1,miRNA,chr1,1
MIR429,1,miRNA,chr1,1
TTLL10-AS1,1,lncRNA,chr1,1
TTLL10,1,protein_coding,chr1,1
TNFRSF18,1,protein_coding,chr1,1
TNFRSF4,1,protein_coding,chr1,1
SDF4,1,protein_coding,chr1,1
B3GALT6,1,protein_coding,chr1,1
C1QTNF12,1,protein_coding,chr1,1
UBE2J2,1,protein_coding,chr1,1
SCNN1D,1,protein_coding,chr1,1
ACAP3,1,protein_coding,chr1,1
MIR6726,1,miRNA,chr1,1
