comparison_id	chop_length_bp	filter_mode	filter_label	scaffold_jump	scoring	num_mappings	source_paf	output_paf
PAN027pat_vs_PAN011_joint	10000	no_merge_log_length_ani	no merge; log-length ANI	0	log-length-ani	1:1	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l10000.no_merge_log_length_ani.paf.gz
PAN027pat_vs_PAN011_joint	5000	no_merge_log_length_ani	no merge; log-length ANI	0	log-length-ani	1:1	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l5000_o0/PAN027pat_vs_PAN011_joint.chopped_l5000_o0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l5000.no_merge_log_length_ani.paf.gz
PAN027pat_vs_PAN011_joint	2000	no_merge_log_length_ani	no merge; log-length ANI	0	log-length-ani	1:1	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l2000_o0/PAN027pat_vs_PAN011_joint.chopped_l2000_o0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_log_length_ani.paf.gz
PAN028mat_vs_PAN027_joint	10000	no_merge_log_length_ani	no merge; log-length ANI	0	log-length-ani	1:1	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l10000.no_merge_log_length_ani.paf.gz
PAN028mat_vs_PAN027_joint	5000	no_merge_log_length_ani	no merge; log-length ANI	0	log-length-ani	1:1	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l5000_o0/PAN028mat_vs_PAN027_joint.chopped_l5000_o0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l5000.no_merge_log_length_ani.paf.gz
PAN028mat_vs_PAN027_joint	2000	no_merge_log_length_ani	no merge; log-length ANI	0	log-length-ani	1:1	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l2000_o0/PAN028mat_vs_PAN027_joint.chopped_l2000_o0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l2000.no_merge_log_length_ani.paf.gz
PAN027pat_vs_PAN011_joint	10000	merge50k_ani	50 kb merge; ANI	50k	ani	1:1	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l10000.merge50k_ani.paf.gz
PAN027pat_vs_PAN011_joint	5000	merge50k_ani	50 kb merge; ANI	50k	ani	1:1	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l5000_o0/PAN027pat_vs_PAN011_joint.chopped_l5000_o0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l5000.merge50k_ani.paf.gz
PAN027pat_vs_PAN011_joint	2000	merge50k_ani	50 kb merge; ANI	50k	ani	1:1	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l2000_o0/PAN027pat_vs_PAN011_joint.chopped_l2000_o0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.merge50k_ani.paf.gz
PAN028mat_vs_PAN027_joint	10000	merge50k_ani	50 kb merge; ANI	50k	ani	1:1	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l10000.merge50k_ani.paf.gz
