candidate_id	comparison_id	layer	paf_path	query_name	query_start	query_end	target_chrom	overlap_rows	sum_overlap_bp	query_union_bp	emits_chr3_target
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	chopped_many_many_l10000_o0	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	PAN027#2#chr9	135704825	136204825	chr9	55	530305	500000	no
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	four_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_chopped.paf.gz	PAN027#2#chr9	135704825	136204825	chr9	55	530305	500000	no
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	many_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027pat_vs_PAN011_joint.many_many_chopped.paf.gz	PAN027#2#chr9	135704825	136204825	chr9	55	530305	500000	no
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	one_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027pat_vs_PAN011_joint.one_many_chopped.paf.gz	PAN027#2#chr9	135704825	136204825	chr9	53	510305	500000	no
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	one_one_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027pat_vs_PAN011_joint.one_one_chopped.paf.gz	PAN027#2#chr9	135704825	136204825	chr9	51	499833	499833	no
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	two_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027pat_vs_PAN011_joint.two_many_chopped.paf.gz	PAN027#2#chr9	135704825	136204825	chr9	55	530305	500000	no
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_many_many_j0	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr9	2	530305	500000	no
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	chopped_many_many_l10000_o0	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0.paf.gz	PAN028#1#chr9	134380985	134880985	chr16	2	14898	14898	no
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	chopped_many_many_l10000_o0	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0.paf.gz	PAN028#1#chr9	134380985	134880985	chr9	84	788847	498087	no
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	four_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_chopped.paf.gz	PAN028#1#chr9	134380985	134880985	chr16	2	14898	14898	no
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	four_many_chopped	/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_chopped.paf.gz	PAN028#1#chr9	134380985	134880985	chr9	84	788847	498087	no
