pop1	pop2	arm_community	fst
AFR	AMR	C1/chr4_q	0.197737
AFR	AMR	C3/chr16_q	0.308743
AFR	AMR	C5/chr6_p	0.108774
AFR	AMR	C15/chrX_p	0.231665
AFR	AMR	C6/chr19_q	0.011833
AFR	AMR	C3/chr9_q	0.067625
AFR	AMR	C6/chr22_q	0.006473
AFR	AMR	C15/chrY_p	0.108191
AFR	AMR	C1/chr10_q	0.003203
AFR	AMR	C11/chr6_q	-0.024097
AFR	EAS	C1/chr4_q	0.086504
AFR	EAS	C3/chr16_q	0.372738
AFR	EAS	C5/chr6_p	0.244503
AFR	EAS	C15/chrX_p	0.275595
AFR	EAS	C6/chr19_q	0.219505
AFR	EAS	C3/chr9_q	0.049333
AFR	EAS	C6/chr22_q	0.016049
AFR	EAS	C15/chrY_p	0.122147
AFR	EAS	C1/chr10_q	0.000780
AFR	EAS	C11/chr6_q	0.137664
AFR	EUR	C1/chr4_q	0.048363
AFR	EUR	C3/chr16_q	0.414533
AFR	EUR	C5/chr6_p	0.239410
AFR	EUR	C15/chrX_p	0.314999
AFR	EUR	C6/chr19_q	0.041252
AFR	EUR	C3/chr9_q	0.032692
AFR	EUR	C6/chr22_q	-0.001298
AFR	EUR	C15/chrY_p	0.136955
AFR	EUR	C1/chr10_q	0.099014
AFR	EUR	C11/chr6_q	-0.245945
AFR	SAS	C1/chr4_q	0.076318
AFR	SAS	C3/chr16_q	0.287766
AFR	SAS	C5/chr6_p	0.220360
AFR	SAS	C15/chrX_p	0.293125
AFR	SAS	C6/chr19_q	0.013891
AFR	SAS	C3/chr9_q	0.113206
AFR	SAS	C6/chr22_q	0.078761
AFR	SAS	C15/chrY_p	0.161290
AFR	SAS	C1/chr10_q	-0.041581
AFR	SAS	C11/chr6_q	-0.169060
AMR	EAS	C1/chr4_q	0.026944
AMR	EAS	C3/chr16_q	0.015115
AMR	EAS	C5/chr6_p	0.022422
AMR	EAS	C15/chrX_p	0.000000
AMR	EAS	C6/chr19_q	0.082192
AMR	EAS	C3/chr9_q	0.000790
AMR	EAS	C6/chr22_q	0.001644
AMR	EAS	C15/chrY_p	-0.084821
AMR	EAS	C1/chr10_q	-0.000488
AMR	EAS	C11/chr6_q	0.006369
AMR	EUR	C1/chr4_q	0.003617
AMR	EUR	C3/chr16_q	0.082197
AMR	EUR	C5/chr6_p	0.040634
AMR	EUR	C15/chrX_p	0.000000
AMR	EUR	C6/chr19_q	0.009631
AMR	EUR	C3/chr9_q	-0.005045
AMR	EUR	C6/chr22_q	0.004953
AMR	EUR	C15/chrY_p	-0.046348
AMR	EUR	C1/chr10_q	0.061306
AMR	EUR	C11/chr6_q	-0.083908
AMR	SAS	C1/chr4_q	0.016678
AMR	SAS	C3/chr16_q	-0.008910
AMR	SAS	C5/chr6_p	0.022635
AMR	SAS	C15/chrX_p	0.000000
AMR	SAS	C6/chr19_q	-0.000108
AMR	SAS	C3/chr9_q	0.008270
AMR	SAS	C6/chr22_q	0.034837
AMR	SAS	C15/chrY_p	-0.026278
AMR	SAS	C1/chr10_q	0.022377
AMR	SAS	C11/chr6_q	-0.032687
EAS	EUR	C1/chr4_q	-0.004773
EAS	EUR	C3/chr16_q	0.025903
EAS	EUR	C5/chr6_p	0.000872
EAS	EUR	C15/chrX_p	0.000000
EAS	EUR	C6/chr19_q	-0.042614
EAS	EUR	C3/chr9_q	-0.003606
EAS	EUR	C6/chr22_q	0.011053
EAS	EUR	C15/chrY_p	-0.396552
EAS	EUR	C1/chr10_q	0.057752
EAS	EUR	C11/chr6_q	-0.122747
EAS	SAS	C1/chr4_q	-0.000822
EAS	SAS	C3/chr16_q	-0.010624
EAS	SAS	C5/chr6_p	-0.001022
EAS	SAS	C15/chrX_p	0.000000
EAS	SAS	C6/chr19_q	0.041790
EAS	SAS	C3/chr9_q	0.014669
EAS	SAS	C6/chr22_q	0.021919
EAS	SAS	C15/chrY_p	0.000000
EAS	SAS	C1/chr10_q	0.033005
EAS	SAS	C11/chr6_q	-0.045757
EUR	SAS	C1/chr4_q	-0.001484
EUR	SAS	C3/chr16_q	0.061730
EUR	SAS	C5/chr6_p	0.003046
EUR	SAS	C15/chrX_p	0.000000
EUR	SAS	C6/chr19_q	0.006490
EUR	SAS	C3/chr9_q	0.007923
EUR	SAS	C6/chr22_q	0.053770
EUR	SAS	C15/chrY_p	-0.306667
EUR	SAS	C1/chr10_q	0.148391
EUR	SAS	C11/chr6_q	-0.004365
