comparison_id	chop_length_bp	filter_mode	filter_label	num_mappings	scaffold_jump	scoring	source	filtered_paf	filtered_paf_sha256
PAN027pat_vs_PAN011_joint	10000	no_merge_ani	no merge; ANI	1:1	0	ani	existing	paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity/PAN027pat_vs_PAN011_joint.l10000.one_one_chopped.paf.gz	c7d203c0d6ff2b71872e49a15bf87ebc4bf14b7b50f8b469439404249424ff79
PAN028mat_vs_PAN027_joint	10000	no_merge_ani	no merge; ANI	1:1	0	ani	existing	paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity/PAN028mat_vs_PAN027_joint.l10000.one_one_chopped.paf.gz	d9b3b192a848267c91e24538dfe36cbccb91768862fa3c6463bc5ebc3c4573ec
PAN027pat_vs_PAN011_joint	5000	no_merge_ani	no merge; ANI	1:1	0	ani	existing	paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity/PAN027pat_vs_PAN011_joint.l5000.one_one_chopped.paf.gz	540bafca800df026034ad106e245fd4b6c3e3ba26e6a128449a2dc8a45a42a66
PAN028mat_vs_PAN027_joint	5000	no_merge_ani	no merge; ANI	1:1	0	ani	existing	paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity/PAN028mat_vs_PAN027_joint.l5000.one_one_chopped.paf.gz	42de31ea9083b12d170fc317ae021225a0f83d17a03e431a55d43202dc94ab48
PAN027pat_vs_PAN011_joint	2000	no_merge_ani	no merge; ANI	1:1	0	ani	existing	paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity/PAN027pat_vs_PAN011_joint.l2000.one_one_chopped.paf.gz	500dce726bc92827ea09a19c88df2e7f5d11ee03bce4c8e61e97e1a397d12908
PAN028mat_vs_PAN027_joint	2000	no_merge_ani	no merge; ANI	1:1	0	ani	existing	paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity/PAN028mat_vs_PAN027_joint.l2000.one_one_chopped.paf.gz	19df17f477121212596aa87b3ae6b5dc7bd8246447b2760d333b54fcfc0689e4
PAN027pat_vs_PAN011_joint	10000	no_merge_log_length_ani	no merge; log-length ANI	1:1	0	log-length-ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l10000.no_merge_log_length_ani.paf.gz	c38805f88df224b2a00468c5091586281c5415f7303301bc7618db0d8b1552cd
PAN028mat_vs_PAN027_joint	10000	no_merge_log_length_ani	no merge; log-length ANI	1:1	0	log-length-ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l10000.no_merge_log_length_ani.paf.gz	352b0daed0710a0180127d32de75a6559e1faff54e959baab979df5a13b5a301
PAN027pat_vs_PAN011_joint	5000	no_merge_log_length_ani	no merge; log-length ANI	1:1	0	log-length-ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l5000.no_merge_log_length_ani.paf.gz	c4b8729101b24414a9092179b0425bc20af720a6b5faceea610ea2f4616970d9
PAN028mat_vs_PAN027_joint	5000	no_merge_log_length_ani	no merge; log-length ANI	1:1	0	log-length-ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l5000.no_merge_log_length_ani.paf.gz	7c99141188f37f776aaef522fdca9f6ccf851b724276fb7e6b8031e59d706bfe
PAN027pat_vs_PAN011_joint	2000	no_merge_log_length_ani	no merge; log-length ANI	1:1	0	log-length-ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_log_length_ani.paf.gz	19a866c9b33e4fde1ace1d3fa3454f984ced2600a511a2c05efea1930354c956
PAN028mat_vs_PAN027_joint	2000	no_merge_log_length_ani	no merge; log-length ANI	1:1	0	log-length-ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l2000.no_merge_log_length_ani.paf.gz	1d41bc2d531413ff72940d87ac090916b90750c2e4ab390b4761c900f4a640e6
PAN027pat_vs_PAN011_joint	10000	merge50k_ani	50 kb merge; ANI	1:1	50k	ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l10000.merge50k_ani.paf.gz	f6d1815aa2ca416995b0d89d191cc3d9bd397223c10e8ea89e2c44d55a7c53db
PAN028mat_vs_PAN027_joint	10000	merge50k_ani	50 kb merge; ANI	1:1	50k	ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l10000.merge50k_ani.paf.gz	0a8cb7e33ab15882475ba1855c542056993fc6123bd2317b6f334218022d0b6c
PAN027pat_vs_PAN011_joint	5000	merge50k_ani	50 kb merge; ANI	1:1	50k	ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l5000.merge50k_ani.paf.gz	e40da7b32abfd4609de7d47b7331b799e16a3dae81fc98ae58c4c54313446408
PAN028mat_vs_PAN027_joint	5000	merge50k_ani	50 kb merge; ANI	1:1	50k	ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l5000.merge50k_ani.paf.gz	5098f8201c4a345c5bcb14b949419fb85f63b38151eb14c81473a2122a231ef0
PAN027pat_vs_PAN011_joint	2000	merge50k_ani	50 kb merge; ANI	1:1	50k	ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.merge50k_ani.paf.gz	1a6ef191fddddf32c895222b7d215ffe1e800ad06897efdb09f153b5dffbba94
PAN028mat_vs_PAN027_joint	2000	merge50k_ani	50 kb merge; ANI	1:1	50k	ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l2000.merge50k_ani.paf.gz	23d65bf84d499196c92f001ccec95fb3a4bd13c4db4957be49546357f3900f6c
PAN027pat_vs_PAN011_joint	10000	merge50k_log_length_ani	50 kb merge; log-length ANI	1:1	50k	log-length-ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l10000.merge50k_log_length_ani.paf.gz	158befe5c951bceb45c23c8dab37b89b65f55012dd44b5c6c92309a8a3658a9f
PAN028mat_vs_PAN027_joint	10000	merge50k_log_length_ani	50 kb merge; log-length ANI	1:1	50k	log-length-ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l10000.merge50k_log_length_ani.paf.gz	ee5d90d217972a760b1226256cdcb2bee9685595cb01b77662c25eb7325364bc
PAN027pat_vs_PAN011_joint	5000	merge50k_log_length_ani	50 kb merge; log-length ANI	1:1	50k	log-length-ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l5000.merge50k_log_length_ani.paf.gz	46ae64e9608d2dad834577ffffbd71f1001a0ebbc1010404c87e3071871ab209
PAN028mat_vs_PAN027_joint	5000	merge50k_log_length_ani	50 kb merge; log-length ANI	1:1	50k	log-length-ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l5000.merge50k_log_length_ani.paf.gz	f504a430b261cda0dd3c7411a6d7231d61eb39fa912cf98f7cbef66cffd450cb
PAN027pat_vs_PAN011_joint	2000	merge50k_log_length_ani	50 kb merge; log-length ANI	1:1	50k	log-length-ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.merge50k_log_length_ani.paf.gz	6959a3616b892c0ca272e0e2aa6114759fac598b5dfb54d2598c08ec5f2cc7ff
PAN028mat_vs_PAN027_joint	2000	merge50k_log_length_ani	50 kb merge; log-length ANI	1:1	50k	log-length-ani	run	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN028mat_vs_PAN027_joint.l2000.merge50k_log_length_ani.paf.gz	658e866509719dc4719c1160dbddeac7a7ed6b7eb2a993bcb513b3a9c6ec2da1
