event_id	comparison_id	panel_label	source_layer	query_name	query_sample	query_hap	query_chrom	window_start	window_end	query_start	query_end	query_clip_start	query_clip_end	query_rel_start	query_rel_end	window_overlap_bp	query_length	target_name	target_sample	target_hap	target_chrom	target_bucket	target_start	target_end	target_length	strand	matches	alignment_length	identity	block_length	mapq	expected_target_chroms	is_expected_target	source_paf	source_paf_line
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	raw_many_many_whole_genome	PAN027#2#chr9	PAN027	2	chr9	135704825	136204825	131429896	136204658	135704825	136204658	0	499833	499833	136209149	PAN011#joint#h2_chr9	PAN011	h2	chr9	chr9	128963891	133738689	133744561	+	4774260	4774944	0.999857	4774944	255	chr3	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	322216
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	raw_many_many_whole_genome	PAN027#2#chr9	PAN027	2	chr9	135704825	136204825	135642539	135794870	135704825	135794870	0	90045	90045	136209149	PAN011#joint#h1_chr9	PAN011	h1	chr9	chr9	135614367	135766668	136101078	+	152126	152380	0.998333	152380	255	chr3	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323188
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	raw_many_many_whole_genome	PAN027#2#chr9	PAN027	2	chr9	135704825	136204825	135713144	135713607	135713144	135713607	8319	8782	463	136209149	PAN011#joint#h1_chr1	PAN011	h1	chr1	other	68815503	68815972	247245228	+	415	470	0.882979	470	255	chr3	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323197
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	raw_many_many_whole_genome	PAN027#2#chr9	PAN027	2	chr9	135704825	136204825	135713144	135713607	135713144	135713607	8319	8782	463	136209149	PAN011#joint#h2_chr1	PAN011	h2	chr1	other	68766025	68766492	247691456	+	415	468	0.886752	468	255	chr3	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323198
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	raw_many_many_whole_genome	PAN027#2#chr9	PAN027	2	chr9	135704825	136204825	135716454	135717488	135716454	135717488	11629	12663	1034	136209149	PAN011#joint#h1_chr8	PAN011	h1	chr8	other	124770505	124771528	146523096	+	899	1050	0.856190	1050	255	chr3	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323199
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	raw_many_many_whole_genome	PAN027#2#chr9	PAN027	2	chr9	135704825	136204825	135716454	135717488	135716454	135717488	11629	12663	1034	136209149	PAN011#joint#h2_chr8	PAN011	h2	chr8	other	124449236	124450259	146258909	+	899	1050	0.856190	1050	255	chr3	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323200
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	raw_many_many_whole_genome	PAN027#2#chr9	PAN027	2	chr9	135704825	136204825	135719495	135719911	135719495	135719911	14670	15086	416	136209149	PAN011#joint#h1_chr3	PAN011	h1	chr3	chr3	53636983	53637392	202554222	+	369	419	0.880668	419	255	chr3	yes	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323201
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	raw_many_many_whole_genome	PAN027#2#chr9	PAN027	2	chr9	135704825	136204825	135719495	135719911	135719495	135719911	14670	15086	416	136209149	PAN011#joint#h2_chr3	PAN011	h2	chr3	chr3	53697018	53697427	205578940	+	369	419	0.880668	419	255	chr3	yes	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323202
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	raw_many_many_whole_genome	PAN027#2#chr9	PAN027	2	chr9	135704825	136204825	135794227	135902138	135794227	135902138	89402	197313	107911	136209149	PAN011#joint#h1_chr9	PAN011	h1	chr9	chr9	135766839	135874807	136101078	+	107796	107982	0.998277	107982	255	chr3	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323203
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	raw_many_many_whole_genome	PAN027#2#chr9	PAN027	2	chr9	135704825	136204825	135815747	135816135	135815747	135816135	110922	111310	388	136209149	PAN011#joint#h1_chr9	PAN011	h1	chr9	chr9	134760000	134760383	136101078	-	361	388	0.930412	388	255	chr3	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323204
