event_id	comparison_id	panel_label	query_name	query_chrom	window_start	window_end	basis	chunk_mode	num_mappings	scaffold_jump	scoring	filter_overlap	query_start	query_end	query_clip_start	query_clip_end	window_overlap_bp	target_name	target_chrom	target_bucket	target_start	target_end	strand	matches	alignment_length	identity	expected_target_chroms	is_expected_target	source_tsv_gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	6000	8000	6000	8000	2000	PAN011#joint#h2_chrY	chrY	chrY	0	1570	.	1372	1565	0.876751	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	8000	10000	8000	10000	2000	PAN011#joint#h2_chrY	chrY	chrY	1570	3573	.	1995	1998	0.998251	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	10000	12000	10000	12000	2000	PAN011#joint#h2_chrY	chrY	chrY	3573	5580	.	1981	1992	0.994260	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	12000	14000	12000	14000	2000	PAN011#joint#h2_chrY	chrY	chrY	5580	7583	.	1999	2000	0.999251	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	14000	16000	14000	16000	2000	PAN011#joint#h2_chrY	chrY	chrY	7583	9584	.	2000	2000	0.999750	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	16000	18000	16000	18000	2000	PAN011#joint#h2_chrY	chrY	chrY	9584	11585	.	2000	2000	0.999750	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	18000	20000	18000	20000	2000	PAN011#joint#h2_chrY	chrY	chrY	11585	13586	.	2000	2000	0.999750	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	20000	22000	20000	22000	2000	PAN011#joint#h2_chrY	chrY	chrY	13586	15586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	22000	24000	22000	24000	2000	PAN011#joint#h2_chrY	chrY	chrY	15586	17586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	24000	26000	24000	26000	2000	PAN011#joint#h2_chrY	chrY	chrY	17586	19586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	26000	28000	26000	28000	2000	PAN011#joint#h2_chrY	chrY	chrY	19586	21586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	28000	30000	28000	30000	2000	PAN011#joint#h2_chrY	chrY	chrY	21586	23586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	30000	32000	30000	32000	2000	PAN011#joint#h2_chrY	chrY	chrY	23586	25586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	32000	34000	32000	34000	2000	PAN011#joint#h2_chrY	chrY	chrY	25586	27586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	34000	36000	34000	36000	2000	PAN011#joint#h2_chrY	chrY	chrY	27586	29586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	36000	38000	36000	38000	2000	PAN011#joint#h2_chrY	chrY	chrY	29586	31586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	38000	40000	38000	40000	2000	PAN011#joint#h2_chrY	chrY	chrY	31586	33586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	40000	42000	40000	42000	2000	PAN011#joint#h2_chrY	chrY	chrY	33586	35586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	42000	44000	42000	44000	2000	PAN011#joint#h2_chrY	chrY	chrY	35586	37586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	44000	46000	44000	46000	2000	PAN011#joint#h2_chrY	chrY	chrY	37586	39586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	46000	48000	46000	48000	2000	PAN011#joint#h2_chrY	chrY	chrY	39586	41586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	48000	50000	48000	50000	2000	PAN011#joint#h2_chrY	chrY	chrY	41586	43586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	50000	52000	50000	52000	2000	PAN011#joint#h2_chrY	chrY	chrY	43586	45586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	52000	54000	52000	54000	2000	PAN011#joint#h2_chrY	chrY	chrY	45586	47586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	54000	56000	54000	56000	2000	PAN011#joint#h2_chrY	chrY	chrY	47586	49586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	56000	58000	56000	58000	2000	PAN011#joint#h2_chrY	chrY	chrY	49586	51586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	58000	60000	58000	60000	2000	PAN011#joint#h2_chrY	chrY	chrY	51586	53586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	60000	62000	60000	62000	2000	PAN011#joint#h2_chrY	chrY	chrY	53586	55586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	62000	64000	62000	64000	2000	PAN011#joint#h2_chrY	chrY	chrY	55586	57586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	64000	66000	64000	66000	2000	PAN011#joint#h2_chrY	chrY	chrY	57586	59586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	66000	68000	66000	68000	2000	PAN011#joint#h2_chrY	chrY	chrY	59586	61586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	68000	70000	68000	70000	2000	PAN011#joint#h2_chrY	chrY	chrY	61586	63586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	chrX	0	500000	1:1	pre-impg-query-window	1:1	0	impg-estimated-identity	na	70000	72000	70000	72000	2000	PAN011#joint#h2_chrY	chrY	chrY	63586	65586	.	2000	2000	1.000000	chrX,chrY	yes	paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.1to1.query_2000bp.predepth_top20.impg_similarity.tsv.gz
