event_id	comparison_id	cell_id	source_kind	scaffold_jump	min_aln_length	scoring	num_mappings	scaffold_mass	overlap	target_chrom	target_sum_bp	target_union_bp	target_rows	is_expected_target
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr1	6139	6139	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr10	11912	5965	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr11	494	247	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr12	116837	7212	21	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr14	86092	12631	9	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr15	11575	7811	7	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr16	21502	4686	6	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr18	231	231	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr19	273	273	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr2	4934	4934	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr20	1102	551	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr21	1106	553	2	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr22	72393	12252	6	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr3	2664	2111	3	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr5	4500	4500	1	no
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	chr7	574	574	1	no
