basis	query_chrom	target_chrom	query_start	query_end	bp	windows	mean_delta	max_delta	mean_inter_identity	mean_same_identity
10:10	chrX	chrY	14000	106000	92000	46	0.103367	0.740741	0.999984	0.896616
10:10	chrX	chrY	110000	156000	46000	23	0.139137	0.584446	0.999336	0.860200
10:10	chr13	chr21	7924000	7968000	44000	22	0.085227	0.952512	0.963959	0.878732
10:10	chr13	chr4	4828000	4864000	36000	18	0.027252	0.144044	0.992023	0.964771
10:10	chr22	chr15	2750000	2786000	36000	18	0.048188	0.642628	0.999125	0.950937
10:10	chr21	chr13	7650000	7682000	32000	16	0.164351	0.937293	0.997037	0.832685
10:10	chr13	chr21	7172000	7202000	30000	15	0.001948	0.005009	0.998215	0.996267
10:10	chr13	chr21	8296000	8326000	30000	15	0.034925	0.313667	0.996679	0.961754
10:10	chr13	chr21	8360000	8390000	30000	15	0.007241	0.025405	0.995989	0.988749
10:10	chr14	chr13	8624000	8652000	28000	14	0.054539	0.097949	0.968786	0.914247
10:10	chr5	chr1	182052000	182080000	28000	14	0.003196	0.007944	0.998267	0.995071
10:10	chr21	chr13	6422000	6448000	26000	13	0.002773	0.009048	0.998865	0.996092
10:10	chr13	chr21	6698000	6720000	22000	11	0.004818	0.015046	0.999227	0.994409
10:10	chr22	chr14	324000	346000	22000	11	0.022214	0.127142	0.996863	0.974649
10:10	chr15	chr13	400000	420000	20000	10	0.031941	0.262626	0.999700	0.967759
10:10	chr22	chr15	662000	682000	20000	10	0.085279	0.514378	0.995727	0.910448
10:10	chr22	chr15	2840000	2860000	20000	10	0.028788	0.256590	0.997100	0.968312
10:10	chr9	chr3	136168000	136188000	20000	10	0.006840	0.021347	0.998775	0.991935
10:10	chr13	chr21	5356000	5374000	18000	9	0.009034	0.060780	0.995810	0.986776
10:10	chr13	chr21	6168000	6186000	18000	9	0.171367	0.856694	0.999222	0.827855
10:10	chr13	chr21	6264000	6282000	18000	9	0.064300	0.555447	0.999028	0.934728
10:10	chr13	chr21	6340000	6358000	18000	9	0.138399	0.491169	0.998806	0.860407
10:10	chr13	chr21	7332000	7350000	18000	9	0.086148	0.563770	0.998500	0.912352
10:10	chr21	chr14	3008000	3026000	18000	9	0.094863	0.840773	0.999141	0.904278
10:10	chr21	chr13	5776000	5794000	18000	9	0.063056	0.074519	0.975945	0.912888
10:10	chr22	chr15	2788000	2806000	18000	9	0.002882	0.013199	0.998806	0.995924
10:10	chr9	chr2	58000	76000	18000	9	0.012254	0.039430	0.956486	0.944232
10:10	chr1	chr22	131096000	131112000	16000	8	0.321581	0.614104	0.959085	0.637504
10:10	chr13	chr21	6284000	6300000	16000	8	0.014246	0.104722	0.999156	0.984910
10:10	chr13	chr21	6322000	6338000	16000	8	0.000969	0.002000	0.999000	0.998031
10:10	chr13	chr21	7260000	7276000	16000	8	0.007521	0.047171	0.997192	0.989671
10:10	chr13	chr21	7984000	8000000	16000	8	0.116358	0.554064	0.997284	0.880926
10:10	chr13	chr21	8342000	8358000	16000	8	0.004898	0.009468	0.996223	0.991326
10:10	chr13	chr22	5308000	5322000	14000	7	0.008149	0.013756	0.995606	0.987457
