basis	query_chrom	target_chrom	windows	bp	mean_delta	median_delta	max_delta	mean_inter_identity	mean_same_identity
10:10	chr13	chr21	429	858000	0.043193	0.002500	0.952512	0.989040	0.945846
10:10	chr21	chr13	159	318000	0.061910	0.002748	0.943702	0.991115	0.929205
10:10	chr22	chr15	119	238000	0.051905	0.005253	0.777694	0.994387	0.942482
10:10	chr13	chr14	102	204000	0.040670	0.003104	0.587148	0.968031	0.927361
10:10	chr21	chr14	94	188000	0.038711	0.001633	0.840773	0.985406	0.946695
10:10	chr13	chr22	93	186000	0.024470	0.002984	0.639013	0.980003	0.955532
10:10	chrX	chrY	82	164000	0.097087	0.022694	0.740741	0.999601	0.902514
10:10	chr22	chr14	64	128000	0.104379	0.010630	0.993018	0.990795	0.886417
10:10	chr22	chr21	52	104000	0.078724	0.008910	0.891342	0.995424	0.916700
10:10	chr1	chr14	44	88000	0.256808	0.165139	0.851320	0.915992	0.659184
10:10	chr1	chr22	44	88000	0.243353	0.160597	0.795256	0.896999	0.653646
10:10	chr5	chr1	35	70000	0.011713	0.003747	0.261506	0.987825	0.976111
10:10	chr13	chr4	33	66000	0.139248	0.021972	0.933568	0.972951	0.833703
10:10	chr13	chr15	31	62000	0.102863	0.006500	0.937387	0.950390	0.847528
10:10	chr15	chr13	30	60000	0.082684	0.005998	0.978274	0.995707	0.913023
10:10	chr21	chr15	26	52000	0.038683	0.002497	0.343988	0.897216	0.858533
10:10	chr9	chr5	26	52000	0.135021	0.057435	0.796373	0.880922	0.745901
10:10	chr14	chr13	22	44000	0.035409	0.020799	0.097949	0.979772	0.944364
10:10	chr22	chr13	22	44000	0.087701	0.001871	0.963944	0.985209	0.897508
10:10	chr9	chr2	20	40000	0.035244	0.004988	0.549314	0.921807	0.886563
10:10	chr22	chr3	18	36000	0.159560	0.016778	0.747765	0.996014	0.836454
10:10	chr9	chr3	17	34000	0.034577	0.004249	0.499147	0.996841	0.962264
10:10	chr21	chr22	13	26000	0.078322	0.008507	0.844538	0.921879	0.843557
10:10	chr15	chr22	10	20000	0.114917	0.003627	0.984837	0.994900	0.879984
10:10	chr15	chr3	10	20000	0.035152	0.039691	0.060058	0.992126	0.956974
10:10	chr5	chr6	10	20000	0.190282	0.003005	0.899496	0.973500	0.783218
10:10	chr13	chr17	8	16000	0.026405	0.024266	0.076693	0.915995	0.889590
10:10	chr14	chr22	7	14000	0.000674	0.000250	0.002238	0.996887	0.996213
10:10	chr1	chr4	6	12000	0.311185	0.017423	0.962727	0.922210	0.611026
10:10	chr17	chr14	5	10000	0.250392	0.009907	0.786879	0.876525	0.626133
10:10	chr18	chr21	5	10000	0.260549	0.215579	0.568067	0.964633	0.704084
10:10	chr9	chr11	5	10000	0.131875	0.003251	0.649816	0.921920	0.790045
