event_id	comparison_id	filter_mode	filter_label	chop_length_bp	query_name	query_chrom	window_start_abs	window_end_abs	query_window_bp	chr3_rows	chr3_sum_overlap_bp	chr3_query_union_bp	chr9_rows	chr9_sum_overlap_bp	chr9_query_union_bp	other_sum_overlap_bp	other_query_union_bp	chr3_survives	status
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_ani	no-merge ANI	2000	PAN027#2#chr9	chr9	135704825	136204825	500000	38	76000	65562	266	531071	446347	85025	74482	yes	OK
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_log_length_ani	no-merge log-length-ANI	2000	PAN027#2#chr9	chr9	135704825	136204825	500000	38	76000	65562	266	531071	446347	84612	74069	yes	OK
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	scaffold50k_ani	50kb scaffold/merge ANI	2000	PAN027#2#chr9	chr9	135704825	136204825	500000	39	76715	66277	265	529071	445071	76000	67470	yes	OK
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	scaffold50k_log_length_ani	50kb scaffold/merge log-length-ANI	2000	PAN027#2#chr9	chr9	135704825	136204825	500000	39	76715	66277	265	529071	445071	74000	67088	yes	OK
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_ani	no-merge ANI	5000	PAN027#2#chr9	chr9	135704825	136204825	500000	6	30000	27219	96	475071	440071	65000	54088	yes	OK
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_log_length_ani	no-merge log-length-ANI	5000	PAN027#2#chr9	chr9	135704825	136204825	500000	6	30000	27219	96	475071	440071	65000	54088	yes	OK
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	scaffold50k_ani	50kb scaffold/merge ANI	5000	PAN027#2#chr9	chr9	135704825	136204825	500000	6	25715	25612	96	475071	440071	65000	54088	yes	OK
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	scaffold50k_log_length_ani	50kb scaffold/merge log-length-ANI	5000	PAN027#2#chr9	chr9	135704825	136204825	500000	6	25715	25612	96	475071	440071	65000	54088	yes	OK
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_ani	no-merge ANI	10000	PAN027#2#chr9	chr9	135704825	136204825	500000	1	10000	10000	45	445071	435071	60000	50000	yes	OK
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_log_length_ani	no-merge log-length-ANI	10000	PAN027#2#chr9	chr9	135704825	136204825	500000	1	10000	10000	45	445071	435071	69499	59499	yes	OK
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	scaffold50k_ani	50kb scaffold/merge ANI	10000	PAN027#2#chr9	chr9	135704825	136204825	500000	2	10715	10715	45	445071	435071	60000	50000	yes	OK
