setting	pair	query_name	tract_start	tract_end	segment_start	segment_end	resolvability	segment_resolvability	bridge_bp	donor_arms	donor_communities	best_score
m1000_default	PAN028_vs_PAN027	PAN028#1#chr3.haplotype1:199233840-199733839_chr3_qarm	473889	499310	473889	491019	unique_donor_haplotype	unique_donor_haplotype	0	chr20q	C1	0.982
m1000_default	PAN028_vs_PAN027	PAN028#1#chr3.haplotype1:199233840-199733839_chr3_qarm	473889	499310	491019	498263	unique_donor_haplotype	unique_donor_haplotype	0	chr20q	C1	0.997
m1000_default	PAN028_vs_PAN027	PAN028#1#chr3.haplotype1:199233840-199733839_chr3_qarm	473889	499310	498263	499310	unique_donor_haplotype	unique_donor_haplotype	0	chr20q	C1	0.993
m1000_default	PAN028_vs_PAN027	PAN028#1#chr21.haplotype1:13185-513184_chr21_parm	377089	401297	377089	388423	unique_donor_haplotype	unique_donor_haplotype	0	chr15p	C2	0.998
m1000_default	PAN028_vs_PAN027	PAN028#1#chr21.haplotype1:13185-513184_chr21_parm	377089	401297	388423	401297	unique_donor_haplotype	unique_donor_haplotype	0	chr15p	C2	0.998
m1000_default	PAN028_vs_PAN027	PAN028#1#chr22.haplotype1:18334-518333_chr22_parm	223152	247355	223152	234487	unique_donor_haplotype	unique_donor_haplotype	0	chr15p	C2	0.998
m1000_default	PAN028_vs_PAN027	PAN028#1#chr22.haplotype1:18334-518333_chr22_parm	223152	247355	234487	247355	unique_donor_haplotype	unique_donor_haplotype	0	chr15p	C2	0.998
m1000_default	PAN027_vs_PAN011	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	446944	491186	446944	465384	unique_donor_arm_multi_haplotype	unique_donor_haplotype	0	chr3q	C3	0.999
m1000_default	PAN027_vs_PAN011	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	446944	491186	465384	472441	unique_donor_arm_multi_haplotype	unique_donor_haplotype	0	chr3q	C3	0.996
m1000_default	PAN027_vs_PAN011	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	446944	491186	472441	476266	unique_donor_arm_multi_haplotype	unique_donor_arm_multi_haplotype	0	chr3q	C3	0.932
m1000_default	PAN027_vs_PAN011	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	446944	491186	476266	491186	unique_donor_arm_multi_haplotype	unique_donor_haplotype	0	chr3q	C3	0.977
m1000_default	PAN028_vs_PAN027	PAN028#1#chr3.haplotype1:199233840-199733839_chr3_qarm	262953	290922	262953	269319	unique_donor_arm_multi_haplotype	unique_donor_arm_multi_haplotype	0	chr7p	C1	0.943
m1000_default	PAN028_vs_PAN027	PAN028#1#chr3.haplotype1:199233840-199733839_chr3_qarm	262953	290922	269319	290922	unique_donor_arm_multi_haplotype	unique_donor_haplotype	0	chr7p	C1	0.98
m1000_bridge1kb	PAN028_vs_PAN027	PAN028#1#chr3.haplotype1:199233840-199733839_chr3_qarm	262953	290922	262953	269319	unique_donor_arm_multi_haplotype	unique_donor_arm_multi_haplotype	0	chr7p	C1	0.943
m1000_bridge1kb	PAN028_vs_PAN027	PAN028#1#chr3.haplotype1:199233840-199733839_chr3_qarm	262953	290922	269319	290922	unique_donor_arm_multi_haplotype	unique_donor_haplotype	0	chr7p	C1	0.98
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	0	3420	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	3420	4448	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	4448	15030	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	15030	22082	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	22082	23405	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	23405	31618	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	31618	38851	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	38851	42682	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	42682	44069	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	44069	45926	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	45926	63758	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	63758	65108	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	65108	66244	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	66244	67705	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	67705	68718	same_community_ambiguous	same_community_ambiguous	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	68718	69864	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	69864	71430	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	71430	72566	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	72566	74025	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	74025	75038	same_community_ambiguous	same_community_ambiguous	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	75038	76184	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	76184	77751	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	77751	78887	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	78887	80346	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	80346	81359	same_community_ambiguous	same_community_ambiguous	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	81359	82505	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	82505	84071	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	84071	85207	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	85207	86208	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	86208	87217	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	87217	88224	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	88224	89238	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	89238	90239	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
m1000_default	PAN027_vs_PAN010	PAN027#1#chr14.maternal:8164-508163_chr14_parm	0	500000	90239	91537	same_community_ambiguous	unique_donor_haplotype	0	chr14p,chr21p,chr22p	C2	1
