event_id	comparison_id	method_id	top_target_chrom	top_target_class	top_aligned_bp_sum_across_bins	expected_target_aligned_bp_sum	expected_target_bins_with_support	same_chromosome_aligned_bp_sum	expected_vs_same_bp_ratio	par_partner_aligned_bp_sum	cross_acrocentric_aligned_bp_sum	supports_expected_target
PAN027_PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	sweepga_four_many_noscaffold	chrX	same_chromosome	362564	144103	73	362564	0.397455	0	0	yes
PAN027_PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	sweepga_many_many_noscaffold	chrX	same_chromosome	362564	144103	73	362564	0.397455	0	0	yes
PAN027_PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	sweepga_one_one_noscaffold	chrX	same_chromosome	358190	144103	73	358190	0.402309	0	0	yes
PAN027_PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	sweepga_simple_i95_l1k_q80	NO_SUPPORT	none	0	0	0	0		0	0	no
PAN027_acro_chr13p_control	PAN027pat_vs_PAN011_joint	sweepga_four_many_noscaffold	chr13	expected	500000	500000	250	0		0	0	yes
PAN027_acro_chr13p_control	PAN027pat_vs_PAN011_joint	sweepga_many_many_noscaffold	chr13	expected	500000	500000	250	0		0	0	yes
PAN027_acro_chr13p_control	PAN027pat_vs_PAN011_joint	sweepga_one_one_noscaffold	chr13	expected	500000	500000	250	0		0	0	yes
PAN027_acro_chr13p_control	PAN027pat_vs_PAN011_joint	sweepga_simple_i95_l1k_q80	chr13	expected	500000	500000	250	0		0	0	yes
PAN027_acro_chr14p_control	PAN027pat_vs_PAN011_joint	sweepga_four_many_noscaffold	chr14	expected	500000	500000	250	0		0	0	yes
PAN027_acro_chr14p_control	PAN027pat_vs_PAN011_joint	sweepga_many_many_noscaffold	chr14	expected	500000	500000	250	0		0	0	yes
PAN027_acro_chr14p_control	PAN027pat_vs_PAN011_joint	sweepga_one_one_noscaffold	chr14	expected	500000	500000	250	0		0	0	yes
PAN027_acro_chr14p_control	PAN027pat_vs_PAN011_joint	sweepga_simple_i95_l1k_q80	chr14	expected	500000	500000	250	0		0	0	yes
PAN027_acro_chr15p_control	PAN027pat_vs_PAN011_joint	sweepga_four_many_noscaffold	chr15	expected	499999	499999	250	0		0	0	yes
PAN027_acro_chr15p_control	PAN027pat_vs_PAN011_joint	sweepga_many_many_noscaffold	chr15	expected	499999	499999	250	0		0	0	yes
PAN027_acro_chr15p_control	PAN027pat_vs_PAN011_joint	sweepga_one_one_noscaffold	chr15	expected	499999	499999	250	0		0	0	yes
PAN027_acro_chr15p_control	PAN027pat_vs_PAN011_joint	sweepga_simple_i95_l1k_q80	chr15	expected	499999	499999	250	0		0	0	yes
PAN027_acro_chr21p_control	PAN027pat_vs_PAN011_joint	sweepga_four_many_noscaffold	chr21	expected	500000	500000	250	0		0	0	yes
PAN027_acro_chr21p_control	PAN027pat_vs_PAN011_joint	sweepga_many_many_noscaffold	chr21	expected	500000	500000	250	0		0	0	yes
PAN027_acro_chr21p_control	PAN027pat_vs_PAN011_joint	sweepga_one_one_noscaffold	chr21	expected	500000	500000	250	0		0	0	yes
PAN027_acro_chr21p_control	PAN027pat_vs_PAN011_joint	sweepga_simple_i95_l1k_q80	chr21	expected	500000	500000	250	0		0	0	yes
PAN027_acro_chr22p_control	PAN027pat_vs_PAN011_joint	sweepga_four_many_noscaffold	chr22	expected	500000	500000	250	0		0	0	yes
