arm	community
chr1_MATERNAL_p	C1
chr1_MATERNAL_q	C2
chr1_PATERNAL_q	C2
chr1_PATERNAL_p	C1
chr2_MATERNAL_q	C3
chr2_PATERNAL_q	C3
chr3_MATERNAL_q	C4
chr3_PATERNAL_q	C5
chr4_MATERNAL_p	C6
chr4_MATERNAL_q	C7
chr4_PATERNAL_q	C7
chr4_PATERNAL_p	C6
chr5_MATERNAL_q	C8
chr5_PATERNAL_q	C8
chr6_MATERNAL_p	C9
chr6_MATERNAL_q	C10
chr6_PATERNAL_q	C10
chr6_PATERNAL_p	C9
chr7_MATERNAL_q	C11
chr7_MATERNAL_p	C12
chr7_PATERNAL_q	C11
chr7_PATERNAL_p	C13
chr8_MATERNAL_p	C14
chr8_PATERNAL_p	C14
chr9_MATERNAL_q	C15
chr9_MATERNAL_p	C16
chr9_PATERNAL_q	C15
chr9_PATERNAL_p	C17
chr10_MATERNAL_q	C18
chr10_MATERNAL_p	C19
chr10_PATERNAL_q	C18
chr10_PATERNAL_p	C19
chr11_MATERNAL_p	C20
chr11_PATERNAL_p	C20
chr12_MATERNAL_q	C21
chr12_MATERNAL_p	C22
chr12_PATERNAL_q	C21
chr12_PATERNAL_p	C22
chr13_MATERNAL_q	C23
chr13_MATERNAL_p	C24
chr13_PATERNAL_q	C23
chr13_PATERNAL_p	C25
chr14_MATERNAL_p	C24
chr14_PATERNAL_p	C25
chr15_MATERNAL_q	C26
chr15_MATERNAL_p	C27
chr15_PATERNAL_p	C24
chr15_PATERNAL_q	C28
chr16_MATERNAL_p	C29
chr16_MATERNAL_q	C30
chr16_PATERNAL_p	C31
chr16_PATERNAL_q	C30
chr17_MATERNAL_p	C32
chr17_MATERNAL_q	C33
chr17_PATERNAL_p	C32
chr17_PATERNAL_q	C33
chr18_MATERNAL_p	C34
chr18_PATERNAL_p	C35
chr19_MATERNAL_p	C36
chr19_MATERNAL_q	C37
chr19_PATERNAL_p	C36
chr19_PATERNAL_q	C38
chr20_MATERNAL_p	C39
chr20_PATERNAL_p	C39
chr20_PATERNAL_q	C9
chr21_MATERNAL_p	C40
chr21_MATERNAL_q	C38
chr21_PATERNAL_q	C38
chr21_PATERNAL_p	C40
chr22_MATERNAL_p	C25
chr22_MATERNAL_q	C37
chr22_PATERNAL_q	C37
chr22_PATERNAL_p	C25
chrX_MATERNAL_q	C41
chrX_MATERNAL_p	C42
chrY_PATERNAL_p	C42
chrY_PATERNAL_q	C41
