basis	query_chrom	target_chrom	windows	bp	mean_delta	median_delta	max_delta	mean_inter_identity	mean_same_identity	rank
1:1	chr1	chr8	1	2000	0.065384	0.065384	0.065384	0.390342	0.324958	1
1:1	chr11	chr3	1	2000	0.506184	0.506184	0.506184	0.868852	0.362669	2
1:1	chr13	chr11	1	2000	0.031741	0.031741	0.031741	0.083373	0.051632	3
1:1	chr17	chr8	1	2000	0.347203	0.347203	0.347203	0.759901	0.412698	4
1:1	chr18	chr1	1	2000	0.836547	0.836547	0.836547	1	0.163453	5
1:1	chr19	chr8	1	2000	0.280645	0.280645	0.280645	0.932848	0.652203	6
1:1	chr20	chr5	1	2000	0.166479	0.166479	0.166479	0.266147	0.099668	7
1:1	chr5	chr1	1	2000	0.016311	0.016311	0.016311	0.104265	0.087954	8
1:1	chrX	chrY	1	2000	0.018718	0.018718	0.018718	0.985486	0.966767	9
4:4	chr13	chr21	221	442000	0.043277	0.0015	0.931679	0.993299	0.950022	1
4:4	chrX	chrY	175	350000	0.36193	0.270745	0.988257	0.951955	0.590025	2
4:4	chr21	chr13	99	198000	0.015498	0.0015	0.891198	0.992098	0.9766	3
4:4	chr21	chr14	62	124000	0.040789	0.001376	0.840773	0.986822	0.946033	4
4:4	chr22	chr14	56	112000	0.047802	0.005295	0.891081	0.968822	0.92102	5
4:4	chr15	chr13	48	96000	0.124641	0.082705	0.769811	0.858574	0.733933	6
4:4	chrX	chr1	45	90000	0.169384	0.131187	0.613097	0.643502	0.474118	7
4:4	chrX	chr5	36	72000	0.166357	0.056663	0.656747	0.625035	0.458678	8
4:4	chr13	chr22	33	66000	0.07775	0.002246	0.650833	0.981298	0.903549	9
4:4	chr13	chr14	31	62000	0.039051	0.001529	0.590359	0.9541	0.915049	10
4:4	chrX	chr12	30	60000	0.177506	0.079886	0.687736	0.650125	0.472618	11
4:4	chrX	chr4	30	60000	0.188572	0.120967	0.71497	0.5417	0.353129	12
10:10	chr13	chr21	429	858000	0.043193	0.0025	0.952512	0.98904	0.945846	1
10:10	chr21	chr13	159	318000	0.06191	0.002748	0.943702	0.991115	0.929205	2
10:10	chr22	chr15	119	238000	0.051905	0.005253	0.777694	0.994387	0.942482	3
10:10	chr13	chr14	102	204000	0.04067	0.003104	0.587148	0.968031	0.927361	4
10:10	chr21	chr14	94	188000	0.038711	0.001633	0.840773	0.985406	0.946695	5
10:10	chr13	chr22	93	186000	0.02447	0.002984	0.639013	0.980003	0.955532	6
10:10	chrX	chrY	82	164000	0.097087	0.022694	0.740741	0.999601	0.902514	7
10:10	chr22	chr14	64	128000	0.104379	0.01063	0.993018	0.990795	0.886417	8
10:10	chr22	chr21	52	104000	0.078724	0.00891	0.891342	0.995424	0.9167	9
10:10	chr1	chr14	44	88000	0.256808	0.165139	0.85132	0.915992	0.659184	10
10:10	chr1	chr22	44	88000	0.243353	0.160597	0.795256	0.896999	0.653646	11
10:10	chr5	chr1	35	70000	0.011713	0.003747	0.261506	0.987825	0.976111	12
