arm_a	arm_b	mean_jaccard	n_pairs	hic_contact
chr10_p	chr11_p	0.0	396928	0.0005348461258263648
chr10_p	chr12_p	0.0	402244	0.0021945221661418585
chr10_p	chr12_q	0.0	397814	0.0
chr10_p	chr13_p	0.0	67336	0.0001534730862798829
chr10_p	chr13_q	0.0029129332904322186	397814	0.0
chr10_p	chr14_p	0.0	202894	5.063578184046994e-05
chr10_p	chr15_p	0.0	105434	0.0003531746531488161
chr10_p	chr15_q	0.0	397814	0.0003378835216906712
chr10_p	chr16_p	0.05796862097177373	391612	0.005420231906103758
chr10_p	chr16_q	0.05735013723497837	397814	0.005719027061555403
chr10_p	chr17_p	0.0	396928	0.0006898089661184049
chr10_p	chr17_q	0.0	399586	0.0017636225719213096
chr10_p	chr18_p	0.6202305314205676	395156	0.35779104749084256
chr10_p	chr19_p	0.0	384524	0.0012321554327684382
chr10_p	chr19_q	0.0	404902	0.0
chr10_p	chr1_p	0.016516286625021935	388068	0.0007622035837251013
chr10_p	chr1_q	0.0	394270	0.0006709367695233427
chr10_p	chr20_p	0.0	401358	0.0006553584615479663
chr10_p	chr20_q	0.0	362374	0.001214654855539715
chr10_p	chr21_p	0.0	102776	0.00018728211143160357
chr10_p	chr21_q	0.0	397814	0.0012339591385209263
chr10_p	chr22_p	0.0	197578	0.0002348026295864936
chr10_p	chr22_q	0.0	398700	0.0005273212135143587
chr10_p	chr2_q	0.0	398700	0.00029100249327679864
chr10_p	chr3_q	0.04864897296372862	386296	0.007817797580924511
chr10_p	chr4_p	0.0	396928	0.0007061900061097313
chr10_p	chr4_q	0.0	316302	0.00020053530558665996
chr10_p	chr5_q	0.0	396042	0.00013382598530257834
chr10_p	chr6_q	0.0	389840	0.001684695977849131
chr10_p	chr7_p	0.009815628101286063	388068	0.000896902979436947
chr10_p	chr7_q	0.0	395156	0.00041678734862371015
chr10_p	chr8_p	0.0	405788	0.00040354673026961866
chr10_p	chr9_p	0.0	396928	0.00144777515119168
chr10_p	chr9_q	0.16958000295458606	398700	0.047356571550908465
chr10_p	chrX_p	0.0	289722	0.00014133948445591035
chr10_p	chrX_q	3.4889930911828625e-05	292380	0.00036003191386559195
chr10_q	chr11_p	0.011171509141156267	319872	0.00044101367791859753
chr10_q	chr12_p	0.0034294100679921127	324156	0.0
chr10_q	chr12_q	0.006588982987406221	320586	0.0005746923663152831
chr10_q	chr13_p	0.005909345201238288	54264	2.3537362547824314e-05
chr10_q	chr13_q	0.0666476805350244	320586	0.0
chr10_q	chr14_p	0.008435415740095112	163506	0.00011431832199613418
chr10_q	chr15_p	0.006342453051809097	84966	0.0033243891964276026
chr10_q	chr15_q	0.004295359947097261	320586	0.00024932883857791544
chr10_q	chr16_p	0.01153262484631717	315588	0.0006214413609955646
chr10_q	chr16_q	0.04350503328904069	320586	0.009322768936537296
chr10_q	chr17_p	0.005598680272109069	319872	0.00018421829701153667
chr10_q	chr17_q	0.08666402948939901	322014	0.0104385103310728
chr10_q	chr18_p	0.02763235764529959	318444	0.03674040925597483
chr10_q	chr19_p	0.031344520840593686	309876	0.0019546070039582943
chr10_q	chr19_q	0.14161928780440652	326298	0.012414448157451543
chr10_q	chr1_p	0.008544477527083589	312732	0.0007055549790414315
chr10_q	chr1_q	0.11443449368960822	317730	0.007603580728054649
chr10_q	chr20_p	0.052593256342711045	323442	0.004187336218327183
chr10_q	chr20_q	0.011636027189359518	292026	0.00032281788157955673
chr10_q	chr21_p	0.009598214261567789	82824	0.0016176437034938007
chr10_q	chr21_q	0.1348447494151442	320586	0.015818823215045515
chr10_q	chr22_p	0.006910004836016568	159222	0.001999373814170737
chr10_q	chr22_q	0.14134426895113064	321300	0.0014345163392287539
chr10_q	chr2_q	0.0689184934391496	321300	0.0068139748517815615
chr10_q	chr3_q	0.008904612513812887	311304	0.00028145541766345916
chr10_q	chr4_p	0.023508199279703552	319872	0.00010165947477956908
chr10_q	chr4_q	0.5829893632433217	254898	1.0
chr10_q	chr5_q	0.034262871994436714	319158	0.006487827780392901
chr10_q	chr6_q	0.03588883234020859	314160	0.0012019652269539259
chr10_q	chr7_p	0.03902036300090443	312732	0.008505687556089726
chr10_q	chr7_q	0.007610960570771856	318444	0.0002971560168397523
chr10_q	chr8_p	0.03524539687840174	327012	0.0012561117231941745
chr10_q	chr9_p	0.0055150052208387855	319872	0.0
chr10_q	chr9_q	0.03282166525988086	321300	0.0009008924701326615
chr10_q	chrX_p	1.5848105603097506e-05	233478	0.000779834389750782
chr10_q	chrX_q	0.0021199676597909362	235620	0.0004885252600880847
chr11_p	chr12_p	0.07156314031034228	406784	0.023930031160275814
chr11_p	chr12_q	0.00018462277779993485	402304	0.0006394234619533861
chr11_p	chr13_p	0.0039233701539009265	68096	0.0
chr11_p	chr13_q	0.00914252707902746	402304	0.0
chr11_p	chr14_p	0.004790912595519158	205184	0.0001679915289406845
chr11_p	chr15_p	0.0031566700367659244	106624	0.00042124552041779365
chr11_p	chr15_q	0.2475425404022643	402304	0.27807151531516294
chr11_p	chr16_p	0.10448629094112934	396032	0.005472591357771674
chr11_p	chr16_q	0.30234336955636176	402304	0.10794398310919699
chr11_p	chr17_p	0.17525387090441868	401408	0.11476878342332344
chr11_p	chr17_q	0.03781488881849835	404096	0.002396772464636055
chr11_p	chr18_p	0.010057816879205012	399616	0.0004327967265400655
chr11_p	chr19_p	0.4578417337937945	388864	0.23969556192883035
chr11_p	chr19_q	0.01681188375761891	409472	0.0008936279533726547
chr11_p	chr1_p	0.26502749711044565	392448	0.12835896163349178
chr11_p	chr1_q	0.01380292902287333	398720	0.00042648201876450655
chr11_p	chr20_p	0.24681790479146568	405888	0.047122785977935844
chr11_p	chr20_q	0.1460405004311449	366464	0.054606833151789845
chr11_p	chr21_p	0.003988528267396956	103936	4.905849514806111e-05
chr11_p	chr21_q	0.01387169322701223	402304	0.0009314776216924689
chr11_p	chr22_p	0.004098728359221439	199808	0.0001687839275045508
chr11_p	chr22_q	0.01638330084325447	403200	0.00035339128998769146
chr11_p	chr2_q	0.10511470714781922	403200	0.0134644295805601
chr11_p	chr3_q	0.43015621056375025	390656	0.24784810059310136
chr11_p	chr4_p	0.00971321548647466	401408	0.00042737067185011016
chr11_p	chr4_q	0.007643608906062862	319872	0.00037154886892163145
