class_id	display_label	full_display_label	chrom_arm	chrom_arm_label	community	copy_burden
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr10_p	10p	C2	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr10_q	10q	C1	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr11_p	11p	C3	1
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr11_q	11q	NO_SIGNAL_ARM	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr12_p	12p	C5	1
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr12_q	12q	C4	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr13_p	13p	C7	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr13_q	13q	C6	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr14_p	14p	C7	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr14_q	14q	NO_SIGNAL_ARM	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr15_p	15p	C7	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr15_q	15q	C8	1
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr16_p	16p	C9	1
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr16_q	16q	C3	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr17_p	17p	C10	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr17_q	17q	C6	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr18_p	18p	C2	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr18_q	18q	NO_SIGNAL_ARM	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr19_p	19p	C3	1
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr19_q	19q	C6	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr1_p	1p	C11	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr1_q	1q	C6	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr20_p	20p	C12	1
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr20_q	20q	C5	1
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr21_p	21p	C7	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr21_q	21q	C6	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr22_p	22p	C7	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr22_q	22q	C6	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr2_p	2p	NO_SIGNAL_ARM	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr2_q	2q	C12	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr3_p	3p	NO_SIGNAL_ARM	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr3_q	3q	C3	1
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr4_p	4p	C13	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr4_q	4q	C1	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr5_p	5p	NO_SIGNAL_ARM	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr5_q	5q	C11	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr6_p	6p	C5	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr6_q	6q	C11	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr7_p	7p	C3	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr7_q	7q	C4	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr8_p	8p	C11	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr8_q	8q	NO_SIGNAL_ARM	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr9_p	9p	C5	1
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chr9_q	9q	C3	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chrX_p	Xp	C15	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chrX_q	Xq	C14	1
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chrY_p	Yp	C15	0
DDX11_HELICASE_CHROMOSOME	DDX11 / helicase	DDX11 / helicase / chromosome	chrY_q	Yq	C14	0
DUX4_ZGA_TRANSCRIPTION_NUCLEAR_ENVELOPE_CELL_CYCLE	DUX4 / ZGA	DUX4 / ZGA / transcription / nuclear envelope / cell cycle	chr10_p	10p	C2	0
DUX4_ZGA_TRANSCRIPTION_NUCLEAR_ENVELOPE_CELL_CYCLE	DUX4 / ZGA	DUX4 / ZGA / transcription / nuclear envelope / cell cycle	chr10_q	10q	C1	32
DUX4_ZGA_TRANSCRIPTION_NUCLEAR_ENVELOPE_CELL_CYCLE	DUX4 / ZGA	DUX4 / ZGA / transcription / nuclear envelope / cell cycle	chr11_p	11p	C3	0
DUX4_ZGA_TRANSCRIPTION_NUCLEAR_ENVELOPE_CELL_CYCLE	DUX4 / ZGA	DUX4 / ZGA / transcription / nuclear envelope / cell cycle	chr11_q	11q	NO_SIGNAL_ARM	0
DUX4_ZGA_TRANSCRIPTION_NUCLEAR_ENVELOPE_CELL_CYCLE	DUX4 / ZGA	DUX4 / ZGA / transcription / nuclear envelope / cell cycle	chr12_p	12p	C5	0
DUX4_ZGA_TRANSCRIPTION_NUCLEAR_ENVELOPE_CELL_CYCLE	DUX4 / ZGA	DUX4 / ZGA / transcription / nuclear envelope / cell cycle	chr12_q	12q	C4	0
DUX4_ZGA_TRANSCRIPTION_NUCLEAR_ENVELOPE_CELL_CYCLE	DUX4 / ZGA	DUX4 / ZGA / transcription / nuclear envelope / cell cycle	chr13_p	13p	C7	0
DUX4_ZGA_TRANSCRIPTION_NUCLEAR_ENVELOPE_CELL_CYCLE	DUX4 / ZGA	DUX4 / ZGA / transcription / nuclear envelope / cell cycle	chr13_q	13q	C6	0
DUX4_ZGA_TRANSCRIPTION_NUCLEAR_ENVELOPE_CELL_CYCLE	DUX4 / ZGA	DUX4 / ZGA / transcription / nuclear envelope / cell cycle	chr14_p	14p	C7	0
