arm	n_haplotypes	pct_of_total	mefford_status	leiden_community	AFR	AMR	EAS	EUR	SAS	best_enriched_sp	best_enriched_pct	best_enriched_OR	best_enriched_p	best_enriched_q_BH	best_enriched_OR_CI95_low	best_enriched_OR_CI95_high	best_enriched_OR_conditional
chr3_q	427	91.8	FIXED	C3	128	84	88	58	69	AFR	30	2.3	0.0431	0.313426185949949	0.910255151113814	6.83641517793671	2.2797471581042
chr19_p	421	90.5	FIXED	C3	126	80	87	57	71	SAS	16.9	2.8	0.056	0.344341079096948	0.845536671932893	14.3572458184579	2.76797303125306
chr15_q	398	85.6	FIXED	C8	87	81	98	64	68	EUR	16.1	12.6	0.000246	0.00328243930192462	2.10061398888329	513.711800568604	12.6130981757249
chr11_p	273	58.7	Variable	C3	83	50	66	32	42	EAS	24.2	1.3	0.158	0.663888550300324	0.806188060116541	2.08927706802651	1.29143673543017
chr9_q	138	29.7	Variable	C3	59	22	25	19	13	AFR	42.8	2.5	1.85e-05	0.000369519322932658	1.60193585618074	3.91683276379892	2.5039348210301
chr16_q	85	18.3	AFR-enriched	C3	67	6	2	2	8	AFR	78.8	17.4	6.61e-27	5.2862391756189e-25	9.41332131311649	32.9724061254704	17.23635260021
chr16_p	25	5.4	Variable	C9	19	4	0	1	1	AFR	76	8.9	6.71e-07	1.790557673316e-05	3.31447756648949	27.9373797846682	8.89829572172839
chr2_q	22	4.7	Variable	C12	2	0	3	0	17	SAS	77.3	23	6.84e-11	2.73682327160134e-09	7.68181015295075	81.8118602297892	22.7494947730363
chr7_p	17	3.7	AFR-enriched	C3	10	4	0	2	1	AFR	58.8	3.7	0.00824	0.0732552203456317	1.24670974557621	11.7915107002431	3.72033693405346
chr6_p	13	2.8	Variable	C5	2	8	0	2	1	AMR	61.5	7.4	0.000697	0.00796005354077411	2.07021011319106	29.5108344598461	7.39284763052258
chr8_p	10	2.2	Variable	C11	9	0	1	0	0	AFR	90	23.8	8.48e-05	0.00135691869247246	3.21393555195188	1038.89185836627	23.6003673714051
chr1_p	5	1.1		C11	3	1	0	0	1	AFR	60	3.8	0.147	0.651689560959281	0.425109726720075	45.4303491540477	3.75473785999792
chr6_q	5	1.1	Variable	C11	3	1	0	1	0	AFR	60	3.8	0.147	0.651689560959281	0.425109726720075	45.4303491540477	3.75473785999792
chr5_q	3	0.6	Variable	C11	0	1	0	2	0	EUR	66.7	12.7	0.0526	0.344341079096948	0.644384299694508	745.099806700642	12.5455377020491
chr20_p	2	0.4		C12	0	0	0	1	1	EUR	50	6.2	0.26	0.946506219031246	0.0782088637312718	488.490633411409	6.19399199034341
chrX_q	1	0.2		C14	0	0	1	0	0	EAS	100	Inf	0.224	0.852022529441885	0.0890038537139861	Inf	Inf
