schema_version	analysis_layer	row_type	community	community_order	community_arms	community_ontology_eligible_phr_copy_burden	community_supported_term_contributor_row_burden	community_unique_supported_coordinate_copy_burden	class_id	display_label	class_rank_in_community	dominant_functional_class_flag	class_unique_coordinate_copy_burden	class_fraction_of_community_eligible_burden	class_fraction_of_all_class_copies	contributing_arms	functional_source_ids_json	functional_source_symbols_json	gene_names_json	copy_ids_json	representative_exact_terms_json	unclassified_supported_coordinate_copy_burden	ontology_redundancy_warning	summary_role
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C1	1	chr10_q|chr4_q	75	4784	75	DUX4_ZGA_TRANSCRIPTION_NUCLEAR_ENVELOPE_CELL_CYCLE	DUX4 / ZGA / transcription / nuclear envelope / cell cycle	1	1	65	0.8666666666666667	1	chr10_q|chr4_q	"[""NCBIGene:100288687""]"	"[""DUX4""]"	"[""DUX4"",""DUX4L1"",""DUX4L10"",""DUX4L11"",""DUX4L12"",""DUX4L13"",""DUX4L14"",""DUX4L15"",""DUX4L2"",""DUX4L20"",""DUX4L21"",""DUX4L22"",""DUX4L23"",""DUX4L24"",""DUX4L25"",""DUX4L3"",""DUX4L4"",""DUX4L5"",""DUX4L6"",""DUX4L7"",""DUX4L8""]"	"[""CHM13v2.0|chr10:134618565-134619843|+|DUX4L10"",""CHM13v2.0|chr10:134621872-134623150|+|DUX4L11"",""CHM13v2.0|chr10:134625179-134626703|+|DUX4L23"",""CHM13v2.0|chr10:134628489-134630013|+|DUX4L22"",""CHM13v2.0|chr10:134631799-134633077|+|DUX4L14"",""CHM13v2.0|chr10:134635109-134636387|+|DUX4L15"",""CHM13v2.0|chr10:134638419-134639943|+|DUX4L21"",""CHM13v2.0|chr10:134641729-134643253|+|DUX4L20"",""CHM13v2.0|chr10:134645039-134646563|+|DUX4L25"",""CHM13v2.0|chr10:134648349-134649873|+|DUX4L24"",""CHM13v2.0|chr10:134651659-134652937|+|DUX4L12"",""CHM13v2.0|chr10:134654969-134656247|+|DUX4L13"",""CHM13v2.0|chr10:134658279-134659803|+|DUX4L24_9"",""CHM13v2.0|chr10:134661589-134663113|+|DUX4L24_6"",""CHM13v2.0|chr10:134664899-134666423|+|DUX4L24_11"",""CHM13v2.0|chr10:134668209-134669733|+|DUX4L24_4"",""CHM13v2.0|chr10:134671519-134672797|+|DUX4L10_2"",""CHM13v2.0|chr10:134674825-134676349|+|DUX4L24_15"",""CHM13v2.0|chr10:134678136-134679660|+|DUX4L24_8"",""CHM13v2.0|chr10:134681447-134682978|+|DUX4L25_1"",""CHM13v2.0|chr10:134684778-134686303|+|DUX4L24_16"",""CHM13v2.0|chr10:134688089-134689619|+|DUX4L24_17"",""CHM13v2.0|chr10:134691406-134692684|+|DUX4L10_1"",""CHM13v2.0|chr10:134694717-134696241|+|DUX4L24_7"",""CHM13v2.0|chr10:134701338-134702862|+|DUX4L24_5"",""CHM13v2.0|chr10:134704648-134706172|+|DUX4L24_1"",""CHM13v2.0|chr10:134707958-134709482|+|DUX4L24_14"",""CHM13v2.0|chr10:134711268-134712792|+|DUX4L24_3"",""CHM13v2.0|chr10:134714578-134716102|+|DUX4L24_10"",""CHM13v2.0|chr10:134717888-134719412|+|DUX4L24_13"",""CHM13v2.0|chr10:134721198-134722722|+|DUX4L24_12"",""CHM13v2.0|chr10:134724508-134726032|+|DUX4L24_2"",""CHM13v2.0|chr4:193436060-193437344|+|DUX4L8"",""CHM13v2.0|chr4:193439356-193440640|+|DUX4L5"",""CHM13v2.0|chr4:193442653-193443937|+|DUX4L6_8"",""CHM13v2.0|chr4:193445949-193447233|+|DUX4L2"",""CHM13v2.0|chr4:193449245-193450529|+|DUX4L6_15"",""CHM13v2.0|chr4:193452541-193453825|+|DUX4L6_9"",""CHM13v2.0|chr4:193455846-193457130|+|DUX4L7"",""CHM13v2.0|chr4:193459140-193460424|+|DUX4L1"",""CHM13v2.0|chr4:193462438-193463722|+|DUX4L3"",""CHM13v2.0|chr4:193465734-193467018|+|DUX4L6_14"",""CHM13v2.0|chr4:193469037-193470321|+|DUX4L6_17"",""CHM13v2.0|chr4:193472333-193473617|+|DUX4L6_11"",""CHM13v2.0|chr4:193475628-193476912|+|DUX4L6_16"",""CHM13v2.0|chr4:193478925-193480209|+|DUX4L6_23"",""CHM13v2.0|chr4:193482218-193483502|+|DUX4L6_3"",""CHM13v2.0|chr4:193485517-193486801|+|DUX4L6_24"",""CHM13v2.0|chr4:193488815-193490099|+|DUX4L6_13"",""CHM13v2.0|chr4:193492115-193493399|+|DUX4L6_4"",""CHM13v2.0|chr4:193495415-193496699|+|DUX4L6"",""CHM13v2.0|chr4:193498712-193499996|+|DUX4L6_5"",""CHM13v2.0|chr4:193502010-193503294|+|DUX4L6_18"",""CHM13v2.0|chr4:193505306-193506590|+|DUX4L6_19"",""CHM13v2.0|chr4:193508603-193509887|+|DUX4L4"",""CHM13v2.0|chr4:193511900-193513184|+|DUX4L6_6"",""CHM13v2.0|chr4:193515198-193516482|+|DUX4L6_7"",""CHM13v2.0|chr4:193518496-193519780|+|DUX4L6_22"",""CHM13v2.0|chr4:193521792-193523076|+|DUX4L6_2"",""CHM13v2.0|chr4:193525089-193526373|+|DUX4L6_20"",""CHM13v2.0|chr4:193528385-193529669|+|DUX4L6_1"",""CHM13v2.0|chr4:193531682-193532966|+|DUX4L6_10"",""CHM13v2.0|chr4:193534978-193536262|+|DUX4L6_21"",""CHM13v2.0|chr4:193538284-193539568|+|DUX4L6_12"",""CHM13v2.0|chr4:193541579-193553139|+|DUX4""]"	"[{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0070317"",""term_name"":""negative regulation of G0 to G1 transition""},{""collection"":""Reactome"",""relation"":""direct"",""term_id"":""R-HSA-9819196"",""term_name"":""Zygotic genome activation (ZGA)""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0000977"",""term_name"":""RNA polymerase II transcription regulatory region sequence-specific DNA binding""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0031965"",""term_name"":""nuclear membrane""}]"	8	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C1	1	chr10_q|chr4_q	75	4784	75	RPL23A_RIBOSOMAL_NUCLEOLAR	RPL23A / ribosomal / nucleolar	2	0	2	0.026666666666666668	0.18181818181818182	chr10_q|chr4_q	"[""NCBIGene:6147""]"	"[""RPL23A""]"	"[""RPL23AP60"",""RPL23AP84""]"	"[""CHM13v2.0|chr10:134745871-134746398|+|RPL23AP60"",""CHM13v2.0|chr4:193562943-193563471|+|RPL23AP84""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005730"",""term_name"":""nucleolus""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0019843"",""term_name"":""rRNA binding""}]"	8	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	COMMUNITY_TOTAL_NO_DEFINED_CLASS	C2	3	chr10_p|chr18_p	3	40	3														3	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	1509	45	SEPTIN14_SEPTIN_CYTOKINESIS	SEPTIN14 / septin / cytokinesis	1	1	12	0.2608695652173913	0.59999999999999998	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	"[""NCBIGene:346288""]"	"[""SEPTIN14""]"	"[""SEPTIN14P11"",""SEPTIN14P13"",""SEPTIN14P16"",""SEPTIN14P18"",""SEPTIN14P19"",""SEPTIN14P22"",""SEPTIN14P3""]"	"[""CHM13v2.0|chr11:145023-147605|+|SEPTIN14P22_10"",""CHM13v2.0|chr11:145023-147605|-|SEPTIN14P11"",""CHM13v2.0|chr16:96265822-96268407|+|SEPTIN14P16"",""CHM13v2.0|chr16:96265822-96268407|-|SEPTIN14P22_9"",""CHM13v2.0|chr19:140030-142614|+|SEPTIN14P22_2"",""CHM13v2.0|chr19:140030-142614|-|SEPTIN14P19"",""CHM13v2.0|chr3:200959893-200962477|+|SEPTIN14P3"",""CHM13v2.0|chr3:200959893-200962477|-|SEPTIN14P22_6"",""CHM13v2.0|chr7:56811-59390|+|SEPTIN14P22_11"",""CHM13v2.0|chr7:56811-59390|-|SEPTIN14P18"",""CHM13v2.0|chr9:150558546-150558923|+|SEPTIN14P13_1"",""CHM13v2.0|chr9:150558546-150561131|-|SEPTIN14P22_3""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0031105"",""term_name"":""septin complex""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005940"",""term_name"":""septin ring""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0061640"",""term_name"":""cytoskeleton-dependent cytokinesis""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0000910"",""term_name"":""cytokinesis""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:1905719"",""term_name"":""protein localization to perinuclear region of cytoplasm""}]"	19	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	1509	45	WBP1L_CXCL12_SIGNALING	WBP1L / CXCL12 signaling	2	0	6	0.13043478260869565	0.42857142857142855	chr11_p|chr19_p|chr3_q	"[""NCBIGene:54838""]"	"[""WBP1L""]"	"[""WBP1LP10"",""WBP1LP11"",""WBP1LP8"",""WBP1LP9""]"	"[""CHM13v2.0|chr11:102154-102660|+|WBP1LP10"",""CHM13v2.0|chr11:102154-102660|-|WBP1LP9_2"",""CHM13v2.0|chr19:96468-96974|+|WBP1LP11"",""CHM13v2.0|chr19:96468-96974|-|WBP1LP9_1"",""CHM13v2.0|chr3:201005400-201005906|+|WBP1LP9"",""CHM13v2.0|chr3:201005400-201005906|-|WBP1LP8""]"	"[{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0038160"",""term_name"":""CXCL12-activated CXCR4 signaling pathway""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0038146"",""term_name"":""chemokine (C-X-C motif) ligand 12 signaling pathway""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0038159"",""term_name"":""C-X-C chemokine receptor CXCR4 signaling pathway""}]"	19	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	1509	45	DDX11_HELICASE_CHROMOSOME	DDX11 / helicase / chromosome	3	0	3	0.065217391304347824	0.29999999999999999	chr11_p|chr19_p|chr3_q	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L1"",""DDX11L17"",""DDX11L8""]"	"[""CHM13v2.0|chr11:3434-5924|+|DDX11L17"",""CHM13v2.0|chr19:4460-6999|+|DDX11L1"",""CHM13v2.0|chr3:201097274-201099490|-|DDX11L8_1""]"	"[{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0043139"",""term_name"":""5'-3' DNA helicase activity""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0160225"",""term_name"":""G-quadruplex unwinding activity""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0034085"",""term_name"":""establishment of sister chromatid cohesion""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:1990700"",""term_name"":""nucleolar chromatin organization""}]"	19	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	1509	45	WASH_ENDOSOMAL_ACTIN_EXOCYST	WASH / endosomal actin / exocyst	3	0	3	0.065217391304347824	0.29999999999999999	chr11_p|chr19_p|chr3_q	"[""NCBIGene:100287171""]"	"[""WASHC1""]"	"[""LOC100996442"",""WASH5P"",""WASH8P""]"	"[""CHM13v2.0|chr11:5962-21167|-|LOC100996442"",""CHM13v2.0|chr19:11934-21953|-|WASH5P"",""CHM13v2.0|chr3:201079785-201097323|+|WASH8P_1""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0071203"",""term_name"":""WASH complex""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0000145"",""term_name"":""exocyst""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0034314"",""term_name"":""Arp2/3 complex-mediated actin nucleation""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0016197"",""term_name"":""endosomal transport""}]"	19	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	46	1509	45	RPL23A_RIBOSOMAL_NUCLEOLAR	RPL23A / ribosomal / nucleolar	4	0	2	0.043478260869565216	0.18181818181818182	chr16_q|chr9_q	"[""NCBIGene:6147""]"	"[""RPL23A""]"	"[""RPL23AP24"",""RPL23AP47""]"	"[""CHM13v2.0|chr16:96318486-96318958|+|RPL23AP24"",""CHM13v2.0|chr9:150605300-150605772|+|RPL23AP47""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005730"",""term_name"":""nucleolus""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0019843"",""term_name"":""rRNA binding""}]"	19	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	COMMUNITY_TOTAL_NO_DEFINED_CLASS	C4	11	chr12_q|chr7_q	0	0	0														0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	C5	13	chr12_p|chr20_q|chr6_p|chr9_p	10	518	10	DDX11_HELICASE_CHROMOSOME	DDX11 / helicase / chromosome	1	1	3	0.29999999999999999	0.29999999999999999	chr12_p|chr20_q|chr9_p	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L5"",""DDX11L8""]"	"[""CHM13v2.0|chr12:5295-7527|+|DDX11L8"",""CHM13v2.0|chr20:66202741-66205279|-|DDX11L5_1"",""CHM13v2.0|chr9:5788-8326|+|DDX11L5""]"	"[{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0043139"",""term_name"":""5'-3' DNA helicase activity""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0160225"",""term_name"":""G-quadruplex unwinding activity""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0034085"",""term_name"":""establishment of sister chromatid cohesion""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:1990700"",""term_name"":""nucleolar chromatin organization""}]"	2	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
