event_id	pair	event_role	query_name	query_local_interval	expected_target_name	expected_target_haplotype	expected_target_arm	direct_support	direct_file	direct_filter_id	direct_target_name	direct_target_haplotype	direct_target_arm	direct_query_interval	overlap_bp	identity	aln_length	evidence_source_recommendation
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	same-chromosome context	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	0-48900	PAN011#1#chr9.haplotype1:135595959-136095958_chr9_qarm	PAN011#1	chr9q	agree	/moosefs/erikg/phrs/.wg-worktrees/agent-2594/paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap1.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#1#chr9.haplotype1:135595959-136095958_chr9_qarm	PAN011#1	chr9q	0-90028	48900	0.999567	90031	direct_sweepga_can_be_primary_for_segment
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	same-chromosome context	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	48900-327917	PAN011#2#chr9.haplotype2:133240004-133740003_chr9_qarm	PAN011#2	chr9q	agree	/moosefs/erikg/phrs/.wg-worktrees/agent-2594/paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap2.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#2#chr9.haplotype2:133240004-133740003_chr9_qarm	PAN011#2	chr9q	608-499816	279017	0.999095	499277	direct_sweepga_can_be_primary_for_segment
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	side fragment	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	327917-329124	PAN011#2#chr16.haplotype2:89999497-90499496_chr16_qarm	PAN011#2	chr16q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2594/paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap2.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#2#chr9.haplotype2:133240004-133740003_chr9_qarm	PAN011#2	chr9q	608-499816	1207	0.999095	499277	keep_graph_primary_pending_manual_review
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	same-chromosome context	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	329124-446944	PAN011#2#chr9.haplotype2:133240004-133740003_chr9_qarm	PAN011#2	chr9q	agree	/moosefs/erikg/phrs/.wg-worktrees/agent-2594/paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap2.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#2#chr9.haplotype2:133240004-133740003_chr9_qarm	PAN011#2	chr9q	608-499816	117820	0.999095	499277	direct_sweepga_can_be_primary_for_segment
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	primary donor	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	446944-472441	PAN011#2#chr3.haplotype2:205075647-205575646_chr3_qarm	PAN011#2	chr3q	agree	/moosefs/erikg/phrs/.wg-worktrees/agent-2594/paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap2.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#2#chr3.haplotype2:205075647-205575646_chr3_qarm	PAN011#2	chr3q	368480-499964	25497	0.997970	131557	direct_sweepga_can_be_primary_for_segment
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	primary donor	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	472441-476266	PAN011#1#chr3.haplotype1:202049714-202549713_chr3_qarm	PAN011#1	chr3q	agree	/moosefs/erikg/phrs/.wg-worktrees/agent-2594/paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap1.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#1#chr3.haplotype1:202049714-202549713_chr3_qarm	PAN011#1	chr3q	411261-499923	3825	0.994514	88766	direct_sweepga_can_be_primary_for_segment
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	primary donor	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	476266-491186	PAN011#2#chr3.haplotype2:205075647-205575646_chr3_qarm	PAN011#2	chr3q	agree	/moosefs/erikg/phrs/.wg-worktrees/agent-2594/paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap2.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#2#chr3.haplotype2:205075647-205575646_chr3_qarm	PAN011#2	chr3q	368480-499964	14920	0.997970	131557	direct_sweepga_can_be_primary_for_segment
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	side fragment	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	491186-498459	PAN011#1#chr15.haplotype1:95856803-96356802_chr15_qarm	PAN011#1	chr15q	agree	/moosefs/erikg/phrs/.wg-worktrees/agent-2594/paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap1.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#1#chr15.haplotype1:95856803-96356802_chr15_qarm	PAN011#1	chr15q	455438-499671	7273	0.992343	44275	direct_sweepga_can_be_primary_for_segment
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	primary donor	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	498459-499507	PAN011#2#chr3.haplotype2:205075647-205575646_chr3_qarm	PAN011#2	chr3q	agree	/moosefs/erikg/phrs/.wg-worktrees/agent-2594/paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap2.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#2#chr3.haplotype2:205075647-205575646_chr3_qarm	PAN011#2	chr3q	368480-499964	1048	0.997970	131557	direct_sweepga_can_be_primary_for_segment
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	low-confidence tail	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	499507-500000	PAN011#1#chr20.haplotype1:66002904-66502903_chr20_qarm	PAN011#1	chr20q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2594/paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/raw_paf/PAN027pat_vs_PAN011_hap1.sweepga_many_many_j0.paf.gz	sweepga_many_many_j0	PAN011#1#chr9.haplotype1:3993-503992_chr9_parm	PAN011#1	chr9p	469511-499999	492	0.982455	30550	keep_graph_primary_pending_manual_review
