schema_version	analysis_layer	row_type	chromosome	arm	chrom_arm	chrom_arm_label	arm_sort_index	community	community_order	community_arms	arm_ontology_eligible_phr_copy_burden	arm_supported_term_contributor_row_burden	arm_unique_supported_coordinate_copy_burden	class_id	display_label	class_rank_in_arm	dominant_functional_class_flag	class_unique_coordinate_copy_burden	class_fraction_of_arm_eligible_burden	class_fraction_of_all_class_copies	functional_source_ids_json	functional_source_symbols_json	gene_names_json	copy_ids_json	representative_exact_terms_json	unclassified_supported_coordinate_copy_burden	ontology_redundancy_warning	summary_role
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	chr1	p	chr1_p	1p	1	C11	31	chr1_p|chr5_q|chr6_q|chr8_p	7	190	7	SEPTIN14_SEPTIN_CYTOKINESIS	SEPTIN14 / septin / cytokinesis	1	1	2	0.2857142857142857	0.10000000000000001	"[""NCBIGene:346288""]"	"[""SEPTIN14""]"	"[""SEPTIN14P13"",""SEPTIN14P22""]"	"[""CHM13v2.0|chr1:144134-146717|+|SEPTIN14P22_5"",""CHM13v2.0|chr1:146340-146717|-|SEPTIN14P13""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0031105"",""term_name"":""septin complex""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005940"",""term_name"":""septin ring""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0061640"",""term_name"":""cytoskeleton-dependent cytokinesis""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0000910"",""term_name"":""cytokinesis""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:1905719"",""term_name"":""protein localization to perinuclear region of cytoplasm""}]"	3	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	chr1	p	chr1_p	1p	1	C11	31	chr1_p|chr5_q|chr6_q|chr8_p	7	190	7	WBP1L_CXCL12_SIGNALING	WBP1L / CXCL12 signaling	1	1	2	0.2857142857142857	0.14285714285714285	"[""NCBIGene:54838""]"	"[""WBP1L""]"	"[""WBP1LP7"",""WBP1LP9""]"	"[""CHM13v2.0|chr1:100966-101472|+|WBP1LP7"",""CHM13v2.0|chr1:100966-101472|-|WBP1LP9_4""]"	"[{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0038160"",""term_name"":""CXCL12-activated CXCR4 signaling pathway""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0038146"",""term_name"":""chemokine (C-X-C motif) ligand 12 signaling pathway""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0038159"",""term_name"":""C-X-C chemokine receptor CXCR4 signaling pathway""}]"	3	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	chr1	q	chr1_q	1q	2	C6	17	chr13_q|chr17_q|chr19_q|chr1_q|chr21_q|chr22_q	1	22	1	RPL23A_RIBOSOMAL_NUCLEOLAR	RPL23A / ribosomal / nucleolar	1	1	1	1	0.090909090909090912	"[""NCBIGene:6147""]"	"[""RPL23A""]"	"[""RPL23AP25""]"	"[""CHM13v2.0|chr1:248375192-248375720|+|RPL23AP25""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005730"",""term_name"":""nucleolus""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0019843"",""term_name"":""rRNA binding""}]"	0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	NO_SIGNAL_ARM	chr2	p	chr2_p	2p	3	NO_SIGNAL_ARM	9999		0	0	0													0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	chr2	q	chr2_q	2q	4	C12	35	chr20_p|chr2_q	4	144	4	SEPTIN14_SEPTIN_CYTOKINESIS	SEPTIN14 / septin / cytokinesis	1	1	2	0.5	0.10000000000000001	"[""NCBIGene:346288""]"	"[""SEPTIN14""]"	"[""SEPTIN14P2"",""SEPTIN14P22""]"	"[""CHM13v2.0|chr2:242631950-242634517|+|SEPTIN14P2"",""CHM13v2.0|chr2:242631950-242634517|-|SEPTIN14P22_16""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0031105"",""term_name"":""septin complex""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005940"",""term_name"":""septin ring""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0061640"",""term_name"":""cytoskeleton-dependent cytokinesis""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0000910"",""term_name"":""cytokinesis""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:1905719"",""term_name"":""protein localization to perinuclear region of cytoplasm""}]"	1	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	chr2	q	chr2_q	2q	4	C12	35	chr20_p|chr2_q	4	144	4	RPL23A_RIBOSOMAL_NUCLEOLAR	RPL23A / ribosomal / nucleolar	2	0	1	0.25	0.090909090909090912	"[""NCBIGene:6147""]"	"[""RPL23A""]"	"[""RPL23AP88""]"	"[""CHM13v2.0|chr2:242685066-242685590|+|RPL23AP88""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005730"",""term_name"":""nucleolus""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0019843"",""term_name"":""rRNA binding""}]"	1	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	NO_SIGNAL_ARM	chr3	p	chr3_p	3p	5	NO_SIGNAL_ARM	9999		0	0	0													0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	chr3	q	chr3_q	3q	6	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	10	329	10	SEPTIN14_SEPTIN_CYTOKINESIS	SEPTIN14 / septin / cytokinesis	1	1	2	0.20000000000000001	0.10000000000000001	"[""NCBIGene:346288""]"	"[""SEPTIN14""]"	"[""SEPTIN14P22"",""SEPTIN14P3""]"	"[""CHM13v2.0|chr3:200959893-200962477|+|SEPTIN14P3"",""CHM13v2.0|chr3:200959893-200962477|-|SEPTIN14P22_6""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0031105"",""term_name"":""septin complex""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0005940"",""term_name"":""septin ring""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0061640"",""term_name"":""cytoskeleton-dependent cytokinesis""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0000910"",""term_name"":""cytokinesis""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:1905719"",""term_name"":""protein localization to perinuclear region of cytoplasm""}]"	4	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	chr3	q	chr3_q	3q	6	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	10	329	10	WBP1L_CXCL12_SIGNALING	WBP1L / CXCL12 signaling	1	1	2	0.20000000000000001	0.14285714285714285	"[""NCBIGene:54838""]"	"[""WBP1L""]"	"[""WBP1LP8"",""WBP1LP9""]"	"[""CHM13v2.0|chr3:201005400-201005906|+|WBP1LP9"",""CHM13v2.0|chr3:201005400-201005906|-|WBP1LP8""]"	"[{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0038160"",""term_name"":""CXCL12-activated CXCR4 signaling pathway""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0038146"",""term_name"":""chemokine (C-X-C motif) ligand 12 signaling pathway""},{""collection"":""GO_BP"",""relation"":""ancestor"",""term_id"":""GO:0038159"",""term_name"":""C-X-C chemokine receptor CXCR4 signaling pathway""}]"	4	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	chr3	q	chr3_q	3q	6	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	10	329	10	DDX11_HELICASE_CHROMOSOME	DDX11 / helicase / chromosome	2	0	1	0.10000000000000001	0.10000000000000001	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L8""]"	"[""CHM13v2.0|chr3:201097274-201099490|-|DDX11L8_1""]"	"[{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0043139"",""term_name"":""5'-3' DNA helicase activity""},{""collection"":""GO_MF"",""relation"":""direct"",""term_id"":""GO:0160225"",""term_name"":""G-quadruplex unwinding activity""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0034085"",""term_name"":""establishment of sister chromatid cohesion""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:1990700"",""term_name"":""nucleolar chromatin organization""}]"	4	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	FUNCTIONAL_CLASS	chr3	q	chr3_q	3q	6	C3	5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	10	329	10	WASH_ENDOSOMAL_ACTIN_EXOCYST	WASH / endosomal actin / exocyst	2	0	1	0.10000000000000001	0.10000000000000001	"[""NCBIGene:100287171""]"	"[""WASHC1""]"	"[""WASH8P""]"	"[""CHM13v2.0|chr3:201079785-201097323|+|WASH8P_1""]"	"[{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0071203"",""term_name"":""WASH complex""},{""collection"":""GO_CC"",""relation"":""direct"",""term_id"":""GO:0000145"",""term_name"":""exocyst""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0034314"",""term_name"":""Arp2/3 complex-mediated actin nucleation""},{""collection"":""GO_BP"",""relation"":""direct"",""term_id"":""GO:0016197"",""term_name"":""endosomal transport""}]"	4	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	ARM_TOTAL_NO_DEFINED_CLASS	chr4	p	chr4_p	4p	7	C13	37	chr4_p	0	0	0													0	Ontology contributor rows are redundant annotations, not independent biological systems; unique coordinate-copy burden is the nonredundant display unit.	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
