arm_a	arm_b	mean_jaccard	n_pairs	hic_contact
chr10_p	chr11_p	0.30956195	8	0.003179146226616921
chr10_p	chr11_q	0.0	8	0.0002167480648513109
chr10_p	chr12_p	0.64537925	8	0.01525632688903052
chr10_p	chr13_p	0.59160875	8	0.006972154288841535
chr10_p	chr14_p	0.6311875	8	0.015261841922162421
chr10_p	chr15_p	0.641308	8	0.014450432209010107
chr10_p	chr16_p	0.60221925	8	0.014437535374147284
chr10_p	chr17_p	0.55603775	8	0.01538504281182294
chr10_p	chr17_q	0.0	4	0.0006307548897994274
chr10_p	chr18_p	0.23907457999999998	8	0.0004381624590001992
chr10_p	chr19_p	0.51302275	8	0.016675544180211714
chr10_p	chr19_q	0.0	8	0.00023045676721436862
chr10_p	chr1_p	0.5981449999999999	8	0.015920848316629207
chr10_p	chr2_p	0.56404375	8	0.009425110662747605
chr10_p	chr3_p	0.59103475	8	0.014506073531824126
chr10_p	chr4_p	0.2517244725	8	0.0008530200328926824
chr10_p	chr5_p	0.5963999999999999	8	0.006657312128727557
chr10_p	chr6_p	0.5906724999999999	8	0.012857875789340131
chr10_p	chr7_p	0.27737775	8	0.00023562774457823032
chr10_p	chr8_p	0.600792	8	0.014623916014144481
chr10_p	chr8_q	0.0	8	0.0001264207443362671
chr10_p	chr9_p	0.55471875	8	0.02002251397525267
chr10_p	chr9_q	0.003458685	4	0.001226555196992882
chr10_p	chrX_p	0.5641045	4	0.0005299322260855017
chr10_p	chrX_q	0.0	4	0.0006174947906025372
chr10_q	chr11_p	0.0	4	2.85686082251374e-06
chr10_q	chr11_q	0.0	4	0.000251936645052204
chr10_q	chr12_p	0.0	4	0.0
chr10_q	chr13_p	0.0	4	3.857383377090842e-06
chr10_q	chr14_p	0.0	4	3.605836970755005e-06
chr10_q	chr15_p	0.0	4	1.0869243670061253e-05
chr10_q	chr16_p	0.0	4	1.8282773399237693e-06
chr10_q	chr17_p	0.0	4	0.0
chr10_q	chr17_q	0.151853	2	0.005229624866148606
chr10_q	chr18_p	0.0	4	3.252211133697469e-05
chr10_q	chr19_p	0.0	4	6.654295426114055e-06
chr10_q	chr19_q	0.0	4	0.00025005746425637025
chr10_q	chr1_p	0.0	4	8.570596990072815e-06
chr10_q	chr2_p	0.0	4	2.7856842792650227e-06
chr10_q	chr3_p	0.0	4	3.1768328268432726e-06
chr10_q	chr4_p	0.0	4	0.0
chr10_q	chr5_p	0.0	4	0.0
chr10_q	chr6_p	0.0	4	1.6418503563418792e-06
chr10_q	chr7_p	0.0	4	4.094767610118688e-06
chr10_q	chr8_p	0.0	4	4.788398529176095e-06
chr10_q	chr8_q	0.13594465	4	0.01242202674714268
chr10_q	chr9_p	0.0	4	1.8219046503191122e-05
chr10_q	chr9_q	0.0	2	0.00018576499539949508
chr10_q	chrX_p	0.0	2	6.556104848794132e-07
chr10_q	chrX_q	0.0	2	0.0
chr11_p	chr12_p	0.326213125	8	0.003097503153210399
chr11_p	chr13_p	0.2839305	8	0.003403701113091185
chr11_p	chr14_p	0.294772575	8	0.0026688422751155634
chr11_p	chr15_p	0.345276975	8	0.0027420209400925684
chr11_p	chr16_p	0.3561475249999999	8	0.003361665852845367
chr11_p	chr17_p	0.31633445	8	0.005011629187977427
chr11_p	chr17_q	0.0	4	0.0013220972643985481
chr11_p	chr18_p	0.1940368975	8	0.001880070848445031
chr11_p	chr19_p	0.25493665	8	0.003440805690471057
chr11_p	chr19_q	0.0	8	0.0007371240288816855
chr11_p	chr1_p	0.29427860000000006	8	0.0037478530678133606
chr11_p	chr2_p	0.329112125	8	0.004558754276583783
chr11_p	chr3_p	0.286458525	8	0.0027613020872871994
chr11_p	chr4_p	0.15467512249999998	8	0.0011689640231076289
chr11_p	chr5_p	0.3060932	8	0.0034746117553913014
chr11_p	chr6_p	0.32212894999999997	8	0.0031324839651859704
chr11_p	chr7_p	0.19513229999999998	8	0.0006840578585922647
chr11_p	chr8_p	0.31110522500000004	8	0.0027173459673491144
chr11_p	chr8_q	0.0	8	0.0003623351153513041
chr11_p	chr9_p	0.32055535	8	0.005036154635847077
chr11_p	chr9_q	0.001318395	4	0.000738146143504708
chr11_p	chrX_p	0.42882425	4	0.0005980196997916281
chr11_p	chrX_q	0.0	4	0.0026289592796371925
chr11_q	chr12_p	0.0	8	0.0004314468385480598
chr11_q	chr13_p	0.0	8	0.0004836585644762358
chr11_q	chr14_p	0.0	8	0.0002639183552371878
chr11_q	chr15_p	0.0	8	0.00045596078998506623
chr11_q	chr16_p	0.0	8	0.00034543482408732674
chr11_q	chr17_p	0.0	8	0.0003625306664883362
chr11_q	chr17_q	0.0	4	0.012806702635022368
chr11_q	chr18_p	0.0	8	0.003402747631774137
chr11_q	chr19_p	0.0	8	0.00023413384833214428
chr11_q	chr19_q	0.0	8	0.019940809250905953
chr11_q	chr1_p	0.0	8	0.00028805984494195745
