id	claim	metric	figure	tsv
N1	Population-scale community structure: first quantification of arm-level Leiden partition across HPRCv2.	41 arms → 15 communities; 233 individuals × 465 haplotypes × 15,668 PHR sequences; silhouette 0.347; modularity 0.97.	Fig 1a, Fig 1c, ED2a, ED2d, Table 1	hprcv2.1Mb.subtelo.arm-leiden.communities.tsv; hprcv2.1Mb.subtelo.arm_dist_matrix.tsv; cross_arm_affinity_sequences.tsv
N2	Three-category arm classification (homogeneous / polymorphic / fully interchangeable); quantitative extension of Mefford & Trask's qualitative patchwork model.	Homogeneous 8/41 (0% cross-arm); polymorphic 34/41 (≥2 seq-level communities); fully interchangeable 7/41 (100% cross-arm).	Fig 1d	cross_arm_affinity_sequences.tsv
N3	Population-scale cross-arm affinity, first across 465 haplotypes.	Arm-level 15.9% (2,484 / 15,668); seq-level 11.1% (1,740 / 15,668).	Fig 1b, Fig 1d, ED2c	cross_arm_affinity_sequences.tsv
N4	Subtelomeric type discordance at population scale.	Up to 47.5% structural heterozygosity per locus; chr15_p discordance 27.3% (6/22 individuals).	Fig 2a, ED2c	cross_arm_affinity_sequences.tsv; per-arm discordance TSV (SURVEY_04 §1)
N5	Gene-repertoire replacement scores: first homogenisation gradient mapped onto community structure.	Complete (0.91–1.00) at chr13_p / chr14_p / chr15_p / PAR; partial (0.0–0.72) autosomal communities; chr14_p (N=229) 83.0% cross-arm with other acrocentric p-arms.	Fig 2c, Table 1	replacement_score_matrix.tsv (SURVEY_03 / 04)
N6	3D genome mirrors sequence communities across three independent technologies.	Hi-C / Pore-C B/W 0.027–0.074 (8 datasets); RPE-1 HPRC B/W 0.005–0.052 (3 datasets); Dip-C T2T 6.9% closer (16 cells, p=2.4×10⁻⁵, Mantel ρ=0.30); 50-community partition does not reach significance in Dip-C.	Fig 3a, Fig 3b, ED5a, ED5d, ED6a	*_global_test.tsv × 8; gm12878_per_community_per_cell.tsv; *_community_bootstrap_tests.tsv
N7	Flanking-region paradox — strong evidence against multi-mapping artefact.	HG002 100 kb flanking B/W = 0.002 vs PHR B/W = 0.027 (13× stronger flanking signal); flanking ρ strengthens away from tip, ruling out Rabl alone.	Fig 3d	flanking/{res}bp/<sample>_global_test.tsv
N8	C4 minimal-PHR positive control.	5–25 kb at chr7_q / chr12_q tips → 3D co-localisation in 4/5 diploid Hi-C samples; zero gene annotations.	Fig 3a, Fig 3b	C4-restricted *_global_test.tsv
N9	Cell-type specificity (PBMC vs LCL).	PBMC W/B = 0.983, p = 0.305 (n.s.; mixed cells, hg19 projection, smaller PHRs); GM12878 T2T 6.9% closer (primary Dip-C finding).	ED6a	gm12878_mantel_scatter; pbmc_global_test.tsv (SURVEY_06)
N10	Per-individual discordance ↔ 3D correlation.	Low discordance → strong Hi-C signal; ρ = −0.50, p = 3.4 × 10⁻⁴, N = 48 sample × community pairs.	ED5d	*_community_bootstrap_tests.tsv
N11	Proposed feedback-loop model: similarity → 3D proximity → ectopic exchange → increased similarity.	Schematic; 3 of 4 links supported by present data; causal direction not established.	ED8a	N/A — schematic / synthesis
N12	MTCO pseudogene enrichment at acrocentric p-arms (C7); enabled by T2T-quality assemblies.	Population-level enrichment in C7; per-community gene-class composition.	ED4c	gene_copy_summary.csv
N13	TAR1 near-absence from PAR1.	0.5% at chrX_p / chrY_p vs 94.8% genome-wide; near-universal outside PAR (99.6%).	ED3a	community_tar1_by_arm.tsv
N14	Weak A-compartment with interior radial positioning.	68% A-compartment but mean e1 = +0.007; Dip-C radial 0.50–0.63.	ED8d	HG002 100 kb eigenvector TSV; gm12878_radial_community.tsv
N15	Subtelomeric exchange frequencies as phylogenetic markers — out-of-Africa topology recovered.	9 arm/community × 5 superpopulations recover AFR-deepest split (0.73–0.81), then EAS, then SAS/AMR/EUR (AMR–EUR 0.22).	Fig 2d	cross_arm_superpop_enrichment.tsv; fst_superpop_matrix.tsv
N16	TAR1 prevalence consistent with passenger status (not a facilitator).	C7 cross-arm rates 86.6% (TAR1+) vs 90.5% (TAR1−); near-universal prevalence outside PAR (99.6%) precludes a definitive functional test.	ED3a	community_tar1_by_arm.tsv
N17	Internal (TTAGGG)n islands at population scale (distinct from TAR1 / terminal arrays).	18,352 islands / 8,321 sequences (53.1%) / all 41 arms; median 79 bp.	ED3b	length_distribution.tsv; its_islands_per_arm.tsv
N18	Alleles closer than paralogs except at C7.	Wilcoxon p < 1×10⁻³⁰⁰ in 8/9 multi-arm communities; C7 reversed (paralog distance < allelic distance) in 65.5% of individuals.	Fig 2a	allele_vs_paralog_distance.tsv
N19	Subtelomeric Fst mirrors out-of-Africa history.	AFR Fst 0.10–0.12 vs all non-AFR; non-AFR 0.00–0.02; mean Fst = 0.048 across 9 arms.	Fig 2c, Fig 2d	fst_superpop_matrix.tsv
N20	Internal (TTAGGG)n islands predominantly degenerate; quantifies Ambrosini variant motifs.	Only 32.2% pure canonical; TGAGGG 19.0%, TTGGGG 16.0%, TCAGGG 12.7%.	ED3b	motif_composition.tsv
N21	Cross-arm and self-arm sequences share identical (TTAGGG)n island distribution.	45.9% vs 45.9% proximal; χ² = 0.00, p = 0.99, OR = 1.00.	ED3b	length_distribution.tsv (cross-vs-self stratified)
N22	Within-community Jaccard distance is multi-modal.	C2/C12 bimodal (allelic vs paralog peaks); C1/C7 diffuse (homogenised).	ED2b	per-community similarity.tsv subsets
N23	Two-domain subtelomeric model supported across most arms at pangenome scale.	Gradient on 39/48 arms (81%); breakpoint on 39/41 testable arms (95%); 99.7% of haplotype sequences. Internal (TTAGGG)n co-localises with breakpoint within 25 kb on 11/19 testable arms.	Fig 2b	two_domain_test.tsv; two_domain_changepoint.tsv; its_breakpoint_coloc.tsv; two_domain_binned_means.tsv
N24	Two-domain boundary positions quantified at sequence resolution.	Arm-specific 15–445 kb; chr4p 70 kb, chr4q 50 kb, chr22q 15 kb; consistent with FISH-inferred 25–50 kb but at sequence resolution.	Fig 2b	two_domain_changepoint.tsv
N25	Mouse meiotic enrichment across all stages.	Per-arm-pair ρ peaks at zygotene (ρ = 0.715, p = 4.4 × 10⁻⁵⁵, n = 344); leptotene 0.680, pachytene 0.677, diplotene 0.574; flanking ρ = 0.60–0.77 matches temporal pattern.	Fig 4d, ED7c	zuo2021_*_global_test.tsv; zuo2021_zygotene_phr_pair_scatter
N26	Pangenome community-free framework validated cross-organism.	Mouse 1 Mb per-arm-pair ρ 0.574–0.715; flanking 0.604–0.766; human Dip-C 16-cell Mantel ρ = 0.296, p = 0.002.	ED7c	zuo2021_*_global_test.tsv; community_enrichment_16cells_500kb_global_test.tsv
N27	Sperm signal in haploid post-meiotic cells.	W/B = 0.401 (60% closer); Mantel ρ = 0.202, p = 0.023; consistent with Rabl persistence through spermiogenesis.	Fig 3b, ED6b	sperm_all20_mantel_scatter; sperm_all20_global_test.tsv
