event_id	pair	transmission	query_name	query_arm	query_sample	query_haplotype	query_haplotype_label	query_source_window_native_0based_half_open	local_query_start_0based	local_query_end_0based_exclusive	native_query_start_0based	native_query_end_0based_exclusive	native_query_interval_0based_half_open	segment_length_bp	target_name	target_arm	target_sample	target_haplotype	target_haplotype_label	target_source_window_native_0based_half_open	target_local_interval_0based_if_recovered	target_native_interval_0based_half_open_if_recovered	target_interval_recovery	raw_strict_paf_row_count	raw_strict_paf_query_coverage_check	strand	identity	jaccard	nb	interchromosomal	event_role	query_community	target_community	community_status	patch_pattern_annotation	overlaps_phr	has_phr	geometry_source	target_coordinate_source	annotation_source
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	0	48900	135704825	135753725	chr9:135704825-135753725	48900	PAN011#1#chr9.haplotype1:135595959-136095958_chr9_qarm	chr9q	PAN011	PAN011#1	haplotype1	chr9:135595959-136095959	81323-130219	135677282-135726178	recovered_from_strict_paf	1	0-48900	+	99.9714	0.999428	1	0	same-chromosome context	not_available	not_available	not_available	not_available	not_available	not_available	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	not_joined_exactly_to_patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	48900	327917	135753725	136032742	chr9:135753725-136032742	279017	PAN011#2#chr9.haplotype2:133240004-133740003_chr9_qarm	chr9q	PAN011	PAN011#2	haplotype2	chr9:133240004-133740004	48292-327314	133288296-133567318	recovered_from_strict_paf	24	48900-327917	+	100	1	1	0	same-chromosome context	not_available	not_available	not_available	not_available	not_available	not_available	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	not_joined_exactly_to_patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	327917	329124	136032742	136033949	chr9:136032742-136033949	1207	PAN011#2#chr16.haplotype2:89999497-90499496_chr16_qarm	chr16q	PAN011	PAN011#2	haplotype2	chr16:89999497-90499497	404894-406101	90404391-90405598	recovered_from_strict_paf	1	327917-329124	+	100	1	1	1	side fragment	C3	C3	within_community	sandwich_same_hap	True	True	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	329124	446944	136033949	136151769	chr9:136033949-136151769	117820	PAN011#2#chr9.haplotype2:133240004-133740003_chr9_qarm	chr9q	PAN011	PAN011#2	haplotype2	chr9:133240004-133740004	328521-446355	133568525-133686359	recovered_from_strict_paf	22	329124-446944	+	100	1	1	0	same-chromosome context	C3	C3	same_chr	same_chr	True	True	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	446944	472441	136151769	136177266	chr9:136151769-136177266	25497	PAN011#2#chr3.haplotype2:205075647-205575646_chr3_qarm	chr3q	PAN011	PAN011#2	haplotype2	chr3:205075647-205575647	447014-472515	205522661-205548162	recovered_from_strict_paf	2	446944-472441	+	99.9349	0.9987	1	1	primary donor	C3	C3	within_community	acros_like	True	True	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	472441	476266	136177266	136181091	chr9:136177266-136181091	3825	PAN011#1#chr3.haplotype1:202049714-202549713_chr3_qarm	chr3q	PAN011	PAN011#1	haplotype1	chr3:202049714-202549714	472056-475623	202521770-202525337	recovered_from_strict_paf	1	472441-476266	+	96.4193	0.932044	1	1	primary donor	C3	C3	within_community	acros_like	True	True	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	476266	491186	136181091	136196011	chr9:136181091-136196011	14920	PAN011#2#chr3.haplotype2:205075647-205575646_chr3_qarm	chr3q	PAN011	PAN011#2	haplotype2	chr3:205075647-205575647	476082-491253	205551729-205566900	recovered_from_strict_paf	1	476266-491186	+	98.82	0.97681	1	1	primary donor	C3	C3	within_community	acros_like	True	True	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	491186	498459	136196011	136203284	chr9:136196011-136203284	7273	PAN011#1#chr15.haplotype1:95856803-96356802_chr15_qarm	chr15q	PAN011	PAN011#1	haplotype1	chr15:95856803-96356803	491371-498644	96348174-96355447	recovered_from_strict_paf	1	491186-498459	+	99.8762	0.997528	1	1	side fragment	C3	C8	cross_community	acros_like	True	True	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	498459	499507	136203284	136204332	chr9:136203284-136204332	1048	PAN011#2#chr3.haplotype2:205075647-205575646_chr3_qarm	chr3q	PAN011	PAN011#2	haplotype2	chr3:205075647-205575647	498526-499571	205574173-205575218	recovered_from_strict_paf	1	498459-499507	+	98.9916	0.980132	1	1	primary donor	C3	C3	within_community	acros_like	True	True	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	chr9q	PAN027	2	paternal	chr9:135704825-136204825	499507	500000	136204332	136204825	chr9:136204332-136204825	493	PAN011#1#chr20.haplotype1:66002904-66502903_chr20_qarm	chr20q	PAN011	PAN011#1	haplotype1	chr20:66002904-66502904	499514-500000	66502418-66502904	recovered_from_strict_paf	1	499507-500000	+	92.0298	0.857685	1	1	low-confidence tail	C3	C5	cross_community	acros_like	True	True	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv (nb=1 plus sweepGA 1:1 no-scaffold)	/moosefs/erikg/phrs/pedigree_native_untangle_agent2556_sweepga_1to1_noscaffold/<pair>.e50000.m1000.j0.8.n4.native_nb1.sweepga_1to1_noscaffold.paf	/moosefs/guarracino/HPRCv2/PHR_III/pedigrees/washu/untangle/recombination/patches.tsv
