method	event_id	comparison_id	chop_length_bp	filter_id	query_name	query_start	query_end	target_chrom	expected_target_chrom	retained_rows_overlapping_window	query_overlap_bp_sum	query_covered_bp_union	chr3_support	filtered_paf
wfmash_p95_updated_bin	PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	10000	one_to_one_ani_o0	PAN027#2#chr9	135704825	136204825	chr3	chr3	0	0	0	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l10000_o0/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz
wfmash_p95_updated_bin	PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	10000	one_to_one_ani_o0	PAN027#2#chr9	135704825	136204825	chr7	chr3	1	4825	4825	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l10000_o0/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz
wfmash_p95_updated_bin	PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	10000	one_to_one_ani_o0	PAN027#2#chr9	135704825	136204825	chr9	chr3	51	433408	433408	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l10000_o0/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz
wfmash_p95_updated_bin	PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	one_to_one_ani_o0	PAN027#2#chr9	135704825	136204825	chr3	chr3	1	2000	2000	yes	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l2000_o0/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz
wfmash_p95_updated_bin	PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	one_to_one_ani_o0	PAN027#2#chr9	135704825	136204825	chr7	chr3	7	12825	12825	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l2000_o0/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz
wfmash_p95_updated_bin	PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	2000	one_to_one_ani_o0	PAN027#2#chr9	135704825	136204825	chr9	chr3	223	435398	435398	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l2000_o0/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l2000_o0_query_grid.paf.gz
wfmash_p95_updated_bin	PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	5000	one_to_one_ani_o0	PAN027#2#chr9	135704825	136204825	chr3	chr3	0	0	0	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l5000_o0/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz
wfmash_p95_updated_bin	PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	5000	one_to_one_ani_o0	PAN027#2#chr9	135704825	136204825	chr7	chr3	2	9825	9825	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l5000_o0/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz
wfmash_p95_updated_bin	PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	5000	one_to_one_ani_o0	PAN027#2#chr9	135704825	136204825	chr9	chr3	95	438408	438408	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l5000_o0/PAN027pat_vs_PAN011_joint.one_to_one_ani_o0.chopped_l5000_o0_query_grid.paf.gz
wfmash_p95_updated_bin	PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	10000	one_to_one_ani_o0	PAN028#1#chr9	134380985	134880985	chr19	chr3	1	985	985	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l10000_o0/PAN028mat_vs_PAN027_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz
wfmash_p95_updated_bin	PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	10000	one_to_one_ani_o0	PAN028#1#chr9	134380985	134880985	chr3	chr3	1	4998	4998	yes	/moosefs/erikg/phrs/.wg-worktrees/agent-2719/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95_updated_bin/query_grid_filter/filtered_paf_qgrid_l10000_o0/PAN028mat_vs_PAN027_joint.one_to_one_ani_o0.chopped_l10000_o0_query_grid.paf.gz
