position_top_to_bottom	position_left_to_right	ChromArm	label	arm_side	Community	Community_members	UPGMA_tree_position	ordering_mode	matrix_source	tree_order_source	community_mapping_source
1	1	chrX_q	Xq	q	C14	Xq, Yq	1	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
2	2	chrY_q	Yq	q	C14	Xq, Yq	2	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
3	3	chrX_p	Xp	p	C15	Xp, Yp	3	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
4	4	chrY_p	Yp	p	C15	Xp, Yp	4	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
5	5	chr4_p	4p	p	C13	4p	5	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
6	6	chr13_p	13p	p	C7	13p, 14p, 15p, 21p, 22p	6	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
7	7	chr21_p	21p	p	C7	13p, 14p, 15p, 21p, 22p	7	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
8	8	chr14_p	14p	p	C7	13p, 14p, 15p, 21p, 22p	8	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
9	9	chr15_p	15p	p	C7	13p, 14p, 15p, 21p, 22p	9	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
10	10	chr22_p	22p	p	C7	13p, 14p, 15p, 21p, 22p	10	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
11	11	chr12_q	12q	q	C4	7q, 12q	11	tree order: UPGMA leaf order used for both rows and columns	data/hprcv2.1Mb.subtelo.arm_dist_matrix.tsv	UPGMA average linkage via hclust(as.dist(D), method = 'average') on the 41x41 arm-level Jaccard distance matrix	data/hprcv2.1Mb.subtelo.arm-leiden-k15.assignments.tsv
