run_id	source_inter_run_ids	query_chrom	query_start	query_end	target_chrom	donor_haplotype	donor_seq	donor_start	donor_end	bp	windows	mean_same_identity	paired_mean_inter_identity	category
chrX_homolog_run0001	chrX_run0001	chrX	14000	106000	chrX	h1	PAN011#joint#h1_chrX	7833	88517	92000	46	0.896616	0.999984	homolog_competitor
chr22_homolog_run0009	chr22_run0073,chr22_run0075	chr22	2752000	2822000	chr22	h1	PAN011#joint#h1_chr22	3469563	3539422	66000	33	0.971232	0.999121	homolog_competitor
chr13_homolog_run0025	chr13_run0274,chr13_run0276	chr13	7148000	7210000	chr13	h1	PAN011#joint#h1_chr13	8333945	8396039	46000	23	0.996302	0.997988	homolog_competitor
chrX_homolog_run0002	chrX_run0002	chrX	110000	156000	chrX	h1	PAN011#joint#h1_chrX	92517	114856	46000	23	0.860200	0.999336	homolog_competitor
chr13_homolog_run0019	chr13_run0195,chr13_run0197	chr13	6304000	6350000	chr13	h1	PAN011#joint#h1_chr13	7459717	7504155	40000	20	0.981340	0.999013	homolog_competitor
chr22_homolog_run0008	chr22_run0033,chr22_run0035	chr22	652000	694000	chr22	h1	PAN011#joint#h1_chr22	1014600	1061984	36000	18	0.947130	0.997071	homolog_competitor
chr13_homolog_run0018	chr13_run0194	chr13	6264000	6300000	chr13	h1	PAN011#joint#h1_chr13	7424660	7455717	34000	17	0.958343	0.999088	homolog_competitor
chr14_homolog_run0001	chr14_run0018	chr14	8624000	8652000	chr14	h1	PAN011#joint#h1_chr14	8538114	8566294	28000	14	0.914247	0.968786	homolog_competitor
chr5_homolog_run0002	chr5_run0008	chr5	182052000	182080000	chr5	h1	PAN011#joint#h1_chr5	185005564	185033558	28000	14	0.995071	0.998267	homolog_competitor
chr21_homolog_run0007	chr21_run0095,chr21_run0097	chr21	6418000	6448000	chr21	h2	PAN011#joint#h2_chr21	7303264	7333238	26000	13	0.996054	0.998635	homolog_competitor
chr21_homolog_run0010	chr21_run0148	chr21	7652000	7678000	chr21	h1	PAN011#joint#h1_chr21	4438421	4464142	26000	13	0.974179	0.996833	homolog_competitor
chr5_homolog_run0001	chr5_run0006	chr5	182010000	182040000	chr5	h1	PAN011#joint#h1_chr5	184974617	185004633	24000	12	0.994045	0.997896	homolog_competitor
chr9_homolog_run0001	chr9_run0046	chr9	136162000	136188000	chr9	h2	PAN011#joint#h2_chr9	133696051	133722042	24000	12	0.992987	0.998896	homolog_competitor
chr21_homolog_run0004	chr21_run0056	chr21	6112000	6136000	chr21	h2	PAN011#joint#h2_chr21	7072344	7096277	22000	11	0.992773	0.999159	homolog_competitor
chr22_homolog_run0013	chr22_run0123,chr22_run0124	chr22	3246000	3268000	chr22	h1	PAN011#joint#h1_chr22	4302224	4324216	22000	11	0.975891	0.995110	homolog_competitor
chr13_homolog_run0021	chr13_run0219	chr13	6700000	6720000	chr13	h1	PAN011#joint#h1_chr13	7891139	7911202	20000	10	0.994000	0.999250	homolog_competitor
chr13_homolog_run0027	chr13_run0288	chr13	7280000	7306000	chr13	h1	PAN011#joint#h1_chr13	8466035	8492034	20000	10	0.997400	0.999525	homolog_competitor
chr15_homolog_run0002	chr15_run0008	chr15	400000	420000	chr15	h1	PAN011#joint#h1_chr15	217752	236816	20000	10	0.967759	0.999700	homolog_competitor
chr22_homolog_run0005	chr22_run0028	chr22	324000	344000	chr22	h1	PAN011#joint#h1_chr22	330614	350621	20000	10	0.985378	0.997099	homolog_competitor
chr13_homolog_run0043	chr13_run0327	chr13	8308000	8326000	chr13	h1	PAN011#joint#h1_chr13	9514060	9531990	18000	9	0.983009	0.996853	homolog_competitor
chr21_homolog_run0002	chr21_run0010	chr21	3008000	3026000	chr21	h1	PAN011#joint#h1_chr21	2938857	2955041	18000	9	0.904278	0.999141	homolog_competitor
chr13_homolog_run0026	chr13_run0287	chr13	7260000	7276000	chr13	h1	PAN011#joint#h1_chr13	8446096	8462034	16000	8	0.989671	0.997192	homolog_competitor
chr13_homolog_run0028	chr13_run0297	chr13	7332000	7348000	chr13	h1	PAN011#joint#h1_chr13	8517948	8532434	16000	8	0.902459	0.998937	homolog_competitor
chr13_homolog_run0016	chr13_run0189	chr13	6170000	6184000	chr13	h1	PAN011#joint#h1_chr13	7387219	7399782	14000	7	0.901770	0.999571	homolog_competitor
chr13_homolog_run0038	chr13_run0326	chr13	7986000	8000000	chr13	h2	PAN011#joint#h2_chr13	12251707	12266694	14000	7	0.943317	0.997146	homolog_competitor
chr22_homolog_run0006	chr22_run0030	chr22	398000	412000	chr22	h2	PAN011#joint#h2_chr22	7374381	7384878	14000	7	0.760484	0.998393	homolog_competitor
chr22_homolog_run0007	chr22_run0032	chr22	620000	636000	chr22	h1	PAN011#joint#h1_chr22	988612	998599	14000	7	0.937810	0.997248	homolog_competitor
chr22_homolog_run0011	chr22_run0083	chr22	2846000	2860000	chr22	h1	PAN011#joint#h1_chr22	3594363	3607550	14000	7	0.958271	0.997679	homolog_competitor
chr13_homolog_run0001	chr13_run0055	chr13	3988000	4004000	chr13	h2	PAN011#joint#h2_chr13	2946964	2962150	12000	6	0.954764	0.998459	homolog_competitor
chr13_homolog_run0023	chr13_run0256	chr13	6960000	6972000	chr13	h1	PAN011#joint#h1_chr13	8201941	8213767	12000	6	0.989500	0.998750	homolog_competitor
chr13_homolog_run0024	chr13_run0263	chr13	7004000	7016000	chr13	h1	PAN011#joint#h1_chr13	8245757	8257754	12000	6	0.996625	0.998625	homolog_competitor
chr15_homolog_run0001	chr15_run0004	chr15	382000	394000	chr15	h1	PAN011#joint#h1_chr15	199754	211751	12000	6	0.991454	0.999208	homolog_competitor
chr15_homolog_run0003	chr15_run0028	chr15	5192000	5204000	chr15	h2	PAN011#joint#h2_chr15	5185399	5197325	12000	6	0.953263	0.992043	homolog_competitor
chr13_homolog_run0002	chr13_run0071	chr13	4110000	4120000	chr13	h1	PAN011#joint#h1_chr13	4610021	4620071	10000	5	0.986270	0.996651	homolog_competitor
chr13_homolog_run0012	chr13_run0150	chr13	5394000	5406000	chr13	h1	PAN011#joint#h1_chr13	6534546	6546549	10000	5	0.996450	0.998301	homolog_competitor
chr13_homolog_run0013	chr13_run0160	chr13	5852000	5866000	chr13	h1	PAN011#joint#h1_chr13	7069488	7083488	10000	5	0.998800	0.999650	homolog_competitor
chr13_homolog_run0014	chr13_run0163	chr13	5898000	5912000	chr13	h1	PAN011#joint#h1_chr13	7115502	7129492	10000	5	0.995440	0.996845	homolog_competitor
chr13_homolog_run0015	chr13_run0176	chr13	6056000	6072000	chr13	h1	PAN011#joint#h1_chr13	7273169	7289197	10000	5	0.997014	0.997609	homolog_competitor
chr13_homolog_run0022	chr13_run0238	chr13	6840000	6856000	chr13	h1	PAN011#joint#h1_chr13	8030610	8046672	10000	5	0.994631	0.996465	homolog_competitor
chr21_homolog_run0003	chr21_run0027	chr21	5776000	5786000	chr21	h1	PAN011#joint#h1_chr21	5660168	5670167	10000	5	0.911345	0.977453	homolog_competitor
chr21_homolog_run0005	chr21_run0087	chr21	6362000	6374000	chr21	h2	PAN011#joint#h2_chr21	7247289	7259292	10000	5	0.996900	0.998900	homolog_competitor
chr21_homolog_run0006	chr21_run0092	chr21	6402000	6412000	chr21	h2	PAN011#joint#h2_chr21	7287270	7297271	10000	5	0.996650	0.998650	homolog_competitor
chr21_homolog_run0008	chr21_run0101	chr21	6460000	6470000	chr21	h2	PAN011#joint#h2_chr21	7345233	7355233	10000	5	0.997700	0.999250	homolog_competitor
chr22_homolog_run0012	chr22_run0109	chr22	3196000	3206000	chr22	h1	PAN011#joint#h1_chr22	4252255	4262261	10000	5	0.983105	0.998101	homolog_competitor
chr1_homolog_run0001	chr1_run0065	chr1	131074000	131082000	chr1	h2	PAN011#joint#h2_chr1	130833848	130840792	8000	4	0.752971	0.947704	homolog_competitor
chr13_homolog_run0004	chr13_run0098	chr13	4848000	4856000	chr13	h2	PAN011#joint#h2_chr13	641627	649635	8000	4	0.974387	0.990111	homolog_competitor
chr13_homolog_run0020	chr13_run0197	chr13	6350000	6358000	chr13	h2	PAN011#joint#h2_chr13	44880671	44886138	8000	4	0.736541	0.998750	homolog_competitor
chr13_homolog_run0046	chr13_run0330	chr13	8350000	8358000	chr13	h2	PAN011#joint#h2_chr13	5075873	5083895	8000	4	0.990515	0.997250	homolog_competitor
chr13_homolog_run0049	chr13_run0333	chr13	8370000	8378000	chr13	h2	PAN011#joint#h2_chr13	5055870	5063883	8000	4	0.991195	0.996687	homolog_competitor
chr1_homolog_run0006	chr1_run0067	chr1	131106000	131112000	chr1	h1	PAN011#joint#h1_chr1	128848730	128853283	6000	3	0.655714	0.951209	homolog_competitor
chr13_homolog_run0011	chr13_run0120	chr13	5128000	5134000	chr13	h1	PAN011#joint#h1_chr13	9491579	9497592	6000	3	0.989943	0.995752	homolog_competitor
chr13_homolog_run0044	chr13_run0330	chr13	8342000	8348000	chr13	h1	PAN011#joint#h1_chr13	6302922	6308946	6000	3	0.992849	0.994595	homolog_competitor
chr13_homolog_run0047	chr13_run0333	chr13	8362000	8368000	chr13	h2	PAN011#joint#h2_chr13	5065882	5071884	6000	3	0.990670	0.997917	homolog_competitor
chr21_homolog_run0001	chr21_run0010	chr21	3000000	3006000	chr21	h1	PAN011#joint#h1_chr21	2973942	2978745	6000	3	0.843138	0.999833	homolog_competitor
chr22_homolog_run0004	chr22_run0024	chr22	300000	306000	chr22	h1	PAN011#joint#h1_chr22	9512211	9517426	6000	3	0.900702	0.997667	homolog_competitor
chr22_homolog_run0010	chr22_run0083	chr22	2840000	2846000	chr22	h1	PAN011#joint#h1_chr22	3557410	3563401	6000	3	0.991741	0.995748	homolog_competitor
chr1_homolog_run0002	chr1_run0065	chr1	131082000	131086000	chr1	h2	PAN011#joint#h2_chr1	130737558	130741542	4000	2	0.887740	0.970757	homolog_competitor
chr1_homolog_run0003	chr1_run0067	chr1	131096000	131100000	chr1	h1	PAN011#joint#h1_chr1	128756344	128758628	4000	2	0.624282	0.953265	homolog_competitor
chr1_homolog_run0004	chr1_run0067	chr1	131100000	131104000	chr1	h2	PAN011#joint#h2_chr1	131009909	131011495	4000	2	0.498329	0.966887	homolog_competitor
chr13_homolog_run0010	chr13_run0120	chr13	5124000	5128000	chr13	h1	PAN011#joint#h1_chr13	6355412	6359428	4000	2	0.971323	0.995869	homolog_competitor
chr13_homolog_run0029	chr13_run0322	chr13	7944000	7948000	chr13	h1	PAN011#joint#h1_chr13	14178309	14182306	4000	2	0.962108	0.997874	homolog_competitor
chr13_homolog_run0030	chr13_run0322	chr13	7948000	7952000	chr13	h2	PAN011#joint#h2_chr13	12207078	12211144	4000	2	0.964046	0.995890	homolog_competitor
chr13_homolog_run0036	chr13_run0324	chr13	7964000	7968000	chr13	h2	PAN011#joint#h2_chr13	12223190	12225243	4000	2	0.506396	0.994757	homolog_competitor
chr13_homolog_run0039	chr13_run0327	chr13	8296000	8300000	chr13	h2	PAN011#joint#h2_chr13	5150581	5153647	4000	2	0.835663	0.996001	homolog_competitor
chr13_homolog_run0041	chr13_run0327	chr13	8302000	8306000	chr13	h1	PAN011#joint#h1_chr13	9508041	9512072	4000	2	0.982207	0.998750	homolog_competitor
chr21_homolog_run0011	chr21_run0148	chr21	7678000	7682000	chr21	h1	PAN011#joint#h1_chr21	3846181	3846443	4000	2	0.117495	0.998126	homolog_competitor
chr1_homolog_run0005	chr1_run0067	chr1	131104000	131106000	chr1	h2	PAN011#joint#h2_chr1	129781064	129783061	2000	1	0.887666	0.978745	homolog_competitor
chr13_homolog_run0003	chr13_run0098	chr13	4846000	4848000	chr13	h1	PAN011#joint#h1_chr13	529471	531475	2000	1	0.970530	0.992000	homolog_competitor
chr13_homolog_run0005	chr13_run0098	chr13	4856000	4858000	chr13	h1	PAN011#joint#h1_chr13	539483	541476	2000	1	0.973203	0.987994	homolog_competitor
chr13_homolog_run0006	chr13_run0098	chr13	4858000	4860000	chr13	h2	PAN011#joint#h2_chr13	651628	653628	2000	1	0.974000	0.992748	homolog_competitor
chr13_homolog_run0007	chr13_run0098	chr13	4860000	4862000	chr13	h1	PAN011#joint#h1_chr13	543476	545474	2000	1	0.976488	0.992748	homolog_competitor
chr13_homolog_run0008	chr13_run0098	chr13	4862000	4864000	chr13	h2	PAN011#joint#h2_chr13	655625	657202	2000	1	0.848197	0.992240	homolog_competitor
chr13_homolog_run0009	chr13_run0120	chr13	5122000	5124000	chr13	h1	PAN011#joint#h1_chr13	9501613	9503602	2000	1	0.976686	0.995246	homolog_competitor
chr13_homolog_run0017	chr13_run0189	chr13	6184000	6186000	chr13	h2	PAN011#joint#h2_chr13	14016339	14016498	2000	1	0.140806	0.997500	homolog_competitor
chr13_homolog_run0031	chr13_run0322	chr13	7952000	7954000	chr13	h1	PAN011#joint#h1_chr13	14186379	14188389	2000	1	0.964090	0.998500	homolog_competitor
chr13_homolog_run0032	chr13_run0324	chr13	7956000	7958000	chr13	h2	PAN011#joint#h2_chr13	12215184	12217191	2000	1	0.963813	0.996498	homolog_competitor
chr13_homolog_run0033	chr13_run0324	chr13	7958000	7960000	chr13	h1	PAN011#joint#h1_chr13	14192430	14194436	2000	1	0.967049	0.998249	homolog_competitor
chr13_homolog_run0034	chr13_run0324	chr13	7960000	7962000	chr13	h2	PAN011#joint#h2_chr13	12219206	12221206	2000	1	0.966500	0.998750	homolog_competitor
chr13_homolog_run0035	chr13_run0324	chr13	7962000	7964000	chr13	h1	PAN011#joint#h1_chr13	14196436	14198425	2000	1	0.966658	0.999000	homolog_competitor
chr13_homolog_run0037	chr13_run0326	chr13	7984000	7986000	chr13	h1	PAN011#joint#h1_chr13	14226371	14226960	2000	1	0.444187	0.998251	homolog_competitor
chr13_homolog_run0040	chr13_run0327	chr13	8300000	8302000	chr13	h1	PAN011#joint#h1_chr13	6348982	6350952	2000	1	0.961209	0.991000	homolog_competitor
