comparison_id	basis	query_chrom	arm	display_start	display_end	query_start	query_end	target_chrom	target_name	target_start	target_end	inter_identity	same_identity	inter_minus_same_identity	intersection	raw_candidate_count	class_candidate_count	source_tsv_gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	6000	8000	chr13	PAN011#joint#h1_chr13	109109667	109111662	0.9872341	0.0089597	0.9782744	1972	64	12	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	8000	10000	chr22	PAN011#joint#h1_chr22	14944	16944	0.9980000	0.9945000	0.0035000	1996	25	6	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	10000	12000	chr22	PAN011#joint#h1_chr22	16944	18949	0.9977528	0.0129160	0.9848368	1998	140	20	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	380000	382000	chr22	PAN011#joint#h1_chr22	196761	198761	0.9985000	0.8841658	0.1143342	1997	145	22	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	382000	384000	chr13	PAN011#joint#h2_chr13	440576	442577	0.9992502	0.9747184	0.0245318	1999	49	10	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	384000	386000	chr13	PAN011#joint#h2_chr13	442577	444577	0.9985000	0.9972492	0.0012508	1997	49	10	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	386000	388000	chr13	PAN011#joint#h2_chr13	444577	446577	0.9990000	0.9930000	0.0060000	1998	49	10	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	388000	390000	chr13	PAN011#joint#h2_chr13	446577	448576	0.9992498	0.9970000	0.0022498	1998	49	10	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	390000	392000	chr13	PAN011#joint#h2_chr13	448576	450576	0.9995000	0.9930000	0.0065000	1999	49	10	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	392000	394000	chr13	PAN011#joint#h2_chr13	450576	452575	0.9997499	0.9937547	0.0059952	1999	100	14	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	394000	396000	chr22	PAN011#joint#h1_chr22	210756	212756	0.9995000	0.9950000	0.0045000	1999	121	16	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	396000	398000	chr13	PAN011#joint#h1_chr13	346285	348285	0.9995000	0.9942515	0.0052485	1999	64	12	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	398000	400000	chr22	PAN011#joint#h1_chr22	214756	216756	1.0000000	0.9980000	0.0020000	2000	100	16	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	400000	402000	chr13	PAN011#joint#h2_chr13	458576	460576	1.0000000	0.9950000	0.0050000	2000	121	18	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	402000	404000	chr13	PAN011#joint#h2_chr13	460576	462576	1.0000000	0.9957511	0.0042489	2000	64	12	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	404000	406000	chr13	PAN011#joint#h2_chr13	462576	464576	1.0000000	0.9965000	0.0035000	2000	64	12	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	406000	408000	chr13	PAN011#joint#h2_chr13	464576	466576	1.0000000	0.9980000	0.0020000	2000	81	14	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
PAN027pat_vs_PAN011_joint	10:10	chr15	p	0	500000	408000	410000	chr13	PAN011#joint#h2_chr13	466576	468576	1.0000000	0.9974999	0.0025001	2000	64	12	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027pat_vs_PAN011_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
