gene_name,copies_in_phrs,genome_wide_copies,gene_biotype,num_chromosomes,chromosomes,in_phrs,in_genome
CXCL10,0,1,protein_coding,1,chr4,False,True
LOC105371996,0,1,lncRNA,1,chr18,False,True
LOC107986441,0,1,lncRNA,1,chr5,False,True
LOC124904720,0,1,lncRNA,1,chr19,False,True
NIPA2,0,1,protein_coding,1,chr15,False,True
CNN2,0,1,protein_coding,1,chr19,False,True
LOC101927691,0,1,lncRNA,1,chr6,False,True
TRBV20OR9-2,0,1,V_segment_pseudogene,1,chr9,False,True
PBDC1,0,1,protein_coding,1,chrX,False,True
LOC105373204,0,1,lncRNA,1,chrX,False,True
MAPK6P4,0,1,pseudogene,1,chr8,False,True
PMS2,0,1,protein_coding,1,chr7,False,True
LOC124902822,0,1,pseudogene,1,chr11,False,True
SCARNA22,0,1,ncRNA,1,chr4,False,True
RAC3,0,1,protein_coding,1,chr17,False,True
LOC107985359,0,1,lncRNA,1,chr1,False,True
RN7SL685P,0,1,pseudogene,1,chr8,False,True
STIM1-AS1,0,1,lncRNA,1,chr11,False,True
SNORD14D,0,1,snoRNA,1,chr11,False,True
ZNF385A,0,1,protein_coding,1,chr12,False,True
PHF2P2,0,1,pseudogene,1,chr13,False,True
SLC4A3,0,1,protein_coding,1,chr2,False,True
CFAP74,0,1,protein_coding,1,chr1,False,True
GABRR2,0,1,protein_coding,1,chr6,False,True
LOC105370109,0,1,lncRNA,1,chr13,False,True
FRG1GP,0,2,pseudogene,2,"chr14,chr22",False,True
CRLF3,0,1,protein_coding,1,chr17,False,True
LOC107985186,0,1,lncRNA,1,chr18,False,True
LOC107986775,0,1,lncRNA,1,chr7,False,True
LOC124905097,0,1,lncRNA,1,chr22,False,True
LINC01671,0,1,lncRNA,1,chr21,False,True
KYNUP3,0,1,pseudogene,1,chr17,False,True
LOC124901518,0,1,snRNA,1,chr6,False,True
MIR4782,0,1,miRNA,1,chr2,False,True
LOC112268438,0,2,lncRNA,1,chr2,False,True
LOC101928277,0,1,lncRNA,1,chr6,False,True
TRK-TTT17-1,0,1,pseudogene,1,chr8,False,True
ACTL7B,0,1,protein_coding,1,chr9,False,True
LOC100131294,0,1,pseudogene,1,chr12,False,True
SNORD83B,0,1,snoRNA,1,chr22,False,True
MAGED1,0,1,protein_coding,1,chrX,False,True
IGHVII-30-1,0,3,V_segment_pseudogene,1,chr14,False,True
LDHAP1,0,1,pseudogene,1,chr4,False,True
FXNP1,0,1,pseudogene,1,chr14,False,True
LAMA1,0,1,protein_coding,1,chr18,False,True
FTH1P22,0,1,pseudogene,1,chr1,False,True
C3orf62,0,1,protein_coding,1,chr3,False,True
OR13A1,0,1,protein_coding,1,chr10,False,True
GALC,0,1,protein_coding,1,chr14,False,True
PDCD10,0,1,protein_coding,1,chr3,False,True
MAGEA8-AS1,0,1,lncRNA,1,chrX,False,True
SLC49A4,0,1,protein_coding,1,chr3,False,True
LINC02389,0,1,lncRNA,1,chr12,False,True
LOC124903211,0,1,protein_coding,1,chr13,False,True
LOC105377136,0,1,lncRNA,1,chr21,False,True
UGT1A3,0,1,protein_coding,1,chr2,False,True
VN1R34P,0,1,pseudogene,1,chr7,False,True
SENP8,0,1,protein_coding,1,chr15,False,True
LOC105375470,0,1,lncRNA,1,chr7,False,True
TCEA1P1,0,1,pseudogene,1,chr9,False,True
KCNQ1DN,0,1,lncRNA,1,chr11,False,True
TMF1P1,0,1,pseudogene,1,chr16,False,True
RN7SL105P,0,1,pseudogene,1,chr17,False,True
MYO15A,0,1,protein_coding,1,chr17,False,True
LOC105373739,0,1,lncRNA,1,chr2,False,True
LOC107984317,0,1,lncRNA,1,chr11,False,True
