position	ChromArm	label	arm_side	Leiden
1	chrX_q	Xq	q	C14
2	chrY_q	Yq	q	C14
3	chrX_p	Xp	p	C15
4	chrY_p	Yp	p	C15
5	chr4_p	4p	p	C13
6	chr13_p	13p	p	C7
7	chr21_p	21p	p	C7
8	chr14_p	14p	p	C7
9	chr15_p	15p	p	C7
10	chr22_p	22p	p	C7
11	chr12_q	12q	q	C4
12	chr7_q	7q	q	C4
13	chr10_p	10p	p	C2
14	chr18_p	18p	p	C2
15	chr17_p	17p	p	C10
16	chr16_p	16p	p	C9
17	chr9_p	9p	p	C5
18	chr6_p	6p	p	C5
19	chr12_p	12p	p	C5
20	chr20_q	20q	q	C5
21	chr2_q	2q	q	C12
22	chr1_p	1p	p	C11
23	chr8_p	8p	p	C11
24	chr5_q	5q	q	C11
25	chr6_q	6q	q	C11
26	chr15_q	15q	q	C8
27	chr11_p	11p	p	C3
28	chr19_p	19p	p	C3
29	chr3_q	3q	q	C3
30	chr20_p	20p	p	C12
31	chr9_q	9q	q	C3
32	chr16_q	16q	q	C3
33	chr7_p	7p	p	C3
34	chr10_q	10q	q	C1
35	chr4_q	4q	q	C1
36	chr17_q	17q	q	C6
37	chr13_q	13q	q	C6
38	chr1_q	1q	q	C6
39	chr19_q	19q	q	C6
40	chr21_q	21q	q	C6
41	chr22_q	22q	q	C6
