display_index	row_order_top_to_bottom	row_sequence_community	displayed_column_order_left_to_right	displayed_column_sequence_community	v3_implicit_displayed_column_order_left_to_right	v3_implicit_displayed_column_sequence_community	v3_x_axis_mirrored	orientation_summary	corrected_x_axis_policy	corrected_row_axis_policy	v3_mirror_basis
1	chr4_MATERNAL_q	C1	chr4_MATERNAL_q	C1	chrY_PATERNAL_p	C15	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
2	chr4_PATERNAL_q	C1	chr4_PATERNAL_q	C1	chrX_MATERNAL_p	C15	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
3	chr10_MATERNAL_q	C1	chr10_MATERNAL_q	C1	chrY_PATERNAL_q	C14	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
4	chr10_PATERNAL_q	C1	chr10_PATERNAL_q	C1	chrX_MATERNAL_q	C14	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
5	chr10_MATERNAL_p	C2	chr10_MATERNAL_p	C2	chr4_PATERNAL_p	C13	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
6	chr10_PATERNAL_p	C2	chr10_PATERNAL_p	C2	chr4_MATERNAL_p	C13	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
7	chr18_MATERNAL_p	C2	chr18_MATERNAL_p	C2	chr20_PATERNAL_p	C12	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
8	chr18_PATERNAL_p	C2	chr18_PATERNAL_p	C2	chr20_MATERNAL_p	C12	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
9	chr3_MATERNAL_q	C3	chr3_MATERNAL_q	C3	chr2_PATERNAL_q	C12	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
10	chr3_PATERNAL_q	C3	chr3_PATERNAL_q	C3	chr2_MATERNAL_q	C12	TRUE	v3_x_axis_mirrored=TRUE; corrected_x_axis_policy=display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display columns left-to-right as ordered_arms[1:n], matching the sequence-community order; draw rasterImage(as.raster(color_matrix)) directly and compute x boxes in this displayed column coordinate system.	display rows top-to-bottom as ordered_arms[1:n]; compute y boxes with y_min = n - row_end + 0.5 and y_max = n - row_start + 1.5.	v3 drew rasterImage(as.raster(t(color_matrix)[, n:1])); with rasterImage raster rows are already top-to-bottom and columns are left-to-right, so the symmetric matrix could look plausible while the displayed X axis mapped left-to-right to reverse(ordered_arms).
