sequence_community	start_index	end_index	n_arm_haplotypes	x_min	x_max	y_min	y_max	members
C1	1	4	4	0.5	4.5	73.5	77.5	chr4_MATERNAL_q;chr4_PATERNAL_q;chr10_MATERNAL_q;chr10_PATERNAL_q
C2	5	8	4	4.5	8.5	69.5	73.5	chr10_MATERNAL_p;chr10_PATERNAL_p;chr18_MATERNAL_p;chr18_PATERNAL_p
C3	9	20	12	8.5	20.5	57.5	69.5	chr3_MATERNAL_q;chr3_PATERNAL_q;chr7_MATERNAL_p;chr7_PATERNAL_p;chr9_MATERNAL_q;chr9_PATERNAL_q;chr11_MATERNAL_p;chr11_PATERNAL_p;chr16_MATERNAL_q;chr16_PATERNAL_q;chr19_MATERNAL_p;chr19_PATERNAL_p
C4	21	24	4	20.5	24.5	53.5	57.5	chr7_MATERNAL_q;chr7_PATERNAL_q;chr12_MATERNAL_q;chr12_PATERNAL_q
C5	25	31	7	24.5	31.5	46.5	53.5	chr6_MATERNAL_p;chr6_PATERNAL_p;chr9_MATERNAL_p;chr9_PATERNAL_p;chr12_MATERNAL_p;chr12_PATERNAL_p;chr20_PATERNAL_q
C6	32	43	12	31.5	43.5	34.5	46.5	chr1_MATERNAL_q;chr1_PATERNAL_q;chr13_MATERNAL_q;chr13_PATERNAL_q;chr17_MATERNAL_q;chr17_PATERNAL_q;chr19_MATERNAL_q;chr19_PATERNAL_q;chr21_MATERNAL_q;chr21_PATERNAL_q;chr22_MATERNAL_q;chr22_PATERNAL_q
C7	44	53	10	43.5	53.5	24.5	34.5	chr13_MATERNAL_p;chr13_PATERNAL_p;chr14_MATERNAL_p;chr14_PATERNAL_p;chr15_MATERNAL_p;chr15_PATERNAL_p;chr21_MATERNAL_p;chr21_PATERNAL_p;chr22_MATERNAL_p;chr22_PATERNAL_p
C8	54	55	2	53.5	55.5	22.5	24.5	chr15_MATERNAL_q;chr15_PATERNAL_q
C9	56	57	2	55.5	57.5	20.5	22.5	chr16_MATERNAL_p;chr16_PATERNAL_p
C10	58	59	2	57.5	59.5	18.5	20.5	chr17_MATERNAL_p;chr17_PATERNAL_p
C11	60	67	8	59.5	67.5	10.5	18.5	chr1_MATERNAL_p;chr1_PATERNAL_p;chr5_MATERNAL_q;chr5_PATERNAL_q;chr6_MATERNAL_q;chr6_PATERNAL_q;chr8_MATERNAL_p;chr8_PATERNAL_p
C12	68	71	4	67.5	71.5	6.5	10.5	chr2_MATERNAL_q;chr2_PATERNAL_q;chr20_MATERNAL_p;chr20_PATERNAL_p
C13	72	73	2	71.5	73.5	4.5	6.5	chr4_MATERNAL_p;chr4_PATERNAL_p
C14	74	75	2	73.5	75.5	2.5	4.5	chrX_MATERNAL_q;chrY_PATERNAL_q
C15	76	77	2	75.5	77.5	0.5	2.5	chrX_MATERNAL_p;chrY_PATERNAL_p
