arm_a	arm_b	mean_jaccard	n_pairs	hic_contact
chr10_p	chr11_p	0.0	396928	0.00801582740391325
chr10_p	chr12_p	0.0	402244	0.0
chr10_p	chr12_q	0.0	397814	0.0
chr10_p	chr13_p	0.0	67336	0.0
chr10_p	chr13_q	0.0029129332904322186	397814	0.010922533735616356
chr10_p	chr14_p	0.0	202894	0.0
chr10_p	chr15_p	0.0	105434	0.002912798407773253
chr10_p	chr15_q	0.0	397814	0.0003117542548610501
chr10_p	chr16_p	0.05796862097177373	391612	0.0016918003172986184
chr10_p	chr16_q	0.05735013723497837	397814	0.00037177366486649107
chr10_p	chr17_p	0.0	396928	0.011535501189500037
chr10_p	chr17_q	0.0	399586	0.0
chr10_p	chr18_p	0.6202305314205676	395156	0.003183441110935134
chr10_p	chr19_p	0.0	384524	0.0077058844636161165
chr10_p	chr19_q	0.0	404902	0.0
chr10_p	chr1_p	0.016516286625021935	388068	0.0017348405892488442
chr10_p	chr1_q	0.0	394270	0.01884988943542986
chr10_p	chr20_p	0.0	401358	0.003259389979430754
chr10_p	chr20_q	0.0	362374	0.0
chr10_p	chr21_p	0.0	102776	0.0010930885009114055
chr10_p	chr21_q	0.0	397814	0.030226810456826216
chr10_p	chr22_p	0.0	197578	0.0
chr10_p	chr22_q	0.0	398700	0.0
chr10_p	chr2_q	0.0	398700	0.0
chr10_p	chr3_q	0.04864897296372862	386296	0.004355300731733757
chr10_p	chr4_p	0.0	396928	0.0
chr10_p	chr4_q	0.0	316302	0.007904344146890981
chr10_p	chr5_q	0.0	396042	0.0
chr10_p	chr6_p	0.0	369462	0.003086037358248115
chr10_p	chr6_q	0.0	389840	0.0
chr10_p	chr7_p	0.009815628101286063	388068	0.0007333463167330121
chr10_p	chr7_q	0.0	395156	0.0
chr10_p	chr8_p	0.0	405788	0.0006167079472235767
chr10_p	chr9_p	0.0	396928	0.0
chr10_p	chr9_q	0.16958000295458606	398700	0.00234752634437995
chr10_p	chrX_p	0.0	289722	0.0050108777442902375
chr10_p	chrX_q	3.4889930911828625e-05	292380	0.0
chr10_p	chrY_p	8.202473255471584e-07	81512	0.0
chr10_p	chrY_q	3.503048521556309e-05	89486	0.0019686177217987603
chr10_q	chr11_p	0.011171509141156267	319872	0.0
chr10_q	chr12_p	0.0034294100679921127	324156	0.0003317365994967539
chr10_q	chr12_q	0.006588982987406221	320586	0.0002894458223887856
chr10_q	chr13_p	0.005909345201238288	54264	0.0008798939443252862
chr10_q	chr13_q	0.0666476805350244	320586	0.0004669557836520507
chr10_q	chr14_p	0.008435415740095112	163506	0.0
chr10_q	chr15_p	0.006342453051809097	84966	0.0
chr10_q	chr15_q	0.004295359947097261	320586	0.007892246049194723
chr10_q	chr16_p	0.01153262484631717	315588	0.004921363082403628
chr10_q	chr16_q	0.04350503328904069	320586	0.005352761883247854
chr10_q	chr17_p	0.005598680272109069	319872	0.0
chr10_q	chr17_q	0.08666402948939901	322014	3.880164264112062e-05
chr10_q	chr18_p	0.02763235764529959	318444	0.00198458240810919
chr10_q	chr19_p	0.031344520840593686	309876	0.00011133360151300176
chr10_q	chr19_q	0.14161928780440652	326298	0.00234365783104673
chr10_q	chr1_p	0.008544477527083589	312732	0.003450725701328071
chr10_q	chr1_q	0.11443449368960822	317730	0.0005705285538632963
chr10_q	chr20_p	0.052593256342711045	323442	0.0
chr10_q	chr20_q	0.011636027189359518	292026	0.0
chr10_q	chr21_p	0.009598214261567789	82824	1.4994692951543654e-05
chr10_q	chr21_q	0.1348447494151442	320586	0.011035190301840903
chr10_q	chr22_p	0.006910004836016568	159222	0.0
chr10_q	chr22_q	0.14134426895113064	321300	0.0
chr10_q	chr2_q	0.0689184934391496	321300	0.022704301905692448
chr10_q	chr3_q	0.008904612513812887	311304	0.004902958333975039
chr10_q	chr4_p	0.023508199279703552	319872	0.0
chr10_q	chr4_q	0.5829893632433217	254898	0.011399280368239895
chr10_q	chr5_q	0.034262871994436714	319158	0.002380857626234954
chr10_q	chr6_p	0.013592839664402612	297738	0.0
chr10_q	chr6_q	0.03588883234020859	314160	0.004306256704004561
chr10_q	chr7_p	0.03902036300090443	312732	0.0030848165194121793
chr10_q	chr7_q	0.007610960570771856	318444	0.0
chr10_q	chr8_p	0.03524539687840174	327012	0.0004079396407841057
