chrom_arm	ordering	position	chrom_arm_label	community	ordering_source
chr10_q	community_order	1	10q	C1	Community order: C1-C15, tree order within each community
chr4_q	community_order	2	4q	C1	Community order: C1-C15, tree order within each community
chr10_p	community_order	3	10p	C2	Community order: C1-C15, tree order within each community
chr18_p	community_order	4	18p	C2	Community order: C1-C15, tree order within each community
chr19_p	community_order	5	19p	C3	Community order: C1-C15, tree order within each community
chr3_q	community_order	6	3q	C3	Community order: C1-C15, tree order within each community
chr11_p	community_order	7	11p	C3	Community order: C1-C15, tree order within each community
chr16_q	community_order	8	16q	C3	Community order: C1-C15, tree order within each community
chr7_p	community_order	9	7p	C3	Community order: C1-C15, tree order within each community
chr9_q	community_order	10	9q	C3	Community order: C1-C15, tree order within each community
chr12_q	community_order	11	12q	C4	Community order: C1-C15, tree order within each community
chr7_q	community_order	12	7q	C4	Community order: C1-C15, tree order within each community
chr20_q	community_order	13	20q	C5	Community order: C1-C15, tree order within each community
chr6_p	community_order	14	6p	C5	Community order: C1-C15, tree order within each community
chr12_p	community_order	15	12p	C5	Community order: C1-C15, tree order within each community
chr9_p	community_order	16	9p	C5	Community order: C1-C15, tree order within each community
chr21_q	community_order	17	21q	C6	Community order: C1-C15, tree order within each community
chr22_q	community_order	18	22q	C6	Community order: C1-C15, tree order within each community
chr19_q	community_order	19	19q	C6	Community order: C1-C15, tree order within each community
chr1_q	community_order	20	1q	C6	Community order: C1-C15, tree order within each community
chr13_q	community_order	21	13q	C6	Community order: C1-C15, tree order within each community
chr17_q	community_order	22	17q	C6	Community order: C1-C15, tree order within each community
chr15_p	community_order	23	15p	C7	Community order: C1-C15, tree order within each community
chr22_p	community_order	24	22p	C7	Community order: C1-C15, tree order within each community
chr14_p	community_order	25	14p	C7	Community order: C1-C15, tree order within each community
chr21_p	community_order	26	21p	C7	Community order: C1-C15, tree order within each community
chr13_p	community_order	27	13p	C7	Community order: C1-C15, tree order within each community
chr15_q	community_order	28	15q	C8	Community order: C1-C15, tree order within each community
chr16_p	community_order	29	16p	C9	Community order: C1-C15, tree order within each community
chr17_p	community_order	30	17p	C10	Community order: C1-C15, tree order within each community
chr5_q	community_order	31	5q	C11	Community order: C1-C15, tree order within each community
chr6_q	community_order	32	6q	C11	Community order: C1-C15, tree order within each community
chr8_p	community_order	33	8p	C11	Community order: C1-C15, tree order within each community
chr1_p	community_order	34	1p	C11	Community order: C1-C15, tree order within each community
chr2_q	community_order	35	2q	C12	Community order: C1-C15, tree order within each community
chr20_p	community_order	36	20p	C12	Community order: C1-C15, tree order within each community
chr4_p	community_order	37	4p	C13	Community order: C1-C15, tree order within each community
chrX_q	community_order	38	Xq	C14	Community order: C1-C15, tree order within each community
chrY_q	community_order	39	Yq	C14	Community order: C1-C15, tree order within each community
chrX_p	community_order	40	Xp	C15	Community order: C1-C15, tree order within each community
chrY_p	community_order	41	Yp	C15	Community order: C1-C15, tree order within each community
chr2_p	community_order	42	2p	NO_SIGNAL_ARM	Community order: C1-C15, tree order within each community
chr3_p	community_order	43	3p	NO_SIGNAL_ARM	Community order: C1-C15, tree order within each community
chr5_p	community_order	44	5p	NO_SIGNAL_ARM	Community order: C1-C15, tree order within each community
chr8_q	community_order	45	8q	NO_SIGNAL_ARM	Community order: C1-C15, tree order within each community
chr11_q	community_order	46	11q	NO_SIGNAL_ARM	Community order: C1-C15, tree order within each community
chr14_q	community_order	47	14q	NO_SIGNAL_ARM	Community order: C1-C15, tree order within each community
chr18_q	community_order	48	18q	NO_SIGNAL_ARM	Community order: C1-C15, tree order within each community
chr17_p	nj_order	1	17p	C10	NJ Newick tip order from paper_prep/figures/nj_tree_arms/nj_tree.newick
chr19_p	nj_order	2	19p	C3	NJ Newick tip order from paper_prep/figures/nj_tree_arms/nj_tree.newick
