event_id	pair	transmission	query_name	query_arm	query_sample	query_haplotype	query_haplotype_label	query_source_window_native_0based_half_open	local_query_start_0based	local_query_end_0based_exclusive	native_query_start_0based	native_query_end_0based_exclusive	native_query_interval_0based_half_open	segment_length_bp	target_name	target_arm	target_sample	target_haplotype	target_haplotype_label	target_source_window_native_0based_half_open	target_local_interval_0based_if_recovered	target_native_interval_0based_half_open_if_recovered	target_interval_recovery	raw_strict_paf_row_count	raw_strict_paf_query_coverage_check	strand	identity	jaccard	nb	interchromosomal	event_role	query_community	target_community	community_status	patch_pattern_annotation	overlaps_phr	has_phr	geometry_source	target_coordinate_source	annotation_source
PAR1_XY_positive_control	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chrX.paternal:12265-512264_chrX_parm	chrXp	PAN027	2	paternal	chrX:12265-512265	0	4374	12265	16639	chrX:12265-16639	4374	PAN011#1#chrX.haplotype1:3251-503250_chrX_parm	chrXp	PAN011	PAN011#1	haplotype1	chrX:3251-503251	1559-5948	chrX:4810-9199	direct_sweepga_1to1_noscaffold_paf	1	0-4374	+	92.5893	0.888578	direct_1to1	0	same-chromosome context	not_available	not_available	not_available	not_available	not_available	not_available	direct sweepGA filtered PAF; filter_id=one_one_noscaffold; --num-mappings 1:1 --scaffold-jump 0	paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap1.one_one_noscaffold.paf.gz	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv for optional community/PHR labels by event_id,target_arm,event_role only; geometry is direct PAF-native
PAR1_XY_positive_control	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chrX.paternal:12265-512264_chrX_parm	chrXp	PAN027	2	paternal	chrX:12265-512265	0	144130	12265	156395	chrX:12265-156395	144130	PAN011#2#chrY.haplotype2:5839-505838_chrY_parm	chrYp	PAN011	PAN011#2	haplotype2	chrY:5839-505839	0-144096	chrY:5839-149935	direct_sweepga_1to1_noscaffold_paf	1	0-144130	+	99.9064	0.998738	direct_1to1	1	PAR positive control	not_available	not_available	not_available	not_available	not_available	not_available	direct sweepGA filtered PAF; filter_id=one_one_noscaffold; --num-mappings 1:1 --scaffold-jump 0	paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap2.one_one_noscaffold.paf.gz	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv for optional community/PHR labels by event_id,target_arm,event_role only; geometry is direct PAF-native
PAR1_XY_positive_control	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chrX.paternal:12265-512264_chrX_parm	chrXp	PAN027	2	paternal	chrX:12265-512265	4543	8915	16808	21180	chrX:16808-21180	4372	PAN011#1#chrX.haplotype1:3251-503250_chrX_parm	chrXp	PAN011	PAN011#1	haplotype1	chrX:3251-503251	6441-10790	chrX:9692-14041	direct_sweepga_1to1_noscaffold_paf	1	4543-8915	+	96.2028	0.942316	direct_1to1	0	same-chromosome context	not_available	not_available	not_available	not_available	not_available	not_available	direct sweepGA filtered PAF; filter_id=one_one_noscaffold; --num-mappings 1:1 --scaffold-jump 0	paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap1.one_one_noscaffold.paf.gz	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv for optional community/PHR labels by event_id,target_arm,event_role only; geometry is direct PAF-native
PAR1_XY_positive_control	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chrX.paternal:12265-512264_chrX_parm	chrXp	PAN027	2	paternal	chrX:12265-512265	8544	10548	20809	22813	chrX:20809-22813	2004	PAN011#1#chrX.haplotype1:3251-503250_chrX_parm	chrXp	PAN011	PAN011#1	haplotype1	chrX:3251-503251	9770-11821	chrX:13021-15072	direct_sweepga_1to1_noscaffold_paf	1	8544-10548	+	92.985	0.901078	direct_1to1	0	same-chromosome context	not_available	not_available	not_available	not_available	not_available	not_available	direct sweepGA filtered PAF; filter_id=one_one_noscaffold; --num-mappings 1:1 --scaffold-jump 0	paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap1.one_one_noscaffold.paf.gz	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv for optional community/PHR labels by event_id,target_arm,event_role only; geometry is direct PAF-native
PAR1_XY_positive_control	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chrX.paternal:12265-512264_chrX_parm	chrXp	PAN027	2	paternal	chrX:12265-512265	10543	24921	22808	37186	chrX:22808-37186	14378	PAN011#1#chrX.haplotype1:3251-503250_chrX_parm	chrXp	PAN011	PAN011#1	haplotype1	chrX:3251-503251	12570-26948	chrX:15821-30199	direct_sweepga_1to1_noscaffold_paf	1	10543-24921	+	95.0108	0.908922	direct_1to1	0	same-chromosome context	not_available	not_available	not_available	not_available	not_available	not_available	direct sweepGA filtered PAF; filter_id=one_one_noscaffold; --num-mappings 1:1 --scaffold-jump 0	paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap1.one_one_noscaffold.paf.gz	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv for optional community/PHR labels by event_id,target_arm,event_role only; geometry is direct PAF-native
PAR1_XY_positive_control	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chrX.paternal:12265-512264_chrX_parm	chrXp	PAN027	2	paternal	chrX:12265-512265	17971	28295	30236	40560	chrX:30236-40560	10324	PAN011#1#chrX.haplotype1:3251-503250_chrX_parm	chrXp	PAN011	PAN011#1	haplotype1	chrX:3251-503251	18046-28370	chrX:21297-31621	direct_sweepga_1to1_noscaffold_paf	1	17971-28295	+	94.4552	0.89954	direct_1to1	0	same-chromosome context	not_available	not_available	not_available	not_available	not_available	not_available	direct sweepGA filtered PAF; filter_id=one_one_noscaffold; --num-mappings 1:1 --scaffold-jump 0	paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap1.one_one_noscaffold.paf.gz	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv for optional community/PHR labels by event_id,target_arm,event_role only; geometry is direct PAF-native
PAR1_XY_positive_control	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chrX.paternal:12265-512264_chrX_parm	chrXp	PAN027	2	paternal	chrX:12265-512265	28224	37950	40489	50215	chrX:40489-50215	9726	PAN011#1#chrX.haplotype1:3251-503250_chrX_parm	chrXp	PAN011	PAN011#1	haplotype1	chrX:3251-503251	27207-36926	chrX:30458-40177	direct_sweepga_1to1_noscaffold_paf	1	28224-37950	+	98.5956	0.978732	direct_1to1	0	same-chromosome context	not_available	not_available	not_available	not_available	not_available	not_available	direct sweepGA filtered PAF; filter_id=one_one_noscaffold; --num-mappings 1:1 --scaffold-jump 0	paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap1.one_one_noscaffold.paf.gz	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv for optional community/PHR labels by event_id,target_arm,event_role only; geometry is direct PAF-native
PAR1_XY_positive_control	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chrX.paternal:12265-512264_chrX_parm	chrXp	PAN027	2	paternal	chrX:12265-512265	37234	48341	49499	60606	chrX:49499-60606	11107	PAN011#1#chrX.haplotype1:3251-503250_chrX_parm	chrXp	PAN011	PAN011#1	haplotype1	chrX:3251-503251	36595-47726	chrX:39846-50977	direct_sweepga_1to1_noscaffold_paf	1	37234-48341	+	97.8263	0.967616	direct_1to1	0	same-chromosome context	not_available	not_available	not_available	not_available	not_available	not_available	direct sweepGA filtered PAF; filter_id=one_one_noscaffold; --num-mappings 1:1 --scaffold-jump 0	paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap1.one_one_noscaffold.paf.gz	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv for optional community/PHR labels by event_id,target_arm,event_role only; geometry is direct PAF-native
PAR1_XY_positive_control	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chrX.paternal:12265-512264_chrX_parm	chrXp	PAN027	2	paternal	chrX:12265-512265	57366	61118	69631	73383	chrX:69631-73383	3752	PAN011#1#chrX.haplotype1:3251-503250_chrX_parm	chrXp	PAN011	PAN011#1	haplotype1	chrX:3251-503251	46228-49974	chrX:49479-53225	direct_sweepga_1to1_noscaffold_paf	1	57366-61118	+	97.311	0.95108	direct_1to1	0	same-chromosome context	not_available	not_available	not_available	not_available	not_available	not_available	direct sweepGA filtered PAF; filter_id=one_one_noscaffold; --num-mappings 1:1 --scaffold-jump 0	paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap1.one_one_noscaffold.paf.gz	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv for optional community/PHR labels by event_id,target_arm,event_role only; geometry is direct PAF-native
PAR1_XY_positive_control	PAN027_vs_PAN011	PAN027 paternal hap2 <- PAN011 father	PAN027#2#chrX.paternal:12265-512264_chrX_parm	chrXp	PAN027	2	paternal	chrX:12265-512265	59213	64484	71478	76749	chrX:71478-76749	5271	PAN011#1#chrX.haplotype1:3251-503250_chrX_parm	chrXp	PAN011	PAN011#1	haplotype1	chrX:3251-503251	51411-56595	chrX:54662-59846	direct_sweepga_1to1_noscaffold_paf	1	59213-64484	+	93.6523	0.906803	direct_1to1	0	same-chromosome context	not_available	not_available	not_available	not_available	not_available	not_available	direct sweepGA filtered PAF; filter_id=one_one_noscaffold; --num-mappings 1:1 --scaffold-jump 0	paper_prep/_brainstorming/pedigree_direct_sweepga_concordance/filtered_paf/PAN027pat_vs_PAN011_hap1.one_one_noscaffold.paf.gz	paper_prep/_brainstorming/fig5_synteny_recombination_schematic/selected_segments.tsv for optional community/PHR labels by event_id,target_arm,event_role only; geometry is direct PAF-native
