run_id	query_chrom	query_start	query_end	target_chrom	donor_haplotype	donor_seq	donor_start	donor_end	bp	windows	mean_identity	category
chrX_homolog_run0020	chrX	990000	2434000	chrX	h1	PAN011#joint#h1_chrX	952184	2396248	1444000	722	0.999911	homologous_same_chrom
chr14_homolog_run0074	chr14	7394000	8628000	chr14	h1	PAN011#joint#h1_chr14	7308104	8542219	1234000	617	0.999892	homologous_same_chrom
chr14_homolog_run0009	chr14	1192000	2332000	chr14	h1	PAN011#joint#h1_chr14	1196299	2336230	1140000	570	0.999091	homologous_same_chrom
chrX_homolog_run2664	chrX	90362000	91204000	chrX	h1	PAN011#joint#h1_chrX	90324450	91166450	842000	421	1.000000	homologous_same_chrom
chrX_homolog_run2642	chrX	88164000	88962000	chrX	h1	PAN011#joint#h1_chrX	88126447	88924449	798000	399	0.999999	homologous_same_chrom
chr21_homolog_run0046	chr21	544000	1276000	chr21	h1	PAN011#joint#h1_chr21	545799	1277799	732000	366	0.999999	homologous_same_chrom
chr22_homolog_run0079	chr22	7568000	8254000	chr22	h2	PAN011#joint#h2_chr22	8374437	9060441	686000	343	0.999997	homologous_same_chrom
chr21_homolog_run0122	chr21	6348000	6992000	chr21	h2	PAN011#joint#h2_chr21	7233282	7877232	644000	322	0.998936	homologous_same_chrom
chr13_homolog_run0006	chr13	702000	1342000	chr13	h2	PAN011#joint#h2_chr13	702294	1342292	640000	320	0.999997	homologous_same_chrom
chr21_homolog_run0116	chr21	5154000	5776000	chr21	h1	PAN011#joint#h1_chr21	5038166	5660168	622000	311	0.999997	homologous_same_chrom
chr15_homolog_run0016	chr15	3684000	4242000	chr15	h2	PAN011#joint#h2_chr15	3677326	4235326	558000	279	1.000000	homologous_same_chrom
chrX_homolog_run2634	chrX	87254000	87794000	chrX	h1	PAN011#joint#h1_chrX	87216448	87756446	540000	270	0.999998	homologous_same_chrom
chr18_homolog_run0315	chr18	14144000	14664000	chr18	h1	PAN011#joint#h1_chr18	14148000	14667975	520000	260	0.998081	homologous_same_chrom
chr14_homolog_run0077	chr14	8760000	9268000	chr14	h1	PAN011#joint#h1_chr14	8674114	9182115	508000	254	0.999999	homologous_same_chrom
chr15_homolog_run0034	chr15	9504000	9998000	chr15	h2	PAN011#joint#h2_chr15	9497335	9991335	494000	247	1.000000	homologous_same_chrom
chr22_homolog_run0087	chr22	9470000	9954000	chr22	h2	PAN011#joint#h2_chr22	10276439	10760439	484000	242	1.000000	homologous_same_chrom
chr22_homolog_run0084	chr22	8928000	9380000	chr22	h2	PAN011#joint#h2_chr22	9734441	10186440	452000	226	0.999997	homologous_same_chrom
chr22_homolog_run0047	chr22	4024000	4470000	chr22	h2	PAN011#joint#h2_chr22	4830420	5276424	446000	223	0.999989	homologous_same_chrom
chrX_homolog_run2658	chrX	89808000	90254000	chrX	h1	PAN011#joint#h1_chrX	89770449	90216448	446000	223	0.999999	homologous_same_chrom
chrX_homolog_run0019	chrX	558000	988000	chrX	h1	PAN011#joint#h1_chrX	516841	946886	430000	215	0.999876	homologous_same_chrom
chr21_homolog_run0148	chr21	10398000	10816000	chr21	h1	PAN011#joint#h1_chr21	10273429	10691424	418000	209	0.999977	homologous_same_chrom
chr15_homolog_run0027	chr15	6024000	6428000	chr15	h2	PAN011#joint#h2_chr15	6017330	6421333	404000	202	0.999994	homologous_same_chrom
chrX_homolog_run0018	chrX	154000	556000	chrX	h1	PAN011#joint#h1_chrX	112884	514841	402000	201	0.999748	homologous_same_chrom
chr14_homolog_run0038	chr14	3766000	4166000	chr14	h1	PAN011#joint#h1_chr14	3680089	4080092	400000	200	0.999991	homologous_same_chrom
chr13_homolog_run0181	chr13	10798000	11186000	chr13	h2	PAN011#joint#h2_chr13	11298711	11686710	388000	194	0.999999	homologous_same_chrom
chr15_homolog_run0025	chr15	5608000	5986000	chr15	h2	PAN011#joint#h2_chr15	5601327	5979331	378000	189	0.999995	homologous_same_chrom
chr16_homolog_run1013	chr16	73524000	73872000	chr16	h2	PAN011#joint#h2_chr16	73525414	73873420	348000	174	0.999991	homologous_same_chrom
chr15_homolog_run0007	chr15	1064000	1406000	chr15	h2	PAN011#joint#h2_chr15	1057324	1399324	342000	171	0.999974	homologous_same_chrom
chr15_homolog_run0015	chr15	3300000	3642000	chr15	h2	PAN011#joint#h2_chr15	3293326	3635326	342000	171	1.000000	homologous_same_chrom
chr15_homolog_run0049	chr15	11562000	11904000	chr15	h2	PAN011#joint#h2_chr15	11555335	11897334	342000	171	0.999999	homologous_same_chrom
chr15_homolog_run0012	chr15	2244000	2578000	chr15	h2	PAN011#joint#h2_chr15	2237325	2571326	334000	167	0.999984	homologous_same_chrom
chrX_homolog_run4558	chrX	153754000	154088000	chrX	h1	PAN011#joint#h1_chrX	153716644	154050639	334000	167	0.999978	homologous_same_chrom
chr21_homolog_run0105	chr21	3176000	3502000	chr21	h1	PAN011#joint#h1_chr21	3060159	3386162	326000	163	0.999995	homologous_same_chrom
chr21_homolog_run0110	chr21	4202000	4512000	chr21	h1	PAN011#joint#h1_chr21	4086165	4396165	310000	155	1.000000	homologous_same_chrom
chr14_homolog_run0052	chr14	5258000	5564000	chr14	h1	PAN011#joint#h1_chr14	5172106	5478107	306000	153	0.999998	homologous_same_chrom
chr7_homolog_run1534	chr7	78286000	78584000	chr7	h2	PAN011#joint#h2_chr7	78534407	78832406	298000	149	0.999998	homologous_same_chrom
chr22_homolog_run0083	chr22	8596000	8888000	chr22	h2	PAN011#joint#h2_chr22	9402441	9694441	292000	146	0.999997	homologous_same_chrom
chr13_homolog_run0002	chr13	208000	486000	chr13	h2	PAN011#joint#h2_chr13	208290	486290	278000	139	1.000000	homologous_same_chrom
chr15_homolog_run0035	chr15	10622000	10892000	chr15	h2	PAN011#joint#h2_chr15	10615335	10885335	270000	135	0.999996	homologous_same_chrom
chr14_homolog_run0039	chr14	4312000	4580000	chr14	h1	PAN011#joint#h1_chr14	4226097	4494102	268000	134	0.999979	homologous_same_chrom
chrX_homolog_run2637	chrX	87810000	88076000	chrX	h1	PAN011#joint#h1_chrX	87772446	88038446	266000	133	1.000000	homologous_same_chrom
chr2_homolog_run2634	chr2	133910000	134172000	chr2	h2	PAN011#joint#h2_chr2	133958093	134220095	262000	131	0.999992	homologous_same_chrom
chr21_homolog_run0108	chr21	3728000	3990000	chr21	h1	PAN011#joint#h1_chr21	3612162	3874165	262000	131	0.999990	homologous_same_chrom
chr2_homolog_run1743	chr2	90042000	90302000	chr2	h2	PAN011#joint#h2_chr2	90091947	90351951	260000	130	0.999981	homologous_same_chrom
chr2_homolog_run1731	chr2	89464000	89722000	chr2	h2	PAN011#joint#h2_chr2	89513936	89771942	258000	129	0.999985	homologous_same_chrom
chr22_homolog_run0089	chr22	12150000	12406000	chr22	h2	PAN011#joint#h2_chr22	12960638	13216638	256000	128	0.999984	homologous_same_chrom
chr13_homolog_run0111	chr13	5932000	6180000	chr13	h1	PAN011#joint#h1_chr13	7149150	7397217	248000	124	0.998294	homologous_same_chrom
