gene_name,total_copies,arms,chromosomes,communities,gene_biotype
DUX4,18,"chr10q,chr11q,chr13q,chr16q,chr17q,chr18q,chr19q,chr1q,chr20q,chr21q,chr22q,chr2q,chr4q,chr5q,chr6q,chr7q,chr8q,chr9q","chr1,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr2,chr20,chr21,chr22,chr4,chr5,chr6,chr7,chr8,chr9",20,protein_coding
FRG2,18,"chr10q,chr11q,chr13q,chr16q,chr17q,chr18q,chr19q,chr1q,chr20q,chr21q,chr22q,chr2q,chr4q,chr5q,chr6q,chr7q,chr8q,chr9q","chr1,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr2,chr20,chr21,chr22,chr4,chr5,chr6,chr7,chr8,chr9",20,protein_coding
FRG2B,18,"chr10q,chr11q,chr13q,chr16q,chr17q,chr18q,chr19q,chr1q,chr20q,chr21q,chr22q,chr2q,chr4q,chr5q,chr6q,chr7q,chr8q,chr9q","chr1,chr10,chr11,chr13,chr16,chr17,chr18,chr19,chr2,chr20,chr21,chr22,chr4,chr5,chr6,chr7,chr8,chr9",4,protein_coding
GTPBP6,2,"chrXp,chrYp","chrX,chrY",28,protein_coding
IL9R,16,"chr11q,chr12q,chr15q,chr16q,chr19q,chr1q,chr20q,chr2q,chr3q,chr5q,chr6q,chr7q,chr8q,chr9q,chrXq,chrYq","chr1,chr11,chr12,chr15,chr16,chr19,chr2,chr20,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY",29,protein_coding
IL9RP1,20,"chr10q,chr11q,chr13q,chr15q,chr16q,chr17q,chr18q,chr19q,chr1q,chr20q,chr21q,chr22q,chr2q,chr3q,chr4q,chr5q,chr6q,chr7q,chr8q,chr9q","chr1,chr10,chr11,chr13,chr15,chr16,chr17,chr18,chr19,chr2,chr20,chr21,chr22,chr3,chr4,chr5,chr6,chr7,chr8,chr9",27,pseudogene
IL9RP3,16,"chr11p,chr12p,chr15p,chr16p,chr19p,chr1p,chr20p,chr2p,chr3p,chr5p,chr6p,chr7p,chr8p,chr9p,chrXp,chrYp","chr1,chr11,chr12,chr15,chr16,chr19,chr2,chr20,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY",8,pseudogene
IL9RP4,6,"chr10p,chr16p,chr18p,chr3p,chr4p,chr9p","chr10,chr16,chr18,chr3,chr4,chr9",12,pseudogene
IQSEC3,16,"chr11p,chr12p,chr15p,chr16p,chr19p,chr1p,chr20p,chr2p,chr3p,chr5p,chr6p,chr7p,chr8p,chr9p,chrXp,chrYp","chr1,chr11,chr12,chr15,chr16,chr19,chr2,chr20,chr3,chr5,chr6,chr7,chr8,chr9,chrX,chrY",6,protein_coding
LOC101928344,20,"chr10p,chr11p,chr12p,chr15p,chr16p,chr17p,chr19p,chr1p,chr20p,chr21p,chr2p,chr3p,chr4p,chr5p,chr6p,chr7p,chr8p,chr9p,chrXp,chrYp","chr1,chr10,chr11,chr12,chr15,chr16,chr17,chr19,chr2,chr20,chr21,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chrX,chrY",13,lncRNA
LOC101928626,14,"chr11p,chr15p,chr16p,chr17p,chr19p,chr1p,chr20p,chr2p,chr3p,chr5p,chr6p,chr7p,chr8p,chr9p","chr1,chr11,chr15,chr16,chr17,chr19,chr2,chr20,chr3,chr5,chr6,chr7,chr8,chr9",1,lncRNA
