paf_path	run_label	comparison_id	parameter_set	target_chrom	rows	total_rows
/moosefs/erikg/phrs/.wg-worktrees/agent-2630/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95/raw_paf/current_v0.24.2/PAN027mat_vs_PAN010_joint.literal_p95.wfmash-v0.24.2.paf.gz	current_v0.24.2	PAN027mat_vs_PAN010_joint	literal_p95	chr1	5420	66634
/moosefs/erikg/phrs/.wg-worktrees/agent-2630/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95/raw_paf/current_v0.24.2/PAN027mat_vs_PAN010_joint.literal_p95.wfmash-v0.24.2.paf.gz	current_v0.24.2	PAN027mat_vs_PAN010_joint	literal_p95	chr10	2974	66634
/moosefs/erikg/phrs/.wg-worktrees/agent-2630/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95/raw_paf/current_v0.24.2/PAN027mat_vs_PAN010_joint.literal_p95.wfmash-v0.24.2.paf.gz	current_v0.24.2	PAN027mat_vs_PAN010_joint	literal_p95	chr11	2983	66634
/moosefs/erikg/phrs/.wg-worktrees/agent-2630/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95/raw_paf/current_v0.24.2/PAN027mat_vs_PAN010_joint.literal_p95.wfmash-v0.24.2.paf.gz	current_v0.24.2	PAN027mat_vs_PAN010_joint	literal_p95	chr12	2985	66634
/moosefs/erikg/phrs/.wg-worktrees/agent-2630/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95/raw_paf/current_v0.24.2/PAN027mat_vs_PAN010_joint.literal_p95.wfmash-v0.24.2.paf.gz	current_v0.24.2	PAN027mat_vs_PAN010_joint	literal_p95	chr13	2380	66634
/moosefs/erikg/phrs/.wg-worktrees/agent-2630/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95/raw_paf/current_v0.24.2/PAN027mat_vs_PAN010_joint.literal_p95.wfmash-v0.24.2.paf.gz	current_v0.24.2	PAN027mat_vs_PAN010_joint	literal_p95	chr14	2184	66634
/moosefs/erikg/phrs/.wg-worktrees/agent-2630/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95/raw_paf/current_v0.24.2/PAN027mat_vs_PAN010_joint.literal_p95.wfmash-v0.24.2.paf.gz	current_v0.24.2	PAN027mat_vs_PAN010_joint	literal_p95	chr15	2149	66634
/moosefs/erikg/phrs/.wg-worktrees/agent-2630/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95/raw_paf/current_v0.24.2/PAN027mat_vs_PAN010_joint.literal_p95.wfmash-v0.24.2.paf.gz	current_v0.24.2	PAN027mat_vs_PAN010_joint	literal_p95	chr16	2042	66634
/moosefs/erikg/phrs/.wg-worktrees/agent-2630/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95/raw_paf/current_v0.24.2/PAN027mat_vs_PAN010_joint.literal_p95.wfmash-v0.24.2.paf.gz	current_v0.24.2	PAN027mat_vs_PAN010_joint	literal_p95	chr17	1863	66634
/moosefs/erikg/phrs/.wg-worktrees/agent-2630/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95/raw_paf/current_v0.24.2/PAN027mat_vs_PAN010_joint.literal_p95.wfmash-v0.24.2.paf.gz	current_v0.24.2	PAN027mat_vs_PAN010_joint	literal_p95	chr18	1789	66634
/moosefs/erikg/phrs/.wg-worktrees/agent-2630/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95/raw_paf/current_v0.24.2/PAN027mat_vs_PAN010_joint.literal_p95.wfmash-v0.24.2.paf.gz	current_v0.24.2	PAN027mat_vs_PAN010_joint	literal_p95	chr19	1423	66634
/moosefs/erikg/phrs/.wg-worktrees/agent-2630/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95/raw_paf/current_v0.24.2/PAN027mat_vs_PAN010_joint.literal_p95.wfmash-v0.24.2.paf.gz	current_v0.24.2	PAN027mat_vs_PAN010_joint	literal_p95	chr2	5394	66634
/moosefs/erikg/phrs/.wg-worktrees/agent-2630/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95/raw_paf/current_v0.24.2/PAN027mat_vs_PAN010_joint.literal_p95.wfmash-v0.24.2.paf.gz	current_v0.24.2	PAN027mat_vs_PAN010_joint	literal_p95	chr20	1456	66634
/moosefs/erikg/phrs/.wg-worktrees/agent-2630/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95/raw_paf/current_v0.24.2/PAN027mat_vs_PAN010_joint.literal_p95.wfmash-v0.24.2.paf.gz	current_v0.24.2	PAN027mat_vs_PAN010_joint	literal_p95	chr21	937	66634
/moosefs/erikg/phrs/.wg-worktrees/agent-2630/paper_prep/_brainstorming/pedigree_whole_genome_wfmash_p95/raw_paf/current_v0.24.2/PAN027mat_vs_PAN010_joint.literal_p95.wfmash-v0.24.2.paf.gz	current_v0.24.2	PAN027mat_vs_PAN010_joint	literal_p95	chr22	1062	66634
