seq_a	seq_b	chr_a	arm_a	chr_b	arm_b	size_a	size_b	jaccard	hic_contact_raw	hic_contact_norm	hic_bins
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr11_parm:10588-4000000:1-370000	chr10	chr10_p	chr11	chr11_p	3489999	369999	0.0814945	0.09167453494610475	2.6192724270315644e-05	3500
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr11_qarm:128708645-132696509:3940001-3985000	chr10	chr10_p	chr11	chr11_q	3489999	44999	0.0	0.0017746249073474416	3.3802379187570314e-06	525
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr12_parm:8657-4000000:1-2525000	chr10	chr10_p	chr12	chr12_p	3489999	2524999	0.637824	3.9123736189512277	0.00017603480850174254	22225
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr13_parm:10860-4000000:1-1735000	chr10	chr10_p	chr13	chr13_p	3489999	1734999	0.472052	1.145436041844018	7.437896375610506e-05	15400
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr14_parm:13379-4000000:1-3985000	chr10	chr10_p	chr14	chr14_p	3489999	3984999	0.760253	3.9914366869270594	0.00011404104819791598	35000
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr15_parm:17595-4000000:1-3980000	chr10	chr10_p	chr15	chr15_p	3489999	3979999	0.744024	3.8429052605309915	0.00010979729315802832	35000
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr16_parm:1696-4000000:1-3745000	chr10	chr10_p	chr16	chr16_p	3489999	3744999	0.781791	3.7827869315599063	0.00011497832618723119	32900
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr17_parm:8464-4000000:1-3150000	chr10	chr10_p	chr17	chr17_p	3489999	3149999	0.773405	2.5468502438031932	9.211031623158023e-05	27650
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr18_parm:19167-4000000:1-35000	chr10	chr10_p	chr18	chr18_p	3489999	34999	0.00338904	0.01005088971539055	1.9144551838839142e-05	525
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr19_parm:9560-4000000:1-3990000	chr10	chr10_p	chr19	chr19_p	3489999	3989999	0.725168	3.3994780709641965	9.712794488469133e-05	35000
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr19_qarm:63670322-67659854:3945001-3985000	chr10	chr10_p	chr19	chr19_q	3489999	39999	0.0	9.215371737536691e-05	1.755308902387941e-07	525
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr1_parm:16698-4000000:1-3980000	chr10	chr10_p	chr1	chr1_p	3489999	3979999	0.722966	3.4751578380895296	9.929022394541513e-05	35000
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr2_parm:9287-4000000:1-3990000	chr10	chr10_p	chr2	chr2_p	3489999	3989999	0.744185	1.6476789292304745	4.707654083515642e-05	35000
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr3_parm:5869-4000000:1-3990000	chr10	chr10_p	chr3	chr3_p	3489999	3989999	0.745037	4.215387406460225	0.00012043964018457787	35000
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr4_parm:16557-4000000:1-15000	chr10	chr10_p	chr4	chr4_p	3489999	14999	0.00289279	0.027291657418580115	7.797616405308604e-05	350
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr5_parm:26102-4000000:1-2700000	chr10	chr10_p	chr5	chr5_p	3489999	2699999	0.685838	1.0366835077204182	4.355813057648816e-05	23800
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr6_parm:21150-4000000:1-3975000	chr10	chr10_p	chr6	chr6_p	3489999	3974999	0.750725	3.8443352218107782	0.00011039009969305896	34825
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr7_parm:8361-4000000:1-10000	chr10	chr10_p	chr7	chr7_p	3489999	9999	0.0	0.0021974694996079024	1.2556968569188013e-05	175
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr8_parm:5823-4000000:1-2055000	chr10	chr10_p	chr8	chr8_p	3489999	2054999	0.572481	3.3069131616306553	0.00018169852536432173	18200
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr8_qarm:129128322-133120042:3905001-3990000	chr10	chr10_p	chr8	chr8_q	3489999	84999	0.0	0.0001897965669178294	2.1691036219180504e-07	875
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr9_parm:13986-4000000:1-3985000	chr10	chr10_p	chr9	chr9_p	3489999	3984999	0.741282	4.0316799199077415	0.0001151908548545069	35000
B6#1#chr10_parm:8494-4000000:1-3490000	B6#1#chr9_qarm:136591383-140585766:3965001-3990000	chr10	chr10_p	chr9	chr9_q	3489999	24999	0.00149755	0.03921646474896959	7.469802809327541e-05	525
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr11_parm:12996-4000000:1-3980000	chr10	chr10_p	chr11	chr11_p	3489999	3979999	0.7309	1.365955969416413	6.244370145903602e-05	21875
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr11_qarm:125137265-129126137:3945001-3985000	chr10	chr10_p	chr11	chr11_q	3489999	39999	0.0	0.005417188869902979	1.031845499029139e-05	525
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr12_parm:11631-4000000:1-3985000	chr10	chr10_p	chr12	chr12_p	3489999	3984999	0.749566	1.043163247260457	5.1387352081795916e-05	20300
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr13_parm:10968-4000000:1-3985000	chr10	chr10_p	chr13	chr13_p	3489999	3984999	0.716007	0.8067765768556693	4.5645067997491895e-05	17675
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr14_parm:7628-4000000:1-3990000	chr10	chr10_p	chr14	chr14_p	3489999	3989999	0.734086	0.7230808744707065	4.695330353705886e-05	15400
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr15_parm:11173-4000000:1-3985000	chr10	chr10_p	chr15	chr15_p	3489999	3984999	0.749044	0.8440542744509951	4.019306068814263e-05	21000
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr16_parm:3490-4000000:1-3960000	chr10	chr10_p	chr16	chr16_p	3489999	3959999	0.737322	0.7125039460078867	4.071451120045067e-05	17500
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr17_parm:7806-4000000:1-1885000	chr10	chr10_p	chr17	chr17_p	3489999	1884999	0.461991	0.8550644190665248	7.292660290546053e-05	11725
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr17_qarm:107525135-111518985:3980001-3990000	chr10	chr10_p	chr17	chr17_q	3489999	9999	0.0	0.0011411992926754686	6.521138815288392e-06	175
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr18_parm:13226-4000000:1-1440000	chr10	chr10_p	chr18	chr18_p	3489999	1439999	0.314587	0.13877553609558563	4.664723902372626e-05	2975
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr19_parm:14156-4000000:1-3255000	chr10	chr10_p	chr19	chr19_p	3489999	3254999	0.758854	1.2765062221613903	4.996110458557301e-05	25550
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr19_qarm:67075252-71067746:3950001-3990000	chr10	chr10_p	chr19	chr19_q	3489999	39999	0.0	0.001815499115657742	3.4580935536337943e-06	525
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr1_parm:5322-4000000:1-3990000	chr10	chr10_p	chr1	chr1_p	3489999	3989999	0.721012	1.2565824373396242	4.986438243411207e-05	25200
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr2_parm:15760-4000000:1-3980000	chr10	chr10_p	chr2	chr2_p	3489999	3979999	0.723676	1.1028984622044598	5.340912649900532e-05	20650
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr3_parm:11948-4000000:1-3985000	chr10	chr10_p	chr3	chr3_p	3489999	3984999	0.708963	0.6859113127041023	4.214508833819369e-05	16275
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr4_parm:10930-4000000:1-1125000	chr10	chr10_p	chr4	chr4_p	3489999	1124999	0.248038	0.11001740617693388	6.286708924396222e-05	1750
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr5_parm:9477-4000000:1-3990000	chr10	chr10_p	chr5	chr5_p	3489999	3989999	0.723377	0.8652794486786958	4.2624603383186985e-05	20300
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr6_parm:8870-4000000:1-3440000	chr10	chr10_p	chr6	chr6_p	3489999	3439999	0.746918	0.6538839651607491	3.8520410318748105e-05	16975
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr7_parm:21638-4000000:1-1575000	chr10	chr10_p	chr7	chr7_p	3489999	1574999	0.342765	0.31074577669154446	0.00011837934350154074	2625
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr8_parm:15503-4000000:1-1450000	chr10	chr10_p	chr8	chr8_p	3489999	1449999	0.322613	0.302935978188859	5.969181836233675e-05	5075
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr8_qarm:135012418-139004057:3970001-3990000	chr10	chr10_p	chr8	chr8_q	3489999	19999	0.0	0.0030256154711720464	8.644615631920133e-06	350
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chr9_parm:14431-4000000:1-2325000	chr10	chr10_p	chr9	chr9_p	3489999	2324999	0.466806	1.4319180112457848	0.00012784982243265936	11200
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chrX_parm:12739-4000000:1-1845000	chr10	chr10_p	chrX	chrX_p	3489999	1844999	0.437028	0.8557708543874543	0.00010866931484285133	7875
B6#1#chr10_parm:8494-4000000:1-3490000	CAST#2#chrX_qarm:175480850-179471175:3975001-3990000	chr10	chr10_p	chrX	chrX_q	3489999	14999	0.0	0.003983959504484442	1.138274144138412e-05	350
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr11_parm:10588-4000000:1-370000	chr10	chr10_q	chr11	chr11_p	19999	369999	0.0	0.005376451006328602	0.00013441127515821503	40
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr11_qarm:128708645-132696509:3940001-3985000	chr10	chr10_q	chr11	chr11_q	19999	44999	0.0	0.0036624094301650452	0.0006104015716941742	6
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr12_parm:8657-4000000:1-2525000	chr10	chr10_q	chr12	chr12_p	19999	2524999	0.0	0.005017008740375034	1.9752002914862338e-05	254
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr13_parm:10860-4000000:1-1735000	chr10	chr10_q	chr13	chr13_p	19999	1734999	0.0	0.004003128002745575	2.2745045470145315e-05	176
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr14_parm:13379-4000000:1-3985000	chr10	chr10_q	chr14	chr14_p	19999	3984999	0.0	0.003629149538530148	9.07287384632537e-06	400
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr15_parm:17595-4000000:1-3980000	chr10	chr10_q	chr15	chr15_p	19999	3979999	0.0	0.006602259113256186	1.6505647783140465e-05	400
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr16_parm:1696-4000000:1-3745000	chr10	chr10_q	chr16	chr16_p	19999	3744999	0.0	0.001423367675882952	3.7855523294759364e-06	376
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr17_parm:8464-4000000:1-3150000	chr10	chr10_q	chr17	chr17_p	19999	3149999	0.0	0.00315391788177512	9.980752790427595e-06	316
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr18_parm:19167-4000000:1-35000	chr10	chr10_q	chr18	chr18_p	19999	34999	0.0	0.006351636095164439	0.0010586060158607397	6
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr19_parm:9560-4000000:1-3990000	chr10	chr10_q	chr19	chr19_p	19999	3989999	0.0	0.002612145902469035	6.530364756172588e-06	400
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr19_qarm:63670322-67659854:3945001-3985000	chr10	chr10_q	chr19	chr19_q	19999	39999	0.0	0.00029756298370805644	4.959383061800941e-05	6
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr1_parm:16698-4000000:1-3980000	chr10	chr10_q	chr1	chr1_p	19999	3979999	0.0	0.007799359897582268	1.9498399743955668e-05	400
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr2_parm:9287-4000000:1-3990000	chr10	chr10_q	chr2	chr2_p	19999	3989999	0.0	0.002435000340085813	6.087500850214532e-06	400
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr3_parm:5869-4000000:1-3990000	chr10	chr10_q	chr3	chr3_p	19999	3989999	0.0	0.0014179746252792238	3.5449365631980595e-06	400
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr4_parm:16557-4000000:1-15000	chr10	chr10_q	chr4	chr4_p	19999	14999	0.0	0.005643599247940306	0.0014108998119850766	4
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr5_parm:26102-4000000:1-2700000	chr10	chr10_q	chr5	chr5_p	19999	2699999	0.0	0.0014204114186266129	5.222100803774312e-06	272
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr6_parm:21150-4000000:1-3975000	chr10	chr10_q	chr6	chr6_p	19999	3974999	0.0	0.0004895194970117594	1.2299484849541695e-06	398
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr7_parm:8361-4000000:1-10000	chr10	chr10_q	chr7	chr7_p	19999	9999	0.0	0.003085602667230939	0.0015428013336154696	2
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr8_parm:5823-4000000:1-2055000	chr10	chr10_q	chr8	chr8_p	19999	2054999	0.0	0.005587771304666941	2.6864285118591062e-05	208
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr8_qarm:129128322-133120042:3905001-3990000	chr10	chr10_q	chr8	chr8_q	19999	84999	0.0673443	0.0037591306822793856	0.00037591306822793856	10
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr9_parm:13986-4000000:1-3985000	chr10	chr10_q	chr9	chr9_p	19999	3984999	0.0	0.0038470505085245266	9.617626271311316e-06	400
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	B6#1#chr9_qarm:136591383-140585766:3965001-3990000	chr10	chr10_q	chr9	chr9_q	19999	24999	0.0	0.0025408578850513895	0.00042347631417523156	6
B6#1#chr10_qarm:133126214-137106573:3960001-3980000	CAST#2#chr11_parm:12996-4000000:1-3980000	chr10	chr10_q	chr11	chr11_p	19999	3979999	0.0	0.004953604304136243	1.981441721654497e-05	250
