schema_version	analysis_layer	assignment	analysis_role	collection	relation	ontology	namespace	term_id	term_name	support_status	primary_support	sensitivity_support	p_exact_upper	bh_q_within_collection	by_q_within_collection	holm_p_global	bonferroni_p_global	term_phr_burden_a_T	community	community_order	community_contributor_copy_burden	community_fraction_of_a_T	dominant_community_flag	dominance_threshold	contributing_arms	functional_source_ids_json	functional_source_symbols_json	gene_names_json	coordinate_copy_count	copy_ids_json	summary_role
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	PRIMARY_MIDPOINT	GO_BP	ancestor	GO	biological_process	GO:0000910	cytokinesis	PRIMARY_SUPPORTED	1	0	9.3692640525171534e-18	4.084360313439353e-15	4.2636299195818942e-14	2.9190879082022444e-13	2.9264896268037326e-13	21	C3	5	12	0.5714285714285714	1	0.5	chr11_p|chr16_q|chr19_p|chr3_q|chr7_p|chr9_q	"[""NCBIGene:346288""]"	"[""SEPTIN14""]"	"[""SEPTIN14P11"",""SEPTIN14P13"",""SEPTIN14P16"",""SEPTIN14P18"",""SEPTIN14P19"",""SEPTIN14P22"",""SEPTIN14P3""]"	12	"[""CHM13v2.0|chr11:145023-147605|+|SEPTIN14P22_10"",""CHM13v2.0|chr11:145023-147605|-|SEPTIN14P11"",""CHM13v2.0|chr16:96265822-96268407|+|SEPTIN14P16"",""CHM13v2.0|chr16:96265822-96268407|-|SEPTIN14P22_9"",""CHM13v2.0|chr19:140030-142614|+|SEPTIN14P22_2"",""CHM13v2.0|chr19:140030-142614|-|SEPTIN14P19"",""CHM13v2.0|chr3:200959893-200962477|+|SEPTIN14P3"",""CHM13v2.0|chr3:200959893-200962477|-|SEPTIN14P22_6"",""CHM13v2.0|chr7:56811-59390|+|SEPTIN14P22_11"",""CHM13v2.0|chr7:56811-59390|-|SEPTIN14P18"",""CHM13v2.0|chr9:150558546-150558923|+|SEPTIN14P13_1"",""CHM13v2.0|chr9:150558546-150561131|-|SEPTIN14P22_3""]"	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	PRIMARY_MIDPOINT	GO_BP	ancestor	GO	biological_process	GO:0000910	cytokinesis	PRIMARY_SUPPORTED	1	0	9.3692640525171534e-18	4.084360313439353e-15	4.2636299195818942e-14	2.9190879082022444e-13	2.9264896268037326e-13	21	C5	13	1	0.047619047619047616	0	0.5	chr20_q	"[""NCBIGene:346288""]"	"[""SEPTIN14""]"	"[""SEPTIN14P22""]"	1	"[""CHM13v2.0|chr20:66115355-66117943|-|SEPTIN14P22_13""]"	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	PRIMARY_MIDPOINT	GO_BP	ancestor	GO	biological_process	GO:0000910	cytokinesis	PRIMARY_SUPPORTED	1	0	9.3692640525171534e-18	4.084360313439353e-15	4.2636299195818942e-14	2.9190879082022444e-13	2.9264896268037326e-13	21	C7	23	2	0.095238095238095233	0	0.5	chr21_p	"[""NCBIGene:112574""]"	"[""SNX18""]"	"[""SNX18P15"",""SNX18P16""]"	2	"[""CHM13v2.0|chr21:295588-295983|+|SNX18P16_3"",""CHM13v2.0|chr21:327400-328352|+|SNX18P15_2""]"	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	PRIMARY_MIDPOINT	GO_BP	ancestor	GO	biological_process	GO:0000910	cytokinesis	PRIMARY_SUPPORTED	1	0	9.3692640525171534e-18	4.084360313439353e-15	4.2636299195818942e-14	2.9190879082022444e-13	2.9264896268037326e-13	21	C11	31	4	0.19047619047619047	0	0.5	chr1_p|chr5_q	"[""NCBIGene:346288""]"	"[""SEPTIN14""]"	"[""SEPTIN14P13"",""SEPTIN14P22"",""SEPTIN14P5""]"	4	"[""CHM13v2.0|chr1:144134-146717|+|SEPTIN14P22_5"",""CHM13v2.0|chr1:146340-146717|-|SEPTIN14P13"",""CHM13v2.0|chr5:181897110-181899694|+|SEPTIN14P5"",""CHM13v2.0|chr5:181897110-181899694|-|SEPTIN14P22_7""]"	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	PRIMARY_MIDPOINT	GO_BP	ancestor	GO	biological_process	GO:0000910	cytokinesis	PRIMARY_SUPPORTED	1	0	9.3692640525171534e-18	4.084360313439353e-15	4.2636299195818942e-14	2.9190879082022444e-13	2.9264896268037326e-13	21	C12	35	2	0.095238095238095233	0	0.5	chr2_q	"[""NCBIGene:346288""]"	"[""SEPTIN14""]"	"[""SEPTIN14P2"",""SEPTIN14P22""]"	2	"[""CHM13v2.0|chr2:242631950-242634517|+|SEPTIN14P2"",""CHM13v2.0|chr2:242631950-242634517|-|SEPTIN14P22_16""]"	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	PRIMARY_MIDPOINT	GO_BP	ancestor	GO	biological_process	GO:0006260	DNA replication	PRIMARY_SUPPORTED	1	0	1.0730504218016544e-07	1.9235682374371527e-05	0.00020079969591586409	0.0033312850344832364	0.0033516729924974674	10	C3	5	3	0.29999999999999999	0	0.5	chr11_p|chr19_p|chr3_q	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L1"",""DDX11L17"",""DDX11L8""]"	3	"[""CHM13v2.0|chr11:3434-5924|+|DDX11L17"",""CHM13v2.0|chr19:4460-6999|+|DDX11L1"",""CHM13v2.0|chr3:201097274-201099490|-|DDX11L8_1""]"	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	PRIMARY_MIDPOINT	GO_BP	ancestor	GO	biological_process	GO:0006260	DNA replication	PRIMARY_SUPPORTED	1	0	1.0730504218016544e-07	1.9235682374371527e-05	0.00020079969591586409	0.0033312850344832364	0.0033516729924974674	10	C5	13	3	0.29999999999999999	0	0.5	chr12_p|chr20_q|chr9_p	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L5"",""DDX11L8""]"	3	"[""CHM13v2.0|chr12:5295-7527|+|DDX11L8"",""CHM13v2.0|chr20:66202741-66205279|-|DDX11L5_1"",""CHM13v2.0|chr9:5788-8326|+|DDX11L5""]"	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	PRIMARY_MIDPOINT	GO_BP	ancestor	GO	biological_process	GO:0006260	DNA replication	PRIMARY_SUPPORTED	1	0	1.0730504218016544e-07	1.9235682374371527e-05	0.00020079969591586409	0.0033312850344832364	0.0033516729924974674	10	C8	28	1	0.10000000000000001	0	0.5	chr15_q	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L9""]"	1	"[""CHM13v2.0|chr15:99745854-99748389|-|DDX11L9""]"	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	PRIMARY_MIDPOINT	GO_BP	ancestor	GO	biological_process	GO:0006260	DNA replication	PRIMARY_SUPPORTED	1	0	1.0730504218016544e-07	1.9235682374371527e-05	0.00020079969591586409	0.0033312850344832364	0.0033516729924974674	10	C9	29	1	0.10000000000000001	0	0.5	chr16_p	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L10""]"	1	"[""CHM13v2.0|chr16:4481-7016|+|DDX11L10""]"	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	PRIMARY_MIDPOINT	GO_BP	ancestor	GO	biological_process	GO:0006260	DNA replication	PRIMARY_SUPPORTED	1	0	1.0730504218016544e-07	1.9235682374371527e-05	0.00020079969591586409	0.0033312850344832364	0.0033516729924974674	10	C12	35	1	0.10000000000000001	0	0.5	chr20_p	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L9""]"	1	"[""CHM13v2.0|chr20:72708-75239|+|DDX11L9_1""]"	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	PRIMARY_MIDPOINT	GO_BP	ancestor	GO	biological_process	GO:0006260	DNA replication	PRIMARY_SUPPORTED	1	0	1.0730504218016544e-07	1.9235682374371527e-05	0.00020079969591586409	0.0033312850344832364	0.0033516729924974674	10	C14	38	1	0.10000000000000001	0	0.5	chrX_q	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L16""]"	1	"[""CHM13v2.0|chrX:154252395-154254921|-|DDX11L16""]"	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	PRIMARY_MIDPOINT	GO_BP	ancestor	GO	biological_process	GO:0006261	DNA-templated DNA replication	PRIMARY_SUPPORTED	1	0	1.750978858209041e-08	3.2607306290589916e-06	3.4038497103224396e-05	0.00054374897462823558	0.00054691824636159396	10	C3	5	3	0.29999999999999999	0	0.5	chr11_p|chr19_p|chr3_q	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L1"",""DDX11L17"",""DDX11L8""]"	3	"[""CHM13v2.0|chr11:3434-5924|+|DDX11L17"",""CHM13v2.0|chr19:4460-6999|+|DDX11L1"",""CHM13v2.0|chr3:201097274-201099490|-|DDX11L8_1""]"	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	PRIMARY_MIDPOINT	GO_BP	ancestor	GO	biological_process	GO:0006261	DNA-templated DNA replication	PRIMARY_SUPPORTED	1	0	1.750978858209041e-08	3.2607306290589916e-06	3.4038497103224396e-05	0.00054374897462823558	0.00054691824636159396	10	C5	13	3	0.29999999999999999	0	0.5	chr12_p|chr20_q|chr9_p	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L5"",""DDX11L8""]"	3	"[""CHM13v2.0|chr12:5295-7527|+|DDX11L8"",""CHM13v2.0|chr20:66202741-66205279|-|DDX11L5_1"",""CHM13v2.0|chr9:5788-8326|+|DDX11L5""]"	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	PRIMARY_MIDPOINT	GO_BP	ancestor	GO	biological_process	GO:0006261	DNA-templated DNA replication	PRIMARY_SUPPORTED	1	0	1.750978858209041e-08	3.2607306290589916e-06	3.4038497103224396e-05	0.00054374897462823558	0.00054691824636159396	10	C8	28	1	0.10000000000000001	0	0.5	chr15_q	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L9""]"	1	"[""CHM13v2.0|chr15:99745854-99748389|-|DDX11L9""]"	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	PRIMARY_MIDPOINT	GO_BP	ancestor	GO	biological_process	GO:0006261	DNA-templated DNA replication	PRIMARY_SUPPORTED	1	0	1.750978858209041e-08	3.2607306290589916e-06	3.4038497103224396e-05	0.00054374897462823558	0.00054691824636159396	10	C9	29	1	0.10000000000000001	0	0.5	chr16_p	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L10""]"	1	"[""CHM13v2.0|chr16:4481-7016|+|DDX11L10""]"	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	PRIMARY_MIDPOINT	GO_BP	ancestor	GO	biological_process	GO:0006261	DNA-templated DNA replication	PRIMARY_SUPPORTED	1	0	1.750978858209041e-08	3.2607306290589916e-06	3.4038497103224396e-05	0.00054374897462823558	0.00054691824636159396	10	C12	35	1	0.10000000000000001	0	0.5	chr20_p	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L9""]"	1	"[""CHM13v2.0|chr20:72708-75239|+|DDX11L9_1""]"	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
chm13-physical-copy-ontology-v7-community-attribution-v1.0	HEADLINE_PRIMARY_MIDPOINT	midpoint	PRIMARY_MIDPOINT	GO_BP	ancestor	GO	biological_process	GO:0006261	DNA-templated DNA replication	PRIMARY_SUPPORTED	1	0	1.750978858209041e-08	3.2607306290589916e-06	3.4038497103224396e-05	0.00054374897462823558	0.00054691824636159396	10	C14	38	1	0.10000000000000001	0	0.5	chrX_q	"[""NCBIGene:1663""]"	"[""DDX11""]"	"[""DDX11L16""]"	1	"[""CHM13v2.0|chrX:154252395-154254921|-|DDX11L16""]"	POST_INFERENCE_DISPLAY_ONLY_NOT_A_HYPOTHESIS_OR_TEST
