run_id	query_chrom	query_start	query_end	target_chrom	donor_haplotype	donor_seq	donor_start	donor_end	bp	query_span_bp	donor_span_bp	windows	mean_identity	category
chr22_homolog_run0109	chr22	9882000	12784000	chr22	h2	PAN010#joint#h2_chr22	9871107	12773106	2902000	2902000	2901999	1451	1.000000	homologous_same_chrom
chr14_homolog_run0276	chr14	9292000	10066000	chr14	h1	PAN010#joint#h1_chr14	12041460	12815460	774000	774000	774000	387	0.999999	homologous_same_chrom
chr21_homolog_run0056	chr21	7150000	7814000	chr21	h1	PAN010#joint#h1_chr21	7150961	7814962	664000	664000	664001	332	0.999999	homologous_same_chrom
chr22_homolog_run0102	chr22	8516000	9114000	chr22	h2	PAN010#joint#h2_chr22	8505108	9103107	598000	598000	597999	299	0.999996	homologous_same_chrom
chr21_homolog_run0034	chr21	5490000	6050000	chr21	h1	PAN010#joint#h1_chr21	5490959	6050959	560000	560000	560000	280	0.999996	homologous_same_chrom
chr21_homolog_run0018	chr21	3552000	4098000	chr21	h1	PAN010#joint#h1_chr21	3552958	4098958	546000	546000	546000	273	1.000000	homologous_same_chrom
chr21_homolog_run0020	chr21	4226000	4770000	chr21	h1	PAN010#joint#h1_chr21	4226958	4770958	544000	544000	544000	272	1.000000	homologous_same_chrom
chr14_homolog_run0102	chr14	4808000	5342000	chr14	h2	PAN010#joint#h2_chr14	5339951	5873877	534000	534000	533926	267	0.999777	homologous_same_chrom
chr13_homolog_run0068	chr13	5972000	6500000	chr13	h1	PAN010#joint#h1_chr13	6442153	6970157	528000	528000	528004	264	0.999996	homologous_same_chrom
chr14_homolog_run0006	chr14	964000	1394000	chr14	h2	PAN010#joint#h2_chr14	961281	1391281	430000	430000	430000	215	0.999998	homologous_same_chrom
chr18_homolog_run0344	chr18	14232000	14650000	chr18	h1	PAN010#joint#h1_chr18	14228399	14646466	418000	418000	418067	209	0.997486	homologous_same_chrom
chr14_homolog_run0001	chr14	4000	414000	chr14	h2	PAN010#joint#h2_chr14	1316	411280	410000	410000	409964	205	0.999941	homologous_same_chrom
chr21_homolog_run0039	chr21	6476000	6880000	chr21	h1	PAN010#joint#h1_chr21	6476959	6880961	404000	404000	404002	202	0.999998	homologous_same_chrom
chr14_homolog_run0098	chr14	3828000	4226000	chr14	h2	PAN010#joint#h2_chr14	4359854	4757860	398000	398000	398006	199	0.999992	homologous_same_chrom
chr22_homolog_run0068	chr22	4348000	4724000	chr22	h2	PAN010#joint#h2_chr22	4337100	4713099	376000	376000	375999	188	0.999999	homologous_same_chrom
chr15_homolog_run0042	chr15	11586000	11958000	chr15	h2	PAN010#joint#h2_chr15	12425372	12797372	372000	372000	372000	186	1.000000	homologous_same_chrom
chr1_homolog_run2849	chr1	147076000	147442000	chr1	h2	PAN010#joint#h2_chr1	147330086	147696085	366000	366000	365999	183	0.999996	homologous_same_chrom
chr21_homolog_run0012	chr21	1982000	2342000	chr21	h1	PAN010#joint#h1_chr21	1982959	2342958	360000	360000	359999	180	0.999990	homologous_same_chrom
chr13_homolog_run0056	chr13	3936000	4282000	chr13	h1	PAN010#joint#h1_chr13	4406150	4752150	346000	346000	346000	173	1.000000	homologous_same_chrom
chr13_homolog_run0033	chr13	2634000	2978000	chr13	h1	PAN010#joint#h1_chr13	2619906	2963889	344000	344000	343983	172	0.999964	homologous_same_chrom
chr14_homolog_run0018	chr14	2552000	2894000	chr14	h2	PAN010#joint#h2_chr14	2555846	2897846	342000	342000	342000	171	1.000000	homologous_same_chrom
chr21_homolog_run0006	chr21	896000	1220000	chr21	h1	PAN010#joint#h1_chr21	896960	1220960	324000	324000	324000	162	1.000000	homologous_same_chrom
chr21_homolog_run0002	chr21	146000	464000	chr21	h1	PAN010#joint#h1_chr21	146960	464960	318000	318000	318000	159	1.000000	homologous_same_chrom
chr13_homolog_run0145	chr13	13500000	13814000	chr13	h1	PAN010#joint#h1_chr13	15647740	15961656	314000	314000	313916	157	0.998738	homologous_same_chrom
chr14_homolog_run0224	chr14	7458000	7772000	chr14	h1	PAN010#joint#h1_chr14	10207456	10521456	314000	314000	314000	157	1.000000	homologous_same_chrom
chr21_homolog_run0007	chr21	1250000	1564000	chr21	h1	PAN010#joint#h1_chr21	1250960	1564960	314000	314000	314000	157	1.000000	homologous_same_chrom
chr22_homolog_run0108	chr22	9544000	9836000	chr22	h2	PAN010#joint#h2_chr22	9533107	9825107	292000	292000	292000	146	0.999997	homologous_same_chrom
chr16_homolog_run1356	chr16	72008000	72294000	chr16	h2	PAN010#joint#h2_chr16	81177109	81463130	286000	286000	286021	143	0.998624	homologous_same_chrom
chr21_homolog_run0032	chr21	5148000	5432000	chr21	h1	PAN010#joint#h1_chr21	5148958	5432959	284000	284000	284001	142	0.999998	homologous_same_chrom
chr22_homolog_run0077	chr22	5518000	5778000	chr22	h2	PAN010#joint#h2_chr22	5507103	5767106	260000	260000	260003	130	0.999994	homologous_same_chrom
chr14_homolog_run0203	chr14	6676000	6932000	chr14	h1	PAN010#joint#h1_chr14	9425454	9681455	256000	256000	256001	128	0.999994	homologous_same_chrom
chr13_homolog_run0014	chr13	484000	738000	chr13	h1	PAN010#joint#h1_chr13	469909	723910	254000	254000	254001	127	0.999998	homologous_same_chrom
chr13_homolog_run0129	chr13	8776000	9030000	chr13	h2	PAN010#joint#h2_chr13	8298867	8552864	254000	254000	253997	127	0.998361	homologous_same_chrom
chr21_homolog_run0015	chr21	2982000	3236000	chr21	h1	PAN010#joint#h1_chr21	2982959	3236960	254000	254000	254001	127	0.999998	homologous_same_chrom
chr22_homolog_run0072	chr22	4894000	5146000	chr22	h2	PAN010#joint#h2_chr22	4883099	5135103	252000	252000	252004	126	0.999992	homologous_same_chrom
chr22_homolog_run0080	chr22	6224000	6476000	chr22	h2	PAN010#joint#h2_chr22	6213106	6465106	252000	252000	252000	126	1.000000	homologous_same_chrom
chr14_homolog_run0010	chr14	2134000	2380000	chr14	h2	PAN010#joint#h2_chr14	2131281	2377280	246000	246000	245999	123	0.999994	homologous_same_chrom
chr13_homolog_run0121	chr13	7948000	8188000	chr13	h2	PAN010#joint#h2_chr13	7471994	7712052	240000	240000	240058	120	0.996476	homologous_same_chrom
chr13_homolog_run0062	chr13	4986000	5224000	chr13	h1	PAN010#joint#h1_chr13	5456150	5694152	238000	238000	238002	119	0.999996	homologous_same_chrom
chr9_homolog_run1097	chr9	48432000	48664000	chr9	h1	PAN010#joint#h1_chr9	48545002	48777003	232000	232000	232001	116	0.999998	homologous_same_chrom
chr22_homolog_run0079	chr22	5990000	6222000	chr22	h2	PAN010#joint#h2_chr22	5979106	6211106	232000	232000	232000	116	1.000000	homologous_same_chrom
chr9_homolog_run2696	chr9	128838000	129068000	chr9	h1	PAN010#joint#h1_chr9	128949728	129179730	230000	230000	230002	115	0.999857	homologous_same_chrom
chr21_homolog_run0013	chr21	2366000	2596000	chr21	h1	PAN010#joint#h1_chr21	2366959	2596959	230000	230000	230000	115	1.000000	homologous_same_chrom
chr22_homolog_run0084	chr22	6726000	6948000	chr22	h2	PAN010#joint#h2_chr22	6715106	6937106	222000	222000	222000	111	1.000000	homologous_same_chrom
chr13_homolog_run0053	chr13	3536000	3756000	chr13	h1	PAN010#joint#h1_chr13	4006150	4226150	220000	220000	220000	110	1.000000	homologous_same_chrom
chr14_homolog_run0104	chr14	5478000	5696000	chr14	h1	PAN010#joint#h1_chr14	8227454	8445454	218000	218000	218000	109	1.000000	homologous_same_chrom
chr1_homolog_run0002	chr1	8000	224000	chr1	h1	PAN010#joint#h1_chr1	1662	217693	216000	216000	216031	108	0.999906	homologous_same_chrom
chr13_homolog_run0123	chr13	8268000	8480000	chr13	h2	PAN010#joint#h2_chr13	7792043	8004047	212000	212000	212004	106	0.999491	homologous_same_chrom
chr20_homolog_run0648	chr20	30042000	30252000	chr20	h1	PAN010#joint#h1_chr20	29986821	30196817	210000	210000	209996	105	0.999990	homologous_same_chrom
chr2_homolog_run1870	chr2	89566000	89774000	chr2	h1	PAN010#joint#h1_chr2	89628381	89836382	208000	208000	208001	104	0.999988	homologous_same_chrom
chr2_homolog_run1883	chr2	90118000	90324000	chr2	h1	PAN010#joint#h1_chr2	90180386	90386386	206000	206000	206000	103	0.999990	homologous_same_chrom
chr21_homolog_run0008	chr21	1620000	1826000	chr21	h1	PAN010#joint#h1_chr21	1620960	1826959	206000	206000	205999	103	0.999998	homologous_same_chrom
chr21_homolog_run0058	chr21	7816000	8020000	chr21	h1	PAN010#joint#h1_chr21	7816962	8020962	204000	204000	204000	102	1.000000	homologous_same_chrom
chr5_homolog_run4861	chr5	183640000	183839754	chr5	h1	PAN010#joint#h1_chr5	183660181	183859926	199754	199754	199745	100	0.999827	homologous_same_chrom
chr15_homolog_run0062	chr15	12664000	12858000	chr15	h2	PAN010#joint#h2_chr15	13503372	13697374	194000	194000	194002	97	0.999995	homologous_same_chrom
chr16_homolog_run0002	chr16	4000	198000	chr16	h1	PAN010#joint#h1_chr16	4037	198062	194000	194000	194025	97	0.999884	homologous_same_chrom
