method_id	evidence_layer	comparison_id	query_chrom	query_arm_side	target_chrom	target_arm	support_class	support_bins	paf_rows	aligned_bp_sum	mean_identity_weighted	mean_match_distance
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr22	internal	chr15	chr15_internal	interchromosomal	168	168	322556	0.996848	0.003152
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr22	internal	chr12	chr12_internal	interchromosomal	2	2	23	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr22	internal	chr21	chr21_internal	interchromosomal	94	94	156441	0.973885	0.026115
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr22	internal	chr13	chr13_internal	interchromosomal	61	61	111086	0.988984	0.011016
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr22	internal	chr14	chr14_internal	interchromosomal	161	161	293135	0.992694	0.007306
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr22	internal	chr16	chr16_internal	interchromosomal	6	6	111	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr22	internal	chr20	chr20_internal	interchromosomal	1	1	16	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr22	internal	chr17	chr17_internal	interchromosomal	2	2	38	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr21	internal	chr15	chr15_internal	interchromosomal	223	223	413322	0.985698	0.014302
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr21	internal	chr22	chr22_internal	interchromosomal	146	146	272324	0.983852	0.016148
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr21	internal	chr14	chr14_internal	interchromosomal	328	328	622837	0.995833	0.004167
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr21	internal	chr13	chr13_internal	interchromosomal	282	282	546352	0.994388	0.005612
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr21	internal	chr18	chr18_internal	interchromosomal	3	3	180	0.994528	0.005472
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr21	internal	chr20	chr20_internal	interchromosomal	1	1	12	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr21	internal	chr12	chr12_internal	interchromosomal	1	1	34	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr20	internal	chr17	chr17_internal	interchromosomal	1	1	134	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr20	internal	chr16	chr16_internal	interchromosomal	1	1	64	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr20	internal	chr14	chr14_internal	interchromosomal	1	1	8	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr19	internal	chr21	chr21_internal	interchromosomal	1	1	1	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr19	internal	chr12	chr12_internal	interchromosomal	1	1	9	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr18	internal	chr15	chr15_internal	interchromosomal	2	2	110	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr18	internal	chr22	chr22_internal	interchromosomal	1	1	26	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr18	internal	chr16	chr16_internal	interchromosomal	3	3	49	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr18	internal	chr21	chr21_internal	interchromosomal	4	4	751	0.993342	0.006658
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr18	internal	chr14	chr14_internal	interchromosomal	1	1	52	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr18	internal	chr12	chr12_internal	interchromosomal	3	3	40	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr18	internal	chr17	chr17_internal	interchromosomal	1	1	4	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr16	internal	chr10	chr10_internal	interchromosomal	1	1	510	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr16	internal	chr20	chr20_internal	interchromosomal	1	1	5	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr15	internal	chr22	chr22_internal	interchromosomal	35	35	52733	0.990503	0.009497
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr15	internal	chr21	chr21_internal	interchromosomal	106	106	184302	0.978774	0.021226
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr15	internal	chr16	chr16_internal	interchromosomal	6	6	191	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr15	internal	chr13	chr13_internal	interchromosomal	156	156	292409	0.996265	0.003735
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr15	internal	chr14	chr14_internal	interchromosomal	95	95	156445	0.987889	0.012111
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr15	internal	chr18	chr18_internal	interchromosomal	4	4	59	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr15	internal	chr20	chr20_internal	interchromosomal	6	6	6596	0.916763	0.083237
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr15	internal	chr19	chr19_internal	interchromosomal	1	1	77	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr15	internal	chr12	chr12_internal	interchromosomal	8	8	649	0.996978	0.003022
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr15	internal	chr11	chr11_internal	interchromosomal	1	1	14	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr15	internal	chr17	chr17_internal	interchromosomal	1	1	14	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr14	internal	chr21	chr21_internal	interchromosomal	278	278	517277	0.983634	0.016366
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr14	internal	chr22	chr22_internal	interchromosomal	240	240	430679	0.974128	0.025872
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr14	internal	chr15	chr15_internal	interchromosomal	212	212	366302	0.980015	0.019985
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr14	internal	chr13	chr13_internal	interchromosomal	87	87	158593	0.987868	0.012132
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr14	internal	chr20	chr20_internal	interchromosomal	1	1	6	1.000000	0.000000
sweepga_fastga_f32	filtered_one_to_one	PAN028mat_vs_PAN027_joint	chr14	internal	chr12	chr12_internal	interchromosomal	6	6	245	1.000000	0.000000
