seq	arm	self_chr	region_start	region_end	chrs_involved	arms_involved
CHM13#0#chr10:134254995-134754994_chr10_qarm	qarm	chr10	470000	500000	chr1,chr2,chr4,chr6,chr7,chr8,chr10,chr13,chr17,chr18,chr19,chr20,chr21,chr22	chr1q,chr2q,chr4q,chr6p,chr6q,chr7p,chr8p,chr10q,chr13q,chr17q,chr18p,chr19q,chr20p,chr21q,chr22q
CHM13#0#chr10:2489-502488_chr10_parm	parm	chr10	0	70000	chr9,chr10,chr16,chr18	chr9q,chr10p,chr18p
CHM13#0#chr11:134625179-135125178_chr11_qarm	qarm	chr11	.	.	.	.
CHM13#0#chr11:1736-501735_chr11_parm	parm	chr11	0	235000	chr1,chr2,chr3,chr5,chr6,chr7,chr8,chr9,chr11,chr12,chr15,chr16,chr17,chr19,chr20	chr1p,chr2q,chr3q,chr5q,chr6p,chr6q,chr7p,chr8p,chr9p,chr9q,chr11p,chr12p,chr15q,chr16p,chr16q,chr17p,chr19p,chr20p,chr20q
CHM13#0#chr12:132822274-133322273_chr12_qarm	qarm	chr12	475000	500000	chr7,chr12	chr7q,chr12q
CHM13#0#chr12:2783-502782_chr12_parm	parm	chr12	0	70000	chr3,chr9,chrX,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chrXq,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
CHM13#0#chr13:113063247-113563246_chr13_qarm	qarm	chr13	490000	500000	chr1,chr4,chr13,chr17,chr19,chr20,chr21,chr22	chr1q,chr4q,chr13q,chr17q,chr19q,chr20p,chr21q,chr22q
CHM13#0#chr14:100660115-101160114_chr14_qarm	qarm	chr14	.	.	.	.
CHM13#0#chr14:2075-502074_chr14_parm	parm	chr14	0	260000	chr13,chr14,chr15,chr21,chr22	chr13p,chr14p,chr15p,chr21p,chr22p
CHM13#0#chr15:3258-503257_chr15_parm	parm	chr15	0	355000	chr4,chr13,chr14,chr15,chr21,chr22	chr4p,chr13p,chr14p,chr15p,chr21p,chr22p
CHM13#0#chr15:99250359-99750358_chr15_qarm	qarm	chr15	380000	500000	chr1,chr3,chr5,chr6,chr8,chr9,chrX,chr11,chr12,chr15,chr16,chr19,chr20	chr1p,chr3q,chr5q,chr6p,chr6q,chr8p,chr9p,chr9q,chrXq,chr11p,chr12p,chr15q,chr16p,chr19p,chr20p,chr20q
CHM13#0#chr16:2168-502167_chr16_parm	parm	chr16	0	25000	chr3,chr9,chrX,chr12,chr15,chr16,chr19,chr20	chr3q,chr9p,chr9q,chrXq,chr12p,chr15q,chr16p,chr19p,chr20q
