schema_version	cohort	genome_coordinate_copy_cn	genome_ontology_eligible_copy_cn	midpoint_phr_coordinate_copy_cn	midpoint_phr_ontology_eligible_copy_cn	midpoint_nonphr_ontology_eligible_copy_cn	overlap_phr_coordinate_copy_cn	overlap_phr_ontology_eligible_copy_cn	overlap_nonphr_ontology_eligible_copy_cn	functional_source_count	functional_source_ids	largest_single_source_coordinate_copy_cn	forbidden_source_collapsed_genome_count	coordinate_copy_units_minus_source_count	all_coordinate_copy_cn_equal_one	coordinate_copy_semantics_status	audit_role	status
chm13-physical-copy-ontology-v7.0	DUX4_DUX4L	107	73	68	65	8	68	65	8	1	NCBIGene:100288687	73	1	72	1	PASS	POST_INFERENCE_NAMED_COHORT_COPY_SEMANTICS_NOT_HYPOTHESIS	PASS
chm13-physical-copy-ontology-v7.0	DDX11L	12	11	10	10	1	10	10	1	1	NCBIGene:1663	11	1	10	1	PASS	POST_INFERENCE_NAMED_COHORT_COPY_SEMANTICS_NOT_HYPOTHESIS	PASS
chm13-physical-copy-ontology-v7.0	TUBB8	16	6	7	2	4	7	2	4	2	NCBIGene:260334|NCBIGene:347688	5	2	4	1	PASS	POST_INFERENCE_NAMED_COHORT_COPY_SEMANTICS_NOT_HYPOTHESIS	PASS
chm13-physical-copy-ontology-v7.0	OR4F	15	6	11	4	2	11	4	2	6	NCBIGene:26683|NCBIGene:390648|NCBIGene:390649|NCBIGene:729759|NCBIGene:79501|NCBIGene:81099	1	6	0	1	PASS	POST_INFERENCE_NAMED_COHORT_COPY_SEMANTICS_NOT_HYPOTHESIS	PASS
chm13-physical-copy-ontology-v7.0	WASH	18	15	9	9	6	9	9	6	6	NCBIGene:100287171|NCBIGene:23325|NCBIGene:253725|NCBIGene:387680|NCBIGene:51019|NCBIGene:9897	10	6	9	1	PASS	POST_INFERENCE_NAMED_COHORT_COPY_SEMANTICS_NOT_HYPOTHESIS	PASS
chm13-physical-copy-ontology-v7.0	RPL23A	94	93	11	11	82	13	13	80	1	NCBIGene:6147	93	1	92	1	PASS	POST_INFERENCE_NAMED_COHORT_COPY_SEMANTICS_NOT_HYPOTHESIS	PASS
