	chr1_MATERNAL_p	chr1_MATERNAL_q	chr1_PATERNAL_q	chr1_PATERNAL_p	chr2_MATERNAL_q	chr2_PATERNAL_q	chr3_MATERNAL_q	chr3_PATERNAL_q	chr4_MATERNAL_p	chr4_MATERNAL_q	chr4_PATERNAL_q	chr4_PATERNAL_p	chr5_MATERNAL_q	chr5_PATERNAL_q	chr6_MATERNAL_p	chr6_MATERNAL_q	chr6_PATERNAL_q	chr6_PATERNAL_p	chr7_MATERNAL_q	chr7_MATERNAL_p	chr7_PATERNAL_q	chr7_PATERNAL_p	chr8_MATERNAL_p	chr8_PATERNAL_p	chr9_MATERNAL_q	chr9_MATERNAL_p	chr9_PATERNAL_q	chr9_PATERNAL_p	chr10_MATERNAL_q	chr10_MATERNAL_p	chr10_PATERNAL_q	chr10_PATERNAL_p	chr11_MATERNAL_p	chr11_PATERNAL_p	chr12_MATERNAL_q	chr12_MATERNAL_p	chr12_PATERNAL_q	chr12_PATERNAL_p	chr13_MATERNAL_q	chr13_MATERNAL_p	chr13_PATERNAL_q	chr13_PATERNAL_p	chr14_MATERNAL_p	chr14_PATERNAL_p	chr15_MATERNAL_q	chr15_MATERNAL_p	chr15_PATERNAL_p	chr15_PATERNAL_q	chr16_MATERNAL_p	chr16_MATERNAL_q	chr16_PATERNAL_p	chr16_PATERNAL_q	chr17_MATERNAL_p	chr17_MATERNAL_q	chr17_PATERNAL_p	chr17_PATERNAL_q	chr18_MATERNAL_p	chr18_PATERNAL_p	chr19_MATERNAL_p	chr19_MATERNAL_q	chr19_PATERNAL_p	chr19_PATERNAL_q	chr20_MATERNAL_p	chr20_PATERNAL_p	chr20_PATERNAL_q	chr21_MATERNAL_p	chr21_MATERNAL_q	chr21_PATERNAL_q	chr21_PATERNAL_p	chr22_MATERNAL_p	chr22_MATERNAL_q	chr22_PATERNAL_q	chr22_PATERNAL_p	chrX_MATERNAL_q	chrX_MATERNAL_p	chrY_PATERNAL_p	chrY_PATERNAL_q
chr1_MATERNAL_p	0.0	0.0	0.0	0.11089602476972987	0.0	0.0035240438276637315	0.021528856015037547	0.0014368985339682672	0.0	0.0	0.0022122938115398186	0.0	0.036455247828409275	0.06914275481608916	0.013927985834202166	0.022251962648815463	0.022547181576804888	0.0	0.0	0.001795102011063022	0.0	0.0037652283310318515	0.0030064387155200904	0.013867383896090558	0.02187655723826289	0.0	0.023801798643179824	0.0	0.0	0.0	0.0	0.0	0.03251888580327608	0.01059120995226936	0.0	0.002470135060736552	0.0	0.0030845882291654454	0.0	0.0009956201229636636	0.0	0.0	0.0	0.0	0.001498307521484894	0.0	0.0	0.0021024595524176304	0.0005416102230561765	0.009046134615619646	0.001877982251892035	0.0	0.0	0.005425542136774586	0.0	0.0025518110985277703	0.0	0.0	0.004738721812722116	0.0	0.0100261355250636	0.0009079659238647359	0.0068165630076410175	0.018629629897103917	0.0024240909695345623	0.0	0.0	0.0	0.0	0.0	0.0012981366106465026	0.003727164908929844	0.0	0.0	0.0	0.0	0.0028977143638163126
chr1_MATERNAL_q	0.0	0.0	0.027887573206618586	0.0	0.0	0.001469353563036475	0.001330839976086068	0.0	0.0	0.0012033763795346569	0.0	0.0	0.0	0.0	0.0	0.0009153524314862266	0.0	0.006197913602737085	0.0	0.0009774490130780196	0.012984705305908947	0.0	0.0	0.0	0.0	0.0	0.00010267688508313492	0.0	0.0	0.018516477014034922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006495879110228145	0.0	0.0	0.0	0.0	0.0	0.0008759544767418978	0.0	0.000474840536096973	0.00031037737367080196	0.0	0.0004879842368047493	0.001901949483486268	0.011387922371502508	0.0	0.006156060083784865	0.0	0.00605342708978921	0.0	0.0015777275399489828	0.0	0.005332676790243066	0.0	0.0014913089043171813	0.0053726433601320725	0.009603324386021251	0.0	0.0	0.0026097081117612804	0.0	0.0006654869525368491	0.0	0.004707943097124904	0.006878863429916424	0.0	0.00025808922500000645	0.0005945611303904324	0.0005572117176337139	0.00070040048731788
chr1_PATERNAL_q	0.0	0.027887573206618586	0.0	0.0	0.002048087595619703	0.0009025228510423326	0.0031006237855734833	0.0018635378773222712	0.0031267220104259567	0.006285372184432601	0.0	0.0038385223486294084	0.0	0.001822722607403642	0.0	0.0	0.0	0.0017991873720557806	0.0	0.001298194897334401	0.0	0.0	0.0	0.0	0.0	0.002347665212206017	0.00028097071716136384	0.0005881519000342206	0.002439005441823425	0.0	0.0	0.0034724271016421363	0.0	0.0	0.0	0.0	0.0	0.012996812899772149	0.0	0.0	0.012743544266817326	0.0	0.000648628221969594	0.0007884106613890409	0.0	0.0	0.0	0.001515061168294116	0.006095664879818513	0.0	0.00036418762736189104	0.0	0.0	0.0	0.0020681453513671077	0.0	0.0	0.0004972699468022185	0.0	0.0013439872968774237	0.001590084154594763	0.003613864625003773	0.00467886100437419	0.0055754826777367405	0.0	0.0	0.007029853864453517	0.013126876036364915	0.00044273898792028727	0.0	0.0	0.017885360918818195	0.0	0.0015630237711503094	0.0	0.0	0.0
chr1_PATERNAL_p	0.11089602476972987	0.0	0.0	0.0	0.007114283245312321	0.014971678596931508	0.012896199922623782	0.006531019570834578	0.0	0.004468480825652792	0.0	0.0	0.037917097375971376	0.029227859060554664	0.0	0.016540672289926017	0.011184661537143963	0.0	0.0	0.0012859449648497927	0.0	0.012910245766745829	0.026993108925355055	0.02276275679272393	0.017178160134937757	0.0	0.0022340589266370585	0.0	0.0027354986035350495	0.0	0.005791454476012054	0.00471157134555132	0.013875364645600978	0.0038990783950714034	0.0	0.004692360210120677	0.0	0.004393238834745932	0.0	0.0014227598579689886	0.0	0.0	0.0	0.0	0.001764589676062935	0.0	0.0	0.0007195680594377475	0.0014571334007863882	0.0059544971762006986	0.0060512753833221015	0.005965335155496407	0.008004566592114588	0.0004640784118555516	0.0	0.0	0.0	0.0	0.017209281126570223	0.0	0.0062844826604363455	0.0018643444148676482	0.006160989089550194	0.01427238651925236	0.003586011190467575	0.0	0.0	0.004082498541001304	0.0	0.0	0.0	0.0014332566712677954	0.0	0.0	0.00045503625646993695	0.0	0.0
chr2_MATERNAL_q	0.0	0.0	0.002048087595619703	0.007114283245312321	0.0	0.18389233976669714	0.0	0.0013281872120587087	0.0	0.0013484963706797786	0.0	0.0	0.0023880264091462864	0.0006660285848791339	0.00951538426289935	0.006596420709807095	0.002677803860148279	0.005832016081337603	0.0	0.002069356969645731	0.0	0.005096829244564015	0.0	0.0027999746672022784	0.005418872780218839	0.0016007280820501443	0.0015520308296981503	0.0011113885062095604	0.001943919561078459	0.0	0.006800070238895035	0.0	0.0	0.0009092415449390812	0.0	0.0	0.0	0.013316655832160665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002183212346709149	0.0	0.0	0.00201663188208588	0.03275240346077447	0.00141052577963071	0.005391904738676596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023769518816405756	0.007192626713755953	0.0	0.00323427579061786	0.0	0.0	0.0046901170070955305	0.0	0.0	0.0	0.0	0.0	0.001960963348172919	0.0	0.0	0.0
chr2_PATERNAL_q	0.0035240438276637315	0.001469353563036475	0.0009025228510423326	0.014971678596931508	0.18389233976669714	0.0	0.0	0.0	0.003322629152335478	0.0	0.0	0.0	0.0	0.0	0.0	0.010452397356499233	0.0239752920983354	0.0	0.0	0.005999433009243612	0.0	0.011895192381804887	0.0023740758900748994	0.0	0.0023634887814540017	0.0	0.0018579213214854652	0.0	0.0	0.0	0.025667285858059066	0.0	0.0	0.0	0.0	0.0005310708678444045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002912644826153008	0.0	0.0	0.0012128938043496824	0.0014604247423237499	0.02540426499868243	0.0015847722154997484	0.0	0.0	0.0004472606091348553	0.0	0.003771851426425278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008812621718760405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005126319640401521	0.0004093185803640341	0.00493080936478416	0.0
chr3_MATERNAL_q	0.021528856015037547	0.001330839976086068	0.0031006237855734833	0.012896199922623782	0.0	0.0	0.0	0.02940776854768858	0.03350830022587511	0.0	0.007768562212588488	0.0	0.01290687849543885	0.021078052858905887	0.0	0.005573284092447545	0.00716553851172476	0.0	0.0	0.006843962700925091	0.0	0.010642406920719844	0.0	0.007009957138430556	0.019033349973980446	0.0019578925768799914	0.025555606254615896	0.0009353558765877371	0.0038667923833085077	0.001209318366172312	0.014276972100785882	0.013024095973034253	0.02455933934568529	0.03335577068260442	0.0	0.019127339749602356	0.025689477270885056	0.009806117017810154	0.0	0.0	0.0	0.0	0.0	0.0008964969594066774	0.025703647672538035	0.0	0.0	0.005806756621252061	0.0014261784468962045	0.014390406384889982	0.004417443524773653	0.003191136653744154	0.010315101730718982	0.0002910890051229528	0.01810712399900423	0.0	0.0	0.0002470222670986291	0.04104931641908298	0.0	0.03551797639631481	0.0	0.013272511050895719	0.017389338286743793	0.0016684554967346203	0.0019996649404831115	0.0	0.0	0.0	0.0	0.0014814856006775093	0.0	0.0	0.0018549342125040893	0.0	0.001208560577181943	0.0
chr3_PATERNAL_q	0.0014368985339682672	0.0	0.0018635378773222712	0.006531019570834578	0.0013281872120587087	0.0	0.02940776854768858	0.0	0.002443662988324513	0.0005169870597245554	0.0	0.0	0.015446411877279367	0.0005269160119629194	0.0	0.006643153326121017	0.002302737849046797	0.003726047008463844	0.0	0.001852472863004137	0.0	0.009173548008888421	0.006393399519528027	0.006734065887021528	0.02758801215502392	0.000598813942341703	0.01463590261602637	0.00032874388406351645	0.0011838776067652878	0.0033839707476444004	0.00015381842120898965	0.0	0.020313260870337742	0.01957612538027613	0.0	0.0	0.0	0.001953243059513724	0.0	0.0	0.0	0.0	0.0002797790019842552	0.000518305308515209	0.0017669385516388546	0.0005951540743727144	0.0	0.0015649162091068433	0.00040218668565575804	0.0037108697917151378	0.0030677257705956245	0.0011413907692582115	0.0033943202713174014	0.006740316682809802	0.0035865166166249352	0.0	0.0	0.0	0.045949285403533865	0.0	0.029282482564287053	0.0	0.00977057803941204	0.002039406798127456	0.007441079352549643	0.0	0.0	0.0019631799208983357	0.0	0.0	0.003248619410782181	0.0	0.0	0.0020830826106914497	0.0	0.00040051653473727086	0.0
chr4_MATERNAL_p	0.0	0.0	0.0031267220104259567	0.0	0.0	0.003322629152335478	0.03350830022587511	0.002443662988324513	0.0	0.0	0.04429345874394352	0.24432838316722344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016996266262769854	0.0	0.0	0.0010655583157091837	0.001080754064435047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005791280421878002	0.02194492178754041	0.0	0.0014115839429888893	0.0	0.0	0.0	0.0	0.0	0.005401954296003627	0.0	0.0007342220068493597	0.006997616356345307	0.0	0.0	0.006060008728470238	0.0	0.0	0.01306751688871654	0.00789581727747718	0.0	0.0014446072985591682	0.0	0.0	0.0	0.009634482647486684	0.0009599701124614388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr4_MATERNAL_q	0.0	0.0012033763795346569	0.006285372184432601	0.004468480825652792	0.0013484963706797786	0.0	0.0	0.0005169870597245554	0.0	0.0	0.08291584777033796	0.0	0.000782823536000113	0.005981923110961814	0.0	0.0005916876145275355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01778464593911279	0.012618530091064032	0.002950199557100173	0.0	0.0	0.0	0.0	0.0	0.0	0.00024104119015799362	0.0	0.0006370756623348031	0.0	0.02425075722503269	0.0007372724314767706	0.0	0.000174399578773083	0.0	0.0	0.0013426274170766559	0.0015790918731143399	0.0	0.0	0.0	0.0	0.006128551926515033	0.0	0.0	0.0	8.016167162724387e-05	0.0	0.0038404431579712782	0.0	0.009307987332029503	0.003582472883011455	0.00334957095458179	0.0	0.0	0.0077108134130228845	0.0	0.0	0.0	0.0	0.0034036154187777113	0.0	0.0009204928717011532	0.0002830574709546911	0.0002619203603784508	0.0
