display_index	row_order_top_to_bottom	corrected_column_order_left_to_right	v3_implicit_column_order_left_to_right	base_arm	sequence_community	source_row_index	source_column_index
1	chr4_MATERNAL_q	chr4_MATERNAL_q	chrY_PATERNAL_p	chr4_q	C1	10	10
2	chr4_PATERNAL_q	chr4_PATERNAL_q	chrX_MATERNAL_p	chr4_q	C1	11	11
3	chr10_MATERNAL_q	chr10_MATERNAL_q	chrY_PATERNAL_q	chr10_q	C1	29	29
4	chr10_PATERNAL_q	chr10_PATERNAL_q	chrX_MATERNAL_q	chr10_q	C1	31	31
5	chr10_MATERNAL_p	chr10_MATERNAL_p	chr4_PATERNAL_p	chr10_p	C2	30	30
6	chr10_PATERNAL_p	chr10_PATERNAL_p	chr4_MATERNAL_p	chr10_p	C2	32	32
7	chr18_MATERNAL_p	chr18_MATERNAL_p	chr20_PATERNAL_p	chr18_p	C2	57	57
8	chr18_PATERNAL_p	chr18_PATERNAL_p	chr20_MATERNAL_p	chr18_p	C2	58	58
9	chr3_MATERNAL_q	chr3_MATERNAL_q	chr2_PATERNAL_q	chr3_q	C3	7	7
10	chr3_PATERNAL_q	chr3_PATERNAL_q	chr2_MATERNAL_q	chr3_q	C3	8	8
11	chr7_MATERNAL_p	chr7_MATERNAL_p	chr8_PATERNAL_p	chr7_p	C3	20	20
12	chr7_PATERNAL_p	chr7_PATERNAL_p	chr8_MATERNAL_p	chr7_p	C3	22	22
13	chr9_MATERNAL_q	chr9_MATERNAL_q	chr6_PATERNAL_q	chr9_q	C3	25	25
14	chr9_PATERNAL_q	chr9_PATERNAL_q	chr6_MATERNAL_q	chr9_q	C3	27	27
15	chr11_MATERNAL_p	chr11_MATERNAL_p	chr5_PATERNAL_q	chr11_p	C3	33	33
16	chr11_PATERNAL_p	chr11_PATERNAL_p	chr5_MATERNAL_q	chr11_p	C3	34	34
17	chr16_MATERNAL_q	chr16_MATERNAL_q	chr1_PATERNAL_p	chr16_q	C3	50	50
18	chr16_PATERNAL_q	chr16_PATERNAL_q	chr1_MATERNAL_p	chr16_q	C3	52	52
19	chr19_MATERNAL_p	chr19_MATERNAL_p	chr17_PATERNAL_p	chr19_p	C3	59	59
20	chr19_PATERNAL_p	chr19_PATERNAL_p	chr17_MATERNAL_p	chr19_p	C3	61	61
21	chr7_MATERNAL_q	chr7_MATERNAL_q	chr16_PATERNAL_p	chr7_q	C4	19	19
22	chr7_PATERNAL_q	chr7_PATERNAL_q	chr16_MATERNAL_p	chr7_q	C4	21	21
23	chr12_MATERNAL_q	chr12_MATERNAL_q	chr15_PATERNAL_q	chr12_q	C4	35	35
24	chr12_PATERNAL_q	chr12_PATERNAL_q	chr15_MATERNAL_q	chr12_q	C4	37	37
25	chr6_MATERNAL_p	chr6_MATERNAL_p	chr22_PATERNAL_p	chr6_p	C5	15	15
26	chr6_PATERNAL_p	chr6_PATERNAL_p	chr22_MATERNAL_p	chr6_p	C5	18	18
27	chr9_MATERNAL_p	chr9_MATERNAL_p	chr21_PATERNAL_p	chr9_p	C5	26	26
28	chr9_PATERNAL_p	chr9_PATERNAL_p	chr21_MATERNAL_p	chr9_p	C5	28	28
29	chr12_MATERNAL_p	chr12_MATERNAL_p	chr15_PATERNAL_p	chr12_p	C5	36	36
30	chr12_PATERNAL_p	chr12_PATERNAL_p	chr15_MATERNAL_p	chr12_p	C5	38	38
31	chr20_PATERNAL_q	chr20_PATERNAL_q	chr14_PATERNAL_p	chr20_q	C5	65	65
32	chr1_MATERNAL_q	chr1_MATERNAL_q	chr14_MATERNAL_p	chr1_q	C6	2	2
33	chr1_PATERNAL_q	chr1_PATERNAL_q	chr13_PATERNAL_p	chr1_q	C6	3	3
34	chr13_MATERNAL_q	chr13_MATERNAL_q	chr13_MATERNAL_p	chr13_q	C6	39	39
35	chr13_PATERNAL_q	chr13_PATERNAL_q	chr22_PATERNAL_q	chr13_q	C6	41	41
36	chr17_MATERNAL_q	chr17_MATERNAL_q	chr22_MATERNAL_q	chr17_q	C6	54	54
37	chr17_PATERNAL_q	chr17_PATERNAL_q	chr21_PATERNAL_q	chr17_q	C6	56	56
38	chr19_MATERNAL_q	chr19_MATERNAL_q	chr21_MATERNAL_q	chr19_q	C6	60	60
39	chr19_PATERNAL_q	chr19_PATERNAL_q	chr19_PATERNAL_q	chr19_q	C6	62	62
40	chr21_MATERNAL_q	chr21_MATERNAL_q	chr19_MATERNAL_q	chr21_q	C6	67	67
41	chr21_PATERNAL_q	chr21_PATERNAL_q	chr17_PATERNAL_q	chr21_q	C6	68	68
42	chr22_MATERNAL_q	chr22_MATERNAL_q	chr17_MATERNAL_q	chr22_q	C6	71	71
43	chr22_PATERNAL_q	chr22_PATERNAL_q	chr13_PATERNAL_q	chr22_q	C6	72	72
44	chr13_MATERNAL_p	chr13_MATERNAL_p	chr13_MATERNAL_q	chr13_p	C7	40	40
45	chr13_PATERNAL_p	chr13_PATERNAL_p	chr1_PATERNAL_q	chr13_p	C7	42	42
46	chr14_MATERNAL_p	chr14_MATERNAL_p	chr1_MATERNAL_q	chr14_p	C7	43	43
47	chr14_PATERNAL_p	chr14_PATERNAL_p	chr20_PATERNAL_q	chr14_p	C7	44	44
48	chr15_MATERNAL_p	chr15_MATERNAL_p	chr12_PATERNAL_p	chr15_p	C7	46	46
49	chr15_PATERNAL_p	chr15_PATERNAL_p	chr12_MATERNAL_p	chr15_p	C7	47	47
50	chr21_MATERNAL_p	chr21_MATERNAL_p	chr9_PATERNAL_p	chr21_p	C7	66	66
51	chr21_PATERNAL_p	chr21_PATERNAL_p	chr9_MATERNAL_p	chr21_p	C7	69	69
52	chr22_MATERNAL_p	chr22_MATERNAL_p	chr6_PATERNAL_p	chr22_p	C7	70	70
53	chr22_PATERNAL_p	chr22_PATERNAL_p	chr6_MATERNAL_p	chr22_p	C7	73	73
54	chr15_MATERNAL_q	chr15_MATERNAL_q	chr12_PATERNAL_q	chr15_q	C8	45	45
55	chr15_PATERNAL_q	chr15_PATERNAL_q	chr12_MATERNAL_q	chr15_q	C8	48	48
56	chr16_MATERNAL_p	chr16_MATERNAL_p	chr7_PATERNAL_q	chr16_p	C9	49	49
57	chr16_PATERNAL_p	chr16_PATERNAL_p	chr7_MATERNAL_q	chr16_p	C9	51	51
58	chr17_MATERNAL_p	chr17_MATERNAL_p	chr19_PATERNAL_p	chr17_p	C10	53	53
59	chr17_PATERNAL_p	chr17_PATERNAL_p	chr19_MATERNAL_p	chr17_p	C10	55	55
60	chr1_MATERNAL_p	chr1_MATERNAL_p	chr16_PATERNAL_q	chr1_p	C11	1	1
