arm	label	community
chr1_p	1p	C11
chr1_q	1q	C6
chr10_p	10p	C2
chr10_q	10q	C1
chr11_p	11p	C3
chr12_p	12p	C5
chr12_q	12q	C4
chr13_p	13p	C7
chr13_q	13q	C6
chr14_p	14p	C7
chr15_p	15p	C7
chr15_q	15q	C8
chr16_p	16p	C9
chr16_q	16q	C3
chr17_p	17p	C10
chr17_q	17q	C6
chr18_p	18p	C2
chr19_p	19p	C3
chr19_q	19q	C6
chr2_q	2q	C12
chr20_p	20p	C12
chr20_q	20q	C5
chr21_p	21p	C7
chr21_q	21q	C6
chr22_p	22p	C7
chr22_q	22q	C6
chr3_q	3q	C3
chr4_p	4p	C13
chr4_q	4q	C1
chr5_q	5q	C11
chr6_p	6p	C5
chr6_q	6q	C11
chr7_p	7p	C3
chr7_q	7q	C4
chr8_p	8p	C11
chr9_p	9p	C5
chr9_q	9q	C3
chrX_p	Xp	C15
chrX_q	Xq	C14
chrY_p	Yp	C15
chrY_q	Yq	C14
