event_id	comparison_id	panel_label	query_name	window_start	window_end	filter_mode	filter_label	num_mappings	scaffold_jump	scoring	query_start	query_end	query_clip_start	query_clip_end	window_overlap_bp	target_name	target_chrom	target_start	target_end	strand	matches	alignment_length	identity	expected_target_chroms	is_expected_target	source_layer	filtered_paf	filtered_paf_line
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	0	500000	no_merge_ani	no merge; ANI	1:1	0	ani	6434	156361	6434	156361	149927	PAN011#joint#h2_chrY	chrY	0	149944	+	149815	150012	0.998687	chrX,chrY	yes	raw_fasta_sweepga_fastga_f16_no_chop_no_merge_ani	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_no_chop_merge_panels/filtered_paf/PAN027pat_vs_PAN011_joint.no_merge_ani.raw_no_chop.paf.gz	2239
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	0	500000	no_merge_ani	no merge; ANI	1:1	0	ani	154068	989531	154068	500000	345932	PAN011#joint#h1_chrX	chrX	112884	948409	+	835315	835622	0.999633	chrX,chrY	yes	raw_fasta_sweepga_fastga_f16_no_chop_no_merge_ani	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_no_chop_merge_panels/filtered_paf/PAN027pat_vs_PAN011_joint.no_merge_ani.raw_no_chop.paf.gz	2240
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	PAN028 chr9q -> chr3q	PAN028#1#chr9	134380985	134880985	no_merge_ani	no merge; ANI	1:1	0	ani	134429557	134578904	134429557	134578904	149347	PAN027#joint#h2_chr9	chr9	135752992	135902320	+	148960	149484	0.996495	chr3	no	raw_fasta_sweepga_fastga_f16_no_chop_no_merge_ani	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_no_chop_merge_panels/filtered_paf/PAN028mat_vs_PAN027_joint.no_merge_ani.raw_no_chop.paf.gz	4062
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	PAN028 chr9q -> chr3q	PAN028#1#chr9	134380985	134880985	no_merge_ani	no merge; ANI	1:1	0	ani	134579899	134630044	134579899	134630044	50145	PAN027#joint#h2_chr9	chr9	135903667	135953835	+	49971	50212	0.995200	chr3	no	raw_fasta_sweepga_fastga_f16_no_chop_no_merge_ani	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_no_chop_merge_panels/filtered_paf/PAN028mat_vs_PAN027_joint.no_merge_ani.raw_no_chop.paf.gz	4063
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	PAN028 chr9q -> chr3q	PAN028#1#chr9	134380985	134880985	no_merge_ani	no merge; ANI	1:1	0	ani	134709518	134733806	134709518	134733806	24288	PAN027#joint#h2_chr3	chr3	202376603	202400903	+	24268	24300	0.998683	chr3	yes	raw_fasta_sweepga_fastga_f16_no_chop_no_merge_ani	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_no_chop_merge_panels/filtered_paf/PAN028mat_vs_PAN027_joint.no_merge_ani.raw_no_chop.paf.gz	4064
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	0	500000	merge50k_ani	50 kb merge; ANI	1:1	50k	ani	6434	156361	6434	156361	149927	PAN011#joint#h2_chrY	chrY	0	149944	+	149815	150012	0.998687	chrX,chrY	yes	raw_fasta_sweepga_fastga_f16_no_chop_merge50k_ani	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_no_chop_merge_panels/filtered_paf/PAN027pat_vs_PAN011_joint.merge50k_ani.raw_no_chop.paf.gz	1620
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	0	500000	merge50k_ani	50 kb merge; ANI	1:1	50k	ani	154068	989531	154068	500000	345932	PAN011#joint#h1_chrX	chrX	112884	948409	+	835315	835622	0.999633	chrX,chrY	yes	raw_fasta_sweepga_fastga_f16_no_chop_merge50k_ani	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_no_chop_merge_panels/filtered_paf/PAN027pat_vs_PAN011_joint.merge50k_ani.raw_no_chop.paf.gz	1621
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	PAN028 chr9q -> chr3q	PAN028#1#chr9	134380985	134880985	merge50k_ani	50 kb merge; ANI	1:1	50k	ani	134429557	134578904	134429557	134578904	149347	PAN027#joint#h2_chr9	chr9	135752992	135902320	+	148960	149484	0.996495	chr3	no	raw_fasta_sweepga_fastga_f16_no_chop_merge50k_ani	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_no_chop_merge_panels/filtered_paf/PAN028mat_vs_PAN027_joint.merge50k_ani.raw_no_chop.paf.gz	6276
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	PAN028 chr9q -> chr3q	PAN028#1#chr9	134380985	134880985	merge50k_ani	50 kb merge; ANI	1:1	50k	ani	134579899	134630044	134579899	134630044	50145	PAN027#joint#h2_chr9	chr9	135903667	135953835	+	49971	50212	0.995200	chr3	no	raw_fasta_sweepga_fastga_f16_no_chop_merge50k_ani	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_no_chop_merge_panels/filtered_paf/PAN028mat_vs_PAN027_joint.merge50k_ani.raw_no_chop.paf.gz	6277
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	PAN028 chr9q -> chr3q	PAN028#1#chr9	134380985	134880985	merge50k_ani	50 kb merge; ANI	1:1	50k	ani	134709518	134733806	134709518	134733806	24288	PAN027#joint#h2_chr3	chr3	202376603	202400903	+	24268	24300	0.998683	chr3	yes	raw_fasta_sweepga_fastga_f16_no_chop_merge50k_ani	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_no_chop_merge_panels/filtered_paf/PAN028mat_vs_PAN027_joint.merge50k_ani.raw_no_chop.paf.gz	6278
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	PAN027#2#chr9	135704825	136204825	merge50k_log_length_ani	50 kb merge; log-length ANI	1:1	50k	log-length-ani	131429896	136204658	135704825	136204658	499833	PAN011#joint#h2_chr9	chr9	128963891	133738689	+	4774260	4774944	0.999857	chr3	no	raw_fasta_sweepga_fastga_f16_no_chop_merge50k_log_length_ani	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_no_chop_merge_panels/filtered_paf/PAN027pat_vs_PAN011_joint.merge50k_log_length_ani.raw_no_chop.paf.gz	5420
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	0	500000	merge50k_log_length_ani	50 kb merge; log-length ANI	1:1	50k	log-length-ani	6	12258	6	12258	12252	PAN011#joint#h1_chr14	chr14	827	13101	+	12121	12295	0.985848	chrX,chrY	no	raw_fasta_sweepga_fastga_f16_no_chop_merge50k_log_length_ani	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_no_chop_merge_panels/filtered_paf/PAN027pat_vs_PAN011_joint.merge50k_log_length_ani.raw_no_chop.paf.gz	9987
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	0	500000	merge50k_log_length_ani	50 kb merge; log-length ANI	1:1	50k	log-length-ani	6434	156361	6434	156361	149927	PAN011#joint#h2_chrY	chrY	0	149944	+	149815	150012	0.998687	chrX,chrY	yes	raw_fasta_sweepga_fastga_f16_no_chop_merge50k_log_length_ani	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_no_chop_merge_panels/filtered_paf/PAN027pat_vs_PAN011_joint.merge50k_log_length_ani.raw_no_chop.paf.gz	9988
PAR1_XY_positive_control	PAN027pat_vs_PAN011_joint	PAR1 control	PAN027#2#chrX	0	500000	merge50k_log_length_ani	50 kb merge; log-length ANI	1:1	50k	log-length-ani	154068	989531	154068	500000	345932	PAN011#joint#h1_chrX	chrX	112884	948409	+	835315	835622	0.999633	chrX,chrY	yes	raw_fasta_sweepga_fastga_f16_no_chop_merge50k_log_length_ani	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_no_chop_merge_panels/filtered_paf/PAN027pat_vs_PAN011_joint.merge50k_log_length_ani.raw_no_chop.paf.gz	9989
PAN028_chr9q_chr3q_PHR_candidate	PAN028mat_vs_PAN027_joint	PAN028 chr9q -> chr3q	PAN028#1#chr9	134380985	134880985	merge50k_log_length_ani	50 kb merge; log-length ANI	1:1	50k	log-length-ani	134297913	134565699	134380985	134565699	184714	PAN027#joint#h1_chr9	chr9	128477269	128745057	+	267360	267957	0.997772	chr3	no	raw_fasta_sweepga_fastga_f16_no_chop_merge50k_log_length_ani	paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_no_chop_merge_panels/filtered_paf/PAN028mat_vs_PAN027_joint.merge50k_log_length_ani.raw_no_chop.paf.gz	9817
