method_id	method_family	method_label	comparison_id	comparison_label	fastga_frequency	chop_length_bp	filter_id	chunk_mode	scoring	query_arm_proxy	target_arm_proxy	query_chrom	target_chrom	support_bp	row_count	mean_identity	interchromosomal
sweepga_fastga_f16_l2000_PAN027mat_vs_PAN010_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	16	2000	one_to_one_ani_o0	query-grid	ani	chr10p	chr10p	chr10	chr10	67152728	33579	0.999983	no
sweepga_fastga_f16_l2000_PAN027mat_vs_PAN010_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	16	2000	one_to_one_ani_o0	query-grid	ani	chr10p	chr10q	chr10	chr10	35	1	1.000000	no
sweepga_fastga_f16_l2000_PAN027mat_vs_PAN010_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	16	2000	one_to_one_ani_o0	query-grid	ani	chr10p	chr13p	chr10	chr13	1925	1	1.000000	yes
sweepga_fastga_f16_l2000_PAN027mat_vs_PAN010_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	16	2000	one_to_one_ani_o0	query-grid	ani	chr10p	chr4q	chr10	chr4	5	1	1.000000	yes
sweepga_fastga_f16_l2000_PAN027mat_vs_PAN010_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	16	2000	one_to_one_ani_o0	query-grid	ani	chr10q	chr10p	chr10	chr10	34000	17	1.000000	no
sweepga_fastga_f16_l2000_PAN027mat_vs_PAN010_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	16	2000	one_to_one_ani_o0	query-grid	ani	chr10q	chr10q	chr10	chr10	67114754	33562	0.999989	no
sweepga_fastga_f16_l2000_PAN027mat_vs_PAN010_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	16	2000	one_to_one_ani_o0	query-grid	ani	chr11p	chr11p	chr11	chr11	67292539	33648	0.999993	no
sweepga_fastga_f16_l2000_PAN027mat_vs_PAN010_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	16	2000	one_to_one_ani_o0	query-grid	ani	chr11p	chr1p	chr11	chr1	113	1	1.000000	yes
sweepga_fastga_f16_l2000_PAN027mat_vs_PAN010_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	16	2000	one_to_one_ani_o0	query-grid	ani	chr11p	chr1q	chr11	chr1	37	1	1.000000	yes
sweepga_fastga_f16_l2000_PAN027mat_vs_PAN010_joint	sweepga_fastga_f16	SweepGA/FastGA f16	PAN027mat_vs_PAN010_joint	PAN027mat_vs_PAN010	16	2000	one_to_one_ani_o0	query-grid	ani	chr11q	chr10p	chr11	chr10	101	1	1.000000	yes
