row_id	pair	transmission	query_name	query_sample	query_haplotype	query_haplotype_label	query_chrom	query_arm	query_arm_order	query_source_window_native_0based_half_open	query_source_start_0based	query_source_end_0based_exclusive	local_query_start_0based	local_query_end_0based_exclusive	native_query_start_0based	native_query_end_0based_exclusive	native_query_interval_0based_half_open	query_length	segment_length_bp	target_name	target_sample	target_haplotype	target_haplotype_number	target_haplotype_label	target_chrom	target_arm	target_source_window_native_0based_half_open	target_color_group	strand	identity	jaccard	nb	interchromosomal	strict_primary_path_only	event_id	event_order	event_label	event_class	event_role	side_fragment_caveat	candidate_window_native_0based_half_open	event_interpretation	coordinate_system	geometry_source	annotation_source	do_not_use_for_geometry
1	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr1.maternal:11374-511373_chr1_parm	PAN027	PAN027#1	maternal	chr1	chr1p	1	chr1:11374-511374	11374	511374	0	499987	11374	511361	chr1:11374-511361	500000	499987	PAN010#1#chr1.haplotype1:5039-505038_chr1_parm	PAN010	PAN010#1	1	haplotype1	chr1	chr1p	chr1:5039-505039	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
2	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr1.maternal:246517480-247017479_chr1_qarm	PAN027	PAN027#1	maternal	chr1	chr1q	2	chr1:246517480-247017480	246517480	247017480	0	500000	246517480	247017480	chr1:246517480-247017480	500000	500000	PAN010#2#chr1.haplotype2:246846467-247346466_chr1_qarm	PAN010	PAN010#2	2	haplotype2	chr1	chr1q	chr1:246846467-247346467	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
3	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr2.maternal:7468-507467_chr2_parm	PAN027	PAN027#1	maternal	chr2	chr2p	3	chr2:7468-507468	7468	507468	0	187715	7468	195183	chr2:7468-195183	500000	187715	PAN010#1#chr2.haplotype1:5403-505402_chr2_parm	PAN010	PAN010#1	1	haplotype1	chr2	chr2p	chr2:5403-505403	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
4	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr2.maternal:7468-507467_chr2_parm	PAN027	PAN027#1	maternal	chr2	chr2p	3	chr2:7468-507468	7468	507468	187715	198357	195183	205825	chr2:195183-205825	500000	10642	PAN010#2#chr2.haplotype2:5466-505465_chr2_parm	PAN010	PAN010#2	2	haplotype2	chr2	chr2p	chr2:5466-505466	same_chromosome_primary_path	+	99.9508	0.999018	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
5	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr2.maternal:7468-507467_chr2_parm	PAN027	PAN027#1	maternal	chr2	chr2p	3	chr2:7468-507468	7468	507468	198357	500000	205825	507468	chr2:205825-507468	500000	301643	PAN010#1#chr2.haplotype1:5403-505402_chr2_parm	PAN010	PAN010#1	1	haplotype1	chr2	chr2p	chr2:5403-505403	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
6	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr2.maternal:242001098-242501097_chr2_qarm	PAN027	PAN027#1	maternal	chr2	chr2q	4	chr2:242001098-242501098	242001098	242501098	0	499999	242001098	242501097	chr2:242001098-242501097	500000	499999	PAN010#1#chr2.haplotype1:242064651-242564650_chr2_qarm	PAN010	PAN010#1	1	haplotype1	chr2	chr2q	chr2:242064651-242564651	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
7	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr2.maternal:242001098-242501097_chr2_qarm	PAN027	PAN027#1	maternal	chr2	chr2q	4	chr2:242001098-242501098	242001098	242501098	499999	500000	242501097	242501098	chr2:242501097-242501098	500000	1	PAN010#2#chr2.haplotype2:241375441-241875440_chr2_qarm	PAN010	PAN010#2	2	haplotype2	chr2	chr2q	chr2:241375441-241875441	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
8	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:9503-509502_chr3_parm	PAN027	PAN027#1	maternal	chr3	chr3p	5	chr3:9503-509503	9503	509503	0	500000	9503	509503	chr3:9503-509503	500000	500000	PAN010#1#chr3.haplotype1:8597-508596_chr3_parm	PAN010	PAN010#1	1	haplotype1	chr3	chr3p	chr3:8597-508597	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
9	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	PAN027	PAN027#1	maternal	chr3	chr3q	6	chr3:200905557-201405557	200905557	201405557	0	281230	200905557	201186787	chr3:200905557-201186787	500000	281230	PAN010#1#chr3.haplotype1:203165766-203665765_chr3_qarm	PAN010	PAN010#1	1	haplotype1	chr3	chr3q	chr3:203165766-203665766	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
10	PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	PAN027#1#chr3.maternal:200905557-201405556_chr3_qarm	PAN027	PAN027#1	maternal	chr3	chr3q	6	chr3:200905557-201405557	200905557	201405557	281230	285464	201186787	201191021	chr3:201186787-201191021	500000	4234	PAN010#2#chr3.haplotype2:200657097-201157096_chr3_qarm	PAN010	PAN010#2	2	haplotype2	chr3	chr3q	chr3:200657097-201157097	same_chromosome_primary_path	+	100	1	1	0	yes						no			native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv		permissive multimap/nth-best rows; patches.tsv patch extents
