seq_a	seq_b	chr_a	arm_a	chr_b	arm_b	size_a	size_b	jaccard	hic_contact_raw	hic_contact_norm	hic_bins
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr11:1736-236736_chr11_parm	chr10	chr10_q	chr11	chr11_p	179999	235000	0.006556	0.0028547792639594797	2.378982719966233e-05	120
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr12:133297274-133322273_chr12_qarm	chr10	chr10_q	chr12	chr12_q	179999	24999	0.005799	0.00015914971325885826	7.957485662942913e-06	20
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr12:2783-72783_chr12_parm	chr10	chr10_q	chr12	chr12_p	179999	70000	0.002715	0.0034074306856551146	8.518576714137787e-05	40
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr13:113553247-113563246_chr13_qarm	chr10	chr10_q	chr13	chr13_q	179999	9999	0.051437	0.0016052220626563462	0.0001605222062656346	10
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr13:2544-502544_chr13_parm	chr10	chr10_q	chr13	chr13_p	179999	500000	0.0	8.275850438209521e-05	1.655170087641904e-06	50
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr14:2075-502075_chr14_parm	chr10	chr10_q	chr14	chr14_p	179999	500000	0.0	0.002362170775224937	1.8170544424807208e-05	130
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr15:3258-503258_chr15_parm	chr10	chr10_q	chr15	chr15_p	179999	500000	0.005279	0.012907812805369156	4.9645433866804446e-05	260
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr15:99625359-99750358_chr15_qarm	chr10	chr10_q	chr15	chr15_q	179999	124999	0.002435	0.0014710111079914074	2.1014444399877248e-05	70
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr16:2168-27168_chr16_parm	chr10	chr10_q	chr16	chr16_p	179999	25000	0.003299	0.0009814314011327963	4.907157005663982e-05	20
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr16:96172817-96327816_chr16_qarm	chr10	chr10_q	chr16	chr16_q	179999	154999	0.059205	0.012517096229946005	0.00015646370287432506	80
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr17:1679-46679_chr17_parm	chr10	chr10_q	chr17	chr17_p	179999	45000	0.003738	0.0005445114315563844	1.815038105187948e-05	30
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr17:84229104-84274103_chr17_qarm	chr10	chr10_q	chr17	chr17_q	179999	44999	0.08197	0.021901939517165306	0.0007300646505721769	30
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr18:2017-267017_chr18_parm	chr10	chr10_q	chr18	chr18_p	179999	265000	0.016773	0.08612815391671871	0.0006152010994051337	140
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr19:1962-211962_chr19_parm	chr10	chr10_q	chr19	chr19_p	179999	210000	0.02743	0.006330882673393379	5.7553478849030715e-05	110
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr19:61684426-61704425_chr19_qarm	chr10	chr10_q	chr19	chr19_q	179999	19999	0.106746	0.0274094437650991	0.00274094437650991	10
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr1:248369277-248384276_chr1_qarm	chr10	chr10_q	chr1	chr1_q	179999	14999	0.078952	0.011200338555928181	0.001120033855592818	10
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr1:2706-297706_chr1_parm	chr10	chr10_q	chr1	chr1_p	179999	295000	0.008799	0.006773812335462025	4.5158748903080165e-05	150
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr20:2698-102698_chr20_parm	chr10	chr10_q	chr20	chr20_p	179999	100000	0.047222	0.01471355705879279	0.0002452259509798798	60
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr20:66102369-66207368_chr20_qarm	chr10	chr10_q	chr20	chr20_q	179999	104999	0.011069	0.0029680025798843237	4.946670966473873e-05	60
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr21:2505-502505_chr21_parm	chr10	chr10_q	chr21	chr21_p	179999	500000	0.005282	0.0055615942209273055	2.139074700356656e-05	260
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr21:45066333-45086332_chr21_qarm	chr10	chr10_q	chr21	chr21_q	179999	19999	0.102111	0.021890685831862954	0.0021890685831862954	10
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr22:4138-504138_chr22_parm	chr10	chr10_q	chr22	chr22_p	179999	500000	0.005273	0.007298383351754781	3.173210152936861e-05	230
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr22:51297197-51322196_chr22_qarm	chr10	chr10_q	chr22	chr22_q	179999	24999	0.111895	0.018983809950259743	0.0009491904975129871	20
CHM13#0#chr10:134574995-134754994_chr10_qarm	CHM13#0#chr2:242574127-242694126_chr2_qarm	chr10	chr10_q	chr2	chr2_q	179999	119999	0.061996	0.04342247800828453	0.0006203211144040647	70
