chrom	start	end	label	context_class
chr1	121620489	126826501	Centromere	centromere
chr2	92296825	94698642	Centromere	centromere
chr3	90323874	96520456	Centromere	centromere
chr4	49663047	55335044	Centromere	centromere
chr5	46144217	51110811	Centromere	centromere
chr6	58227903	62704682	Centromere	centromere
chr7	57993028	64216325	Centromere	centromere
chr8	43840474	46937836	Centromere	centromere
chr9	42371368	48404220	Centromere	centromere
chr9	134380985	134880985	PAN028_chr9q_chr3q_PHR_candidate	candidate_window
chr9	135704825	136204825	PAN027_chr9q_chr3q_PHR_candidate	candidate_window
chr10	39063350	42984131	Centromere	centromere
chr11	50532322	55201000	Centromere	centromere
chr12	34134202	38009032	Centromere	centromere
chr13	5142251	5422762	PHR-acro	acrocentric_PHR
chr13	5461639	5527343	PHR-acro	acrocentric_PHR
chr13	5568914	5817595	PHR-acro	acrocentric_PHR
chr13	9161474	10165439	PHR-acro	acrocentric_PHR
chr13	10768726	12311210	PHR-acro	acrocentric_PHR
chr13	12418709	13562256	PHR-acro	acrocentric_PHR
chr13	13798147	13942458	PHR-acro	acrocentric_PHR
chr13	13941594	17573031	Centromere	centromere
chr13	16580829	16610843	PHR-acro	acrocentric_PHR
chr13	17403194	17439386	PHR-acro	acrocentric_PHR
chr13	17511832	17545419	PHR-acro	acrocentric_PHR
chr14	1424799	1570413	PHR-acro	acrocentric_PHR
chr14	1698204	1911892	PHR-acro	acrocentric_PHR
chr14	1947294	2145126	PHR-acro	acrocentric_PHR
chr14	2697627	3148571	PHR-acro	acrocentric_PHR
chr14	3373715	3614441	PHR-acro	acrocentric_PHR
chr14	5593504	5906571	PHR-acro	acrocentric_PHR
chr14	5951653	7019150	PHR-acro	acrocentric_PHR
chr14	7058265	7486745	PHR-acro	acrocentric_PHR
chr14	7526102	8385130	PHR-acro	acrocentric_PHR
chr14	8448978	8510932	PHR-acro	acrocentric_PHR
chr14	8547583	9657736	PHR-acro	acrocentric_PHR
chr14	9747227	9814591	PHR-acro	acrocentric_PHR
chr14	9847092	9935096	PHR-acro	acrocentric_PHR
chr14	10067897	12776582	Centromere	centromere
chr14	11168813	11222715	PHR-acro	acrocentric_PHR
chr14	12694341	13061274	PHR-acro	acrocentric_PHR
chr14	13092912	13906188	PHR-acro	acrocentric_PHR
chr15	2511600	2551057	PHR-acro	acrocentric_PHR
chr15	4636792	4770583	PHR-acro	acrocentric_PHR
chr15	4807371	5004498	PHR-acro	acrocentric_PHR
chr15	5253081	5456349	PHR-acro	acrocentric_PHR
chr15	14447202	14557360	PHR-acro	acrocentric_PHR
chr15	14590790	14626236	PHR-acro	acrocentric_PHR
chr15	15412039	17709803	Centromere	centromere
chr16	35663470	39539847	Centromere	centromere
chr17	23337251	27674018	Centromere	centromere
chr18	15543931	21147129	Centromere	centromere
chr19	24336212	30303052	Centromere	centromere
chr20	26276611	29961179	Centromere	centromere
chr21	3115570	3229280	PHR-acro	acrocentric_PHR
chr21	5502241	5831399	PHR-acro	acrocentric_PHR
chr21	6961743	7104529	PHR-acro	acrocentric_PHR
chr21	7442906	7493058	PHR-acro	acrocentric_PHR
chr21	7592661	7637730	PHR-acro	acrocentric_PHR
chr21	7793654	9380916	PHR-acro	acrocentric_PHR
chr21	9419605	10213907	PHR-acro	acrocentric_PHR
chr21	10250133	10703129	PHR-acro	acrocentric_PHR
chr21	10816799	11340698	Centromere	centromere
chr21	11163891	11209063	PHR-acro	acrocentric_PHR
chr21	11284058	11510095	PHR-acro	acrocentric_PHR
chr22	4408443	4603349	PHR-acro	acrocentric_PHR
chr22	4637366	4794632	PHR-acro	acrocentric_PHR
chr22	5513742	6024731	PHR-acro	acrocentric_PHR
chr22	6450463	6709395	PHR-acro	acrocentric_PHR
chr22	10472074	10613397	PHR-acro	acrocentric_PHR
chr22	11009990	11194265	PHR-acro	acrocentric_PHR
chr22	11353257	11479159	PHR-acro	acrocentric_PHR
chr22	11582962	11695600	PHR-acro	acrocentric_PHR
chr22	11870259	12039013	PHR-acro	acrocentric_PHR
chr22	12074086	12155463	PHR-acro	acrocentric_PHR
chr22	12301742	12366266	PHR-acro	acrocentric_PHR
chr22	12414431	12544572	PHR-acro	acrocentric_PHR
chr22	12601770	12692998	PHR-acro	acrocentric_PHR
chr22	12754480	12798206	PHR-acro	acrocentric_PHR
chr22	12784333	16188127	Centromere	centromere
chr22	15767497	15836241	PHR-acro	acrocentric_PHR
chr22	15984784	16048424	PHR-acro	acrocentric_PHR
chr22	16090594	16507970	PHR-acro	acrocentric_PHR
chrX	0	5e+05	PAR1_XY_positive_control	candidate_window
chrX	0	2394410	PAR1	PAR
chrX	57387423	61230233	Centromere	centromere
chrX	153925834	154259566	PAR2	PAR
chrY	0	2458320	PAR1	PAR
chrY	62122809	62460029	PAR2	PAR
