finding_id	finding_short	anchor_metric	applicable_limitations	primary_caveats	bound_on_interpretation
F1	Subtelomeric regions form discrete inter-chromosomal communities	41 arms → 15 arm-level / 50 sequence-level communities; 233 individuals × 465 haplotypes × 15,668 PHRs	L1, L4, L5	95% identity threshold (L1) treats older 91% peak as undetectable; Leiden resolution (L5) is one of a family; assembly-quality (L4) — chr18_q chimera in NA18982#1	Community count is a sensitivity-bounded estimate; 15 / 50 split should be read as "at this resolution and threshold", not "the unique partition".
F2	Three categories of subtelomeric architecture	Homogeneous 8/41 (0%); polymorphic 34/41 (≥2 communities); fully interchangeable 7/41 (100%)	L1, L3, L5	95% identity (L1) and 3 kb output / 5 kb window floor (L3) raise the bar for "homogeneous"; 8 homogeneous arms are floors	The 8/41 homogeneous arms could lose that label under a lower identity threshold or smaller window; the 7/41 interchangeable arms are robust upper-bound observations.
F3	Recurrent inter-chromosomal exchange	Arm-level cross-arm 15.9% (2,484 / 15,668); seq-level 11.1% (1,740 / 15,668); discordance up to 47.5%	L1, L3, L8, L13	95% identity (L1) makes 15.9% a floor; LCL somatic exchange (L8) could inflate chr4_q/chr10_q (C1); multi-mapping (L13) cannot be cleanly separated from absolute rates	The cross-arm rate is a quantitative lower bound. Some C1 (chr4_q / chr10_q) signal in LCLs may be culture-acquired; not the source of population-scale signal because flanking control still holds.
F4	Extensive gene-repertoire overlap at acrocentric and sex chromosome subtelomeres	chr13_p replacement score 1.000 to all other acrocentric p-arms; chr14_p (N=229) 83.0% cross-arm; PAR1/PAR2 score 1.000	L1, L4, L8	95% identity (L1) — Ambrosini-noted FBXO25/TUBB4q/RYD5 not detected by Liftoff; assembly quality at acrocentric p-arms (L4); LCL exchange (L8) at PAR	Replacement scores at acrocentric p / PAR are floors that converge on 1.0 — the saturation is robust; the fine structure inside C7 / C14 / C15 is not.
F5	Population-specific exchange histories	10 arm/community pairs FDR-significant (Fisher's exact, BH); chr16_q cross-arm 70% AFR (60/86); chrX_p self-arm 82% AFR (18/22)	preface (sample composition imbalance), L6, L8	Within-superpopulation heterogeneity not modelled (preface); chrY_p tiny N (10/92, L6); chr15_p tiny N (6/22, L6); LCL exchange (L8)	Population-scale claims inherit the AFR 28.8% / EAS 22.3% / EUR 14.2% imbalance. chrY_p / chr15_p effects are preliminary.
F6	Subtelomeric gene content dominated by pseudogenes	Protein-coding 4–9% per community; PAR1 32.1%; RPL23AP45 spans 10 communities / 21 arms; SEPTIN14P22 spans 9 / 22; DUX4L → C1, MTCO → C7, SHOX → C15	L1, L4	95% identity (L1) misses older copies; assembly quality (L4) varies at acrocentric p-arms	Pseudogene fractions are robust within the called annotation set; missing genes (FBXO25, TUBB4q, RYD5 — Ambrosini) flagged as Methods caveat (re-annotate with current Ensembl).
F7	TAR1 as subtelomeric marker	Present in 94.6% of sequences, all 41 arms; near-absent from PAR1	L4	Assembly quality at PAR (L4) — the "near-absence" is at well-assembled PAR coordinates	TAR1 prevalence is robust; the PAR exception is anchored by both haplotypes in N=233 (sufficient).
F8	3D genome organisation mirrors sequence communities	Hi-C / Pore-C B/W 0.027–0.074 (8 datasets); RPE-1 B/W 0.005–0.052; Dip-C 6.9% closer (16 cells, p=2.4×10⁻⁵, ρ=0.30); sperm W/B = 0.401 (60% closer); mouse zygotene per-pair ρ = 0.715; mouse Mantel ρ = 0.58–0.72; community-free arm-level Dip-C ρ = 0.34	L8, L9, L10, L11, L12, L13, L17	Somatic vs meiotic context (L9) — most informative experiment missing; N=6 Hi-C (L10) — population-scale 3D claims insufficient; GM12878 abnormal karyotype (L11); hg19/T2T projection noise in Tan 2018 Dip-C (L12); LCL exchange (L8) confounds C1; multi-mapping at PHRs (L13) — absolute B/W bounded; Dip-C cell 12 = duplicate of cell 10 (L17, excluded)	The qualitative claim (3D mirrors sequence) is supported by 4 independent technologies + 2 species. Effect-size point estimates are bounded by N (Hi-C N=6) and by multi-mapping (L13). Mouse → human inference is cross-species and somatic → meiotic.
F9	Flanking unique-sequence regions show equal or stronger 3D signal	HG002 100 kb flanking B/W = 0.002 vs PHR B/W = 0.027 (13× stronger flanking)	L13, L14 (positive), L15 (positive), L16	Multi-mapping (L13) is what the flanking control rules out; confound exclusions all increase ρ (L14, positive); multi-resolution mcool (L15, positive); HG02148 / NA19036 NaN flanking (L16) — excluded from flanking-only	The flanking paradox is the strongest piece of evidence against multi-mapping artefact; restricted to assemblies where flanks resolve (excludes L16 samples for flanking analyses).
F10	C4 (chr7_q / chr12_q) as minimal-PHR positive control	Significant in 4/5 diploid Hi-C samples despite only 5–25 kb PHR and zero gene annotations	L13, L18	Multi-mapping (L13) — but PHR is so short the multimap contribution is necessarily small; mouse 1 Mb window saturation (L18) is the cross-organism analogue (not directly applicable to human C4)	C4 demonstrates that the 3D signal does not require gene content; 1/5 sample miss is consistent with the per-individual variance documented by N10.
