event_id	pair	event_role	query_name	query_local_interval	expected_target_name	expected_target_haplotype	expected_target_arm	direct_support	direct_file	direct_filter_id	direct_target_name	direct_target_haplotype	direct_target_arm	direct_query_interval	overlap_bp	identity	aln_length	evidence_source_recommendation
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	same-chromosome context	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	0-48900	PAN011#1#chr9.haplotype1:135595959-136095958_chr9_qarm	PAN011#1	chr9q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#joint#chr9.haplotype1:135595959-136095958_chr9_qarm	PAN011#joint	chr9q	0-90028	48900	0.999567	90031	keep_graph_primary_pending_manual_review
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	same-chromosome context	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	48900-327917	PAN011#2#chr9.haplotype2:133240004-133740003_chr9_qarm	PAN011#2	chr9q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#joint#chr9.haplotype2:133240004-133740003_chr9_qarm	PAN011#joint	chr9q	608-499816	279017	0.999095	499277	keep_graph_primary_pending_manual_review
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	side fragment	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	327917-329124	PAN011#2#chr16.haplotype2:89999497-90499496_chr16_qarm	PAN011#2	chr16q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#joint#chr9.haplotype2:133240004-133740003_chr9_qarm	PAN011#joint	chr9q	608-499816	1207	0.999095	499277	keep_graph_primary_pending_manual_review
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	same-chromosome context	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	329124-446944	PAN011#2#chr9.haplotype2:133240004-133740003_chr9_qarm	PAN011#2	chr9q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#joint#chr9.haplotype2:133240004-133740003_chr9_qarm	PAN011#joint	chr9q	608-499816	117820	0.999095	499277	keep_graph_primary_pending_manual_review
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	primary donor	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	446944-472441	PAN011#2#chr3.haplotype2:205075647-205575646_chr3_qarm	PAN011#2	chr3q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#joint#chr9.haplotype2:133240004-133740003_chr9_qarm	PAN011#joint	chr9q	608-499816	25497	0.999095	499277	keep_graph_primary_pending_manual_review
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	primary donor	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	472441-476266	PAN011#1#chr3.haplotype1:202049714-202549713_chr3_qarm	PAN011#1	chr3q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#joint#chr9.haplotype2:133240004-133740003_chr9_qarm	PAN011#joint	chr9q	608-499816	3825	0.999095	499277	keep_graph_primary_pending_manual_review
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	primary donor	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	476266-491186	PAN011#2#chr3.haplotype2:205075647-205575646_chr3_qarm	PAN011#2	chr3q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#joint#chr9.haplotype2:133240004-133740003_chr9_qarm	PAN011#joint	chr9q	608-499816	14920	0.999095	499277	keep_graph_primary_pending_manual_review
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	side fragment	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	491186-498459	PAN011#1#chr15.haplotype1:95856803-96356802_chr15_qarm	PAN011#1	chr15q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#joint#chr9.haplotype2:133240004-133740003_chr9_qarm	PAN011#joint	chr9q	608-499816	7273	0.999095	499277	keep_graph_primary_pending_manual_review
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	primary donor	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	498459-499507	PAN011#2#chr3.haplotype2:205075647-205575646_chr3_qarm	PAN011#2	chr3q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#joint#chr9.haplotype2:133240004-133740003_chr9_qarm	PAN011#joint	chr9q	608-499816	1048	0.999095	499277	keep_graph_primary_pending_manual_review
PAN027_chr9q_chr3q_PHR_candidate	PAN027_vs_PAN011	low-confidence tail	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	499507-500000	PAN011#1#chr20.haplotype1:66002904-66502903_chr20_qarm	PAN011#1	chr20q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#joint#chr9.haplotype1:3993-503992_chr9_parm	PAN011#joint	chr9p	469511-499999	492	0.982455	30550	keep_graph_primary_pending_manual_review
PAR1_XY_positive_control	PAN027_vs_PAN011	PAR positive control	PAN027#2#chrX.paternal:12265-512264_chrX_parm	0-143598	PAN011#2#chrY.haplotype2:5839-505838_chrY_parm	PAN011#2	chrYp	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#joint#chrY.haplotype2:5839-505838_chrY_parm	PAN011#joint	chrYp	0-144103	143598	0.999396	144132	keep_graph_primary_pending_manual_review
PAR1_XY_positive_control	PAN027_vs_PAN011	same-chromosome context	PAN027#2#chrX.paternal:12265-512264_chrX_parm	143598-189599	PAN011#1#chrX.haplotype1:3251-503250_chrX_parm	PAN011#1	chrXp	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#joint#chrX.haplotype1:3251-503250_chrX_parm	PAN011#joint	chrXp	141810-500000	46001	0.999897	358213	keep_graph_primary_pending_manual_review
PAR1_XY_positive_control	PAN027_vs_PAN011	PAR positive control	PAN027#2#chrX.paternal:12265-512264_chrX_parm	189599-194850	PAN011#2#chrY.haplotype2:5839-505838_chrY_parm	PAN011#2	chrYp	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#joint#chrX.haplotype1:3251-503250_chrX_parm	PAN011#joint	chrXp	141810-500000	5251	0.999897	358213	keep_graph_primary_pending_manual_review
PAR1_XY_positive_control	PAN027_vs_PAN011	same-chromosome context	PAN027#2#chrX.paternal:12265-512264_chrX_parm	194850-329647	PAN011#1#chrX.haplotype1:3251-503250_chrX_parm	PAN011#1	chrXp	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#joint#chrX.haplotype1:3251-503250_chrX_parm	PAN011#joint	chrXp	141810-500000	134797	0.999897	358213	keep_graph_primary_pending_manual_review
PAR1_XY_positive_control	PAN027_vs_PAN011	PAR positive control	PAN027#2#chrX.paternal:12265-512264_chrX_parm	329647-331671	PAN011#2#chrY.haplotype2:5839-505838_chrY_parm	PAN011#2	chrYp	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#joint#chrX.haplotype1:3251-503250_chrX_parm	PAN011#joint	chrXp	141810-500000	2024	0.999897	358213	keep_graph_primary_pending_manual_review
PAR1_XY_positive_control	PAN027_vs_PAN011	same-chromosome context	PAN027#2#chrX.paternal:12265-512264_chrX_parm	331671-499675	PAN011#1#chrX.haplotype1:3251-503250_chrX_parm	PAN011#1	chrXp	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN011#joint#chrX.haplotype1:3251-503250_chrX_parm	PAN011#joint	chrXp	141810-500000	168004	0.999897	358213	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	same-chromosome context	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	0-4657	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#2	chr9q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	515-49569	4142	0.997331	49085	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	same-chromosome context	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	4657-49638	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	PAN027#1	chr9q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.maternal:128564684-129064683_chr9_qarm	PAN027#joint	chr9q	4657-185032	44981	0.998172	180518	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	same-chromosome context	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	49638-197455	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#2	chr9q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	48888-198237	147817	0.998059	149418	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	same-chromosome context	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	197455-210534	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	PAN027#1	chr9q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	199232-249377	11302	0.995200	50212	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	same-chromosome context	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	210534-218715	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#2	chr9q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	199232-249377	8181	0.995200	50212	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	same-chromosome context	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	218715-247217	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	PAN027#1	chr9q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	199232-249377	28502	0.995200	50212	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	same-chromosome context	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	247217-248621	PAN027#2#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#2	chr9q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	199232-249377	1404	0.995200	50212	keep_graph_primary_pending_manual_review
PAN028_chr9q_chr3q_PHR_candidate	PAN028_vs_PAN027	same-chromosome context	PAN028#1#chr9.haplotype1:134380985-134880984_chr9_qarm	248621-274489	PAN027#1#chr9.maternal:128564684-129064683_chr9_qarm	PAN027#1	chr9q	discordant_target	/moosefs/erikg/phrs/.wg-worktrees/agent-2613/paper_prep/_brainstorming/pedigree_direct_sweepga_joint_parent/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_noscaffold.paf.gz	four_many_noscaffold	PAN027#joint#chr9.paternal:135704825-136204824_chr9_qarm	PAN027#joint	chr9q	249237-353139	25252	0.997941	103956	keep_graph_primary_pending_manual_review
