arm	D1	D2	D3	community	community_arms	display_community
chr1_p	0.284005952147031	0.129675434271565	-0.194748668890128	C11	1p, 5q, 6q, 8p	C11
chr1_q	-0.059774655070408	-0.285418118487383	-0.318221416005806	C6	1q, 13q, 17q, 19q, 21q, 22q	C6
chr2_q	0.0546437810458829	-0.0214118976825484	0.000608976730147791	C12	2q, 20p	C12
chr3_q	0.304134078712312	0.199592504958081	0.108711731875322	C3	3q, 7p, 9q, 11p, 16q, 19p	C3
chr4_p	-0.22074197915368	0.127719226964907	-0.0288145385990319	C13	4p	singleton / no CHM13 partner
chr4_q	-0.130467871985285	-0.314703762891616	0.296131976231703	C1	4q, 10q	C1
chr5_q	0.287292874695199	0.114640765788529	-0.222990262318368	C11	1p, 5q, 6q, 8p	C11
chr6_q	0.254289683741654	0.0786302373856633	-0.284793139908703	C11	1p, 5q, 6q, 8p	C11
chr7_p	0.212274401073904	0.0827510094536832	0.0221524624240956	C3	3q, 7p, 9q, 11p, 16q, 19p	C3
chr7_q	-0.0595506569836978	-0.0594709623975335	0.0316086118684669	C4	7q, 12q	C4
chr8_p	-0.0359861985442562	-0.0662183668441882	-0.0127196988262191	C11	1p, 5q, 6q, 8p	C11
chr9_p	0.0187359418667165	-0.00789666225153808	0.163541742235408	C5	6p, 9p, 12p, 20q	C5
chr9_q	0.186369150251213	0.0771686959642732	0.0867577275416251	C3	3q, 7p, 9q, 11p, 16q, 19p	C3
chr10_p	-0.0629309487199198	-0.105430176750108	0.126724896798472	C2	10p, 18p	C2
chr10_q	-0.128749345904996	-0.319879796007812	0.286085396396021	C1	4q, 10q	C1
chr11_p	0.301356011198352	0.205400795837263	0.10649457188176	C3	3q, 7p, 9q, 11p, 16q, 19p	C3
chr12_p	-0.00910116228262891	-0.0432545473196492	0.197728591994496	C5	6p, 9p, 12p, 20q	C5
chr12_q	-0.0590755465198924	-0.0594114316576571	0.0298649012698867	C4	7q, 12q	C4
chr13_p	-0.0624058323669285	-0.0543446509389387	0.0301658744273044	C7	13p, 14p, 15p, 21p, 22p	C7
chr13_q	-0.0589925512724969	-0.0581411599126506	0.0313112631865523	C6	1q, 13q, 17q, 19q, 21q, 22q	C6
chr14_p	-0.234268573678742	0.142619952115061	-0.0291173880995392	C7	13p, 14p, 15p, 21p, 22p	C7
chr15_p	-0.43572198065028	0.360056377421664	-0.0911212064083898	C7	13p, 14p, 15p, 21p, 22p	C7
chr15_q	0.177302257614271	0.131023320518884	0.126332360174406	C8	15q	singleton / no CHM13 partner
chr16_p	-0.0544239620380528	-0.0837856817317951	0.108160334116201	C9	16p	singleton / no CHM13 partner
chr16_q	0.224611381995516	0.0826787182674404	0.0456193660044788	C3	3q, 7p, 9q, 11p, 16q, 19p	C3
chr17_p	0.0219449671851293	0.00573785347005302	0.0707495087699627	C10	17p	singleton / no CHM13 partner
chr17_q	0.0689102440719265	-0.188158637627286	-0.425392092587693	C6	1q, 13q, 17q, 19q, 21q, 22q	C6
chr18_p	-0.0564099962351865	-0.120784290840612	0.158907755292656	C2	10p, 18p	C2
chr19_p	0.298073010283907	0.197564782538056	0.0896191864181501	C3	3q, 7p, 9q, 11p, 16q, 19p	C3
chr19_q	-0.0687023207366525	-0.233461317183677	-0.201036878848806	C6	1q, 13q, 17q, 19q, 21q, 22q	C6
chr20_p	0.0964087089707151	-0.0484320719537012	-0.072819341888485	C12	2q, 20p	C12
chr20_q	0.0446170292348854	0.00264048677656936	0.210316258138124	C5	6p, 9p, 12p, 20q	C5
chr21_p	-0.427553408503508	0.352241987426744	-0.0884018604985638	C7	13p, 14p, 15p, 21p, 22p	C7
chr21_q	-0.0626131483873701	-0.315028206793185	-0.335951624924838	C6	1q, 13q, 17q, 19q, 21q, 22q	C6
chr22_p	-0.422015486385743	0.336303698289365	-0.0828705897054866	C7	13p, 14p, 15p, 21p, 22p	C7
chr22_q	-0.0628390934925792	-0.107466153129368	-0.0363635026991565	C6	1q, 13q, 17q, 19q, 21q, 22q	C6
chrX_p	-0.0586748869547784	-0.0579333398846821	0.0315343802205483	C15	Xp, Yp	singleton / no CHM13 partner
chrX_q	-0.0639698682215341	-0.0758146151618746	0.0662343362134281	C14	Xq, Yq	singleton / no CHM13 partner
